SEZIONE,destre_unite_forconi_235,il_popolo_della_famiglia_965,p_r_i_ala_347,potere_al_popolo_4905,civica_popolare_lorenzin_1433,italia_europa_insieme_2371,piu_europa_10296,partito_democratico_53312,sinistra_rivoluzionaria_491,partito_comunista_1366,casapound_896,liberi_e_uguali_18117,italia_agli_italiani_611,movimento_5_stelle_41598,forza_italia_18467,udc_831,lega_26492,fratelli_d_italia_6601,TOTALE
351,0,3,0,12,0,5,15,157,4,3,2,47,0,122,32,3,39,15,459
353,0,4,0,18,3,3,12,138,1,5,2,50,4,96,21,2,55,11,425
354,0,5,1,8,6,6,13,145,1,2,1,29,0,111,37,1,67,12,445
355,1,2,0,10,5,11,10,134,1,2,3,38,1,77,37,2,53,19,406
357,1,1,5,9,4,2,10,131,1,2,3,47,1,115,35,1,68,13,449
363,0,0,0,1,0,1,4,82,0,4,4,23,1,82,35,4,64,9,314
364,1,0,1,7,0,0,2,136,1,5,4,18,1,91,31,0,49,4,351
365,0,2,1,3,0,6,8,134,3,7,0,37,0,130,18,0,52,11,412
371,1,1,2,6,4,12,25,163,2,3,3,43,1,84,38,2,62,9,461
380,0,4,1,6,4,1,17,111,2,5,1,31,1,97,34,2,49,7,373
381,2,2,0,5,1,3,6,84,0,2,3,14,3,85,32,0,73,8,323
384,1,1,0,14,7,7,29,229,0,4,1,57,1,105,41,5,70,11,583
385,1,3,3,4,1,6,19,163,0,0,0,39,0,74,36,6,48,15,418
392,0,3,0,7,1,3,17,119,2,2,1,30,2,82,39,1,46,12,367
395,0,0,0,8,0,6,20,149,3,5,3,41,1,108,29,2,58,6,439
399,0,3,1,9,1,4,14,168,0,2,1,42,1,81,33,2,64,10,436
403,0,1,2,6,2,2,11,118,1,2,0,42,3,111,31,0,56,10,398
404,1,0,0,9,10,8,19,175,0,1,0,36,1,103,51,0,69,19,502
405,0,7,1,6,5,1,24,117,0,7,2,26,2,107,51,0,72,12,440
