SEZIONE,collegio_camera,forza_italia,paese_nuovo,alleanza_nazionale,il_girasole,nuovo_psi,rifondazione_comunista,lega_nord,democrazia_europea,lista_pannella_bonino,partito_dei_comunisti_italiani,c_c_d_c_d_u,democratici_di_sinistra,abolizione_scorporo,la_margherita,lista_di_pietro,TOTALE
226,14,144,0,41,16,16,39,4,5,5,10,4,292,0,60,21,771.0100000000001
229,14,131,0,95,12,6,21,5,5,11,8,20,281,1,70,21,801.01
234,14,139,1,103,13,2,26,10,5,14,9,26,300,0,75,21,857.9700000000001
239,14,116,0,58,10,7,29,6,3,13,12,5,313,0,91,16,792.99
241,14,103,0,74,17,1,23,10,5,8,6,15,315,0,102,16,809.0
243,14,110,1,73,12,2,46,11,0,11,12,7,314,1,85,23,821.99
247,14,113,1,82,5,3,28,6,3,13,6,16,239,1,113,25,768.0
248,14,79,0,52,8,3,39,6,3,14,10,5,345,0,103,23,803.99
253,14,90,2,47,11,7,25,10,8,11,14,13,314,0,105,29,800.0
262,13,153,0,83,21,6,35,5,7,26,9,12,174,0,110,21,775.01
268,13,134,0,99,20,4,28,5,7,20,12,22,212,0,115,18,808.9800000000001
270,13,107,0,81,16,5,37,10,6,20,8,5,237,0,102,26,773.0
271,13,111,0,81,17,7,44,10,3,17,13,8,208,0,112,21,764.99
274,13,111,0,56,12,6,45,6,6,17,10,7,252,0,108,27,775.9899999999999
279,13,67,0,46,12,7,51,9,3,16,12,5,306,0,99,16,762.0100000000001
282,13,116,1,93,12,3,36,10,4,18,13,11,206,0,112,33,781.0200000000001
284,13,89,0,72,13,3,48,8,10,18,12,6,231,0,111,27,761.0000000000001
285,13,111,0,63,17,6,34,6,3,21,7,5,242,0,109,30,767.0
287,13,115,0,57,8,16,28,6,7,15,8,7,317,0,82,22,801.01
290,13,117,0,71,14,7,31,8,2,19,4,8,289,0,119,27,829.01
292,13,93,0,50,13,9,37,9,6,17,11,8,270,0,93,28,757.01
296,14,104,0,82,15,7,38,10,6,18,12,19,311,0,125,26,887.0
297,14,113,0,77,9,8,50,7,3,20,10,15,350,0,89,28,893.0099999999999
299,14,109,1,67,15,4,22,4,2,24,12,7,282,0,94,37,794.0000000000001
302,14,112,2,92,12,9,43,11,2,20,8,9,254,1,139,27,854.9799999999999
305,14,81,1,59,13,7,74,9,5,7,15,6,270,1,80,23,764.9899999999999
307,14,112,0,53,14,6,28,7,6,2,15,6,330,0,98,30,821.0
310,14,122,0,64,20,4,33,8,7,18,10,11,300,0,68,24,803.0000000000001
319,14,82,1,51,11,3,45,5,3,18,14,1,324,0,104,20,795.9999999999999
323,14,99,0,66,11,2,28,11,10,12,17,17,284,0,93,22,786.0099999999999
325,14,105,1,71,12,6,47,9,3,11,12,7,290,0,86,28,802.0
328,14,130,1,74,14,4,51,10,6,14,17,5,306,1,102,30,878.9799999999999
331,13,126,1,78,18,6,48,9,6,18,8,10,203,0,106,30,779.9999999999999
332,13,147,0,67,24,3,50,5,10,17,8,8,219,0,109,27,806.9899999999999
340,13,141,1,60,14,9,49,10,1,23,10,10,248,0,91,24,803.9999999999999
346,13,158,0,112,18,6,31,7,9,18,9,17,185,1,84,16,783.9799999999999
347,13,143,0,100,16,2,41,11,3,19,10,12,186,0,105,25,786.0
348,13,111,0,55,21,1,37,10,9,13,5,8,276,1,103,18,781.0100000000001
353,13,76,3,55,15,11,44,11,14,10,14,7,298,0,65,27,762.99
356,13,105,1,59,6,5,49,7,15,15,7,13,207,0,154,18,774.0200000000001
359,13,129,1,70,13,11,47,4,9,10,16,8,227,0,76,12,746.0
362,13,72,1,49,7,2,64,5,7,18,11,7,302,0,99,28,784.9900000000001
366,13,107,0,62,10,14,39,9,8,16,5,7,170,0,67,18,644.98
369,12,134,0,87,21,9,24,9,12,15,15,16,261,0,111,28,853.9999999999999
370,12,105,0,87,9,6,33,10,8,14,15,16,273,0,118,28,834.01
373,12,129,1,57,14,6,33,4,3,29,4,12,191,0,130,21,745.9999999999999
378,12,119,1,71,17,6,36,8,5,8,11,11,248,0,99,30,781.9999999999999
381,12,146,0,59,14,9,29,10,6,10,10,10,203,0,104,33,755.02
382,12,98,0,68,16,7,33,5,3,14,5,8,246,0,97,24,735.99
383,12,145,0,68,13,5,51,9,1,13,8,14,229,0,97,24,789.01
387,12,131,1,114,10,3,12,8,19,15,5,24,157,0,157,37,804.9799999999999
388,12,125,1,84,16,15,41,7,7,14,10,14,234,0,91,22,793.01
389,12,151,0,60,24,3,34,5,10,13,4,18,204,0,113,14,764.9999999999999
391,12,123,0,69,11,8,33,8,2,10,8,10,236,0,109,20,759.0200000000002
397,12,91,0,79,14,3,16,5,5,16,9,8,286,0,119,25,788.0000000000001
398,12,124,0,90,13,7,30,7,8,18,7,13,226,0,102,25,781.9800000000001
399,12,120,0,53,18,11,32,7,6,6,10,18,289,0,89,22,793.0000000000001
402,12,106,0,61,17,9,43,9,4,7,13,4,272,1,121,21,800.0099999999999
404,12,140,0,91,13,11,23,16,11,13,9,21,191,0,123,32,806.0
408,12,149,2,92,13,2,22,10,4,6,11,11,203,0,116,22,775.0
