SEZIONE,forza_nuova,lista_monti,lista_giannino,p_d,centro_democratico,s_e_l,la_destra,lega_nord,fratelli_d_italia,p_d_l,rosa_tricolore,p_r_i,io_amo_l_italia,m5s,fiamma_tricolore,partito_comunista,lista_amnistia,rivoluzione_civile,TOTALE
251,1,40,2,329,4,29,0,2,8,40,0,0,2,76,0,5,0,15,652.97
252,0,24,5,302,0,28,0,14,5,59,0,1,2,65,0,4,1,5,615.0000000000001
253,0,29,3,318,2,26,0,9,0,62,1,1,0,59,0,0,0,4,613.99
254,0,45,3,248,1,33,3,17,4,38,1,1,1,72,1,1,1,9,579.0099999999999
257,0,40,5,236,1,15,3,8,7,54,3,1,0,94,3,3,3,10,586.03
262,2,38,9,228,1,44,2,11,2,72,3,0,0,91,1,0,2,18,624.0000000000001
263,1,60,1,197,1,37,3,17,4,69,0,0,4,93,3,2,0,16,608.0099999999999
270,0,50,5,245,0,41,2,13,5,61,1,0,1,115,2,3,0,9,652.98
272,1,48,2,169,0,48,1,11,6,64,0,0,0,98,1,1,0,8,558.0100000000001
276,1,41,7,220,2,33,1,9,7,59,0,0,1,107,4,3,2,11,608.0099999999999
277,0,60,6,202,2,35,0,15,6,98,0,0,2,99,0,0,0,8,633.02
278,0,36,4,228,1,33,1,10,3,37,0,1,0,97,2,1,0,10,564.0300000000001
279,0,25,3,226,0,31,0,3,2,35,1,0,0,84,1,6,5,10,531.98
282,3,36,1,205,1,28,4,8,1,49,0,0,0,91,1,1,0,12,541.0100000000002
284,0,32,3,214,2,31,2,6,3,56,1,1,0,101,0,3,3,7,565.03
288,0,36,0,225,3,25,6,9,4,60,0,0,2,110,2,0,0,14,595.99
291,0,24,1,187,0,26,0,5,4,57,1,1,1,112,0,6,0,15,540.0000000000001
292,3,29,2,199,5,21,1,4,3,36,1,1,1,106,0,3,0,12,526.97
299,1,50,4,312,0,26,1,3,7,69,2,0,0,141,0,1,1,16,734.0
301,1,53,5,302,2,37,0,6,6,71,1,1,0,114,1,5,4,21,729.9899999999999
303,1,38,6,263,1,17,1,9,7,65,0,1,1,76,0,2,2,8,597.99
314,0,60,5,275,0,14,1,8,6,79,0,0,2,90,0,2,1,6,648.98
316,1,29,3,224,3,17,2,5,7,82,1,0,0,102,1,4,0,11,592.0
321,0,39,3,271,1,31,0,7,4,58,0,1,1,97,1,1,3,16,634.0100000000001
327,1,40,1,214,0,23,2,7,4,56,1,1,1,103,0,0,1,14,568.98
328,4,33,5,235,2,30,1,10,8,59,1,1,2,104,2,4,2,14,616.99
335,2,47,3,186,0,37,0,6,6,57,0,0,1,95,1,1,0,11,552.99
339,0,38,1,209,1,24,1,9,1,78,1,1,0,87,1,2,2,6,562.0200000000001
342,0,25,5,198,3,23,1,11,4,58,1,2,0,77,2,2,1,12,525.0200000000001
347,0,47,10,211,3,25,0,12,4,75,3,1,2,89,0,2,2,12,597.99
350,2,27,1,222,0,34,1,6,1,38,2,1,1,88,1,7,0,10,542.0200000000002
354,0,43,1,246,1,30,0,8,3,62,0,0,2,99,0,1,1,11,608.0100000000001
356,3,33,5,231,1,9,1,10,3,44,1,0,0,78,0,3,4,10,536.0
362,1,36,1,242,3,35,0,7,0,48,0,1,0,83,2,2,1,8,569.9999999999999
374,1,51,7,214,4,26,2,17,4,80,2,1,0,84,1,0,0,3,596.98
375,1,42,6,173,4,33,2,8,18,73,0,0,3,98,2,1,1,15,580.03
376,2,39,5,197,1,26,3,10,2,68,3,0,1,91,2,1,4,11,565.9799999999999
377,2,44,2,254,1,28,0,8,4,51,0,0,1,98,0,3,2,10,607.99
378,1,45,2,190,1,25,2,9,13,51,2,0,0,86,0,4,0,14,545.0
379,0,57,2,230,4,19,0,5,4,48,2,1,0,84,0,1,1,7,565.02
383,0,31,0,225,1,16,1,9,4,63,1,0,1,72,0,6,1,10,541.0300000000001
388,1,53,5,212,1,27,2,5,3,63,0,2,0,107,3,2,3,10,598.9800000000001
390,0,35,3,236,1,29,1,3,2,54,1,0,2,108,3,1,1,8,587.9600000000002
393,0,16,3,234,1,16,0,6,4,49,1,1,0,100,2,1,1,19,553.9900000000002
394,0,55,2,275,1,17,1,8,12,98,2,0,2,74,0,2,0,9,658.0
396,0,55,4,241,3,28,1,15,5,70,1,0,0,89,0,3,1,5,621.0100000000001
397,1,39,5,247,2,25,1,10,6,57,0,0,0,80,2,4,0,5,584.01
399,2,42,4,298,2,12,0,6,6,65,3,0,3,73,2,4,4,8,633.9899999999999
400,0,32,1,276,1,25,1,10,3,34,4,0,3,104,0,2,3,12,611.0099999999999
405,0,34,3,231,0,18,2,9,7,78,1,0,4,86,0,1,3,12,588.9800000000001
409,0,42,7,314,2,30,1,8,7,66,1,1,5,100,1,1,1,17,704.0299999999997
412,1,83,13,167,5,9,2,17,12,98,3,0,0,83,1,1,3,10,608.0000000000002
418,0,62,2,235,1,32,1,13,7,73,1,0,0,95,3,4,2,10,640.97
421,2,47,7,228,4,23,1,8,6,63,5,0,4,97,0,1,0,7,602.9899999999999
424,1,42,1,251,1,11,0,8,1,43,1,1,0,72,0,0,3,3,539.0099999999999
427,2,18,1,194,2,18,2,8,1,70,1,0,0,87,1,8,0,7,520.02
429,3,54,4,213,0,21,2,9,7,65,0,0,4,84,1,3,1,6,577.01
432,0,50,10,129,2,19,0,17,10,113,4,0,0,69,0,1,2,6,531.9900000000001
435,0,48,7,197,2,23,1,10,8,76,1,0,0,104,1,1,2,9,589.9800000000001
440,1,15,1,98,0,7,1,2,0,25,0,0,0,16,0,1,0,2,268.99
441,0,7,0,27,0,4,0,1,0,5,1,1,0,5,0,1,0,1,153.00999999999996
443,0,5,0,27,1,1,0,0,0,4,0,0,2,3,0,1,0,1,144.98999999999998
445,0,7,2,78,0,0,0,4,0,20,2,0,0,18,1,2,0,1,234.99
