SEZIONE,italia_dei_valori,partito_democratico,la_destra_fiamma_tricolore,u_d_c_e_democratici_di_centro,partito_comunista_lavoratori,sinistra_critica,associazione_difesa_vita,lega_nord,il_popolo_della_liberta,partito_liberale_italiano,unione_democratica_consumatori,forza_nuova,partito_socialista,la_sinistra_l_arcobaleno,per_il_bene_comune,TOTALE
360,25,271,13,15,6,2,1,16,118,0,1,4,7,24,6,609.0099999999999
361,36,397,9,13,2,3,2,17,96,0,2,3,3,6,7,696.0000000000001
366,52,278,17,25,5,1,3,39,145,2,4,1,8,15,1,695.99
372,32,251,15,36,6,2,1,32,177,1,3,3,1,18,3,680.9999999999999
377,29,327,14,24,3,0,0,10,106,0,1,2,2,26,1,644.9899999999999
378,36,299,21,18,4,0,6,24,120,1,1,1,7,24,1,662.9999999999998
379,46,333,10,26,2,0,3,17,107,1,1,0,5,8,1,660.0099999999998
381,28,264,7,23,3,0,0,9,159,0,2,3,2,11,6,617.0
387,35,299,21,36,0,2,6,24,136,0,0,0,3,11,4,677.0100000000001
388,24,294,22,27,3,0,4,23,140,2,1,3,4,15,5,667.01
390,29,323,18,26,2,2,1,17,103,1,1,0,7,31,1,662.0199999999999
392,26,280,7,18,4,3,3,15,128,1,0,1,5,10,2,603.0200000000002
398,24,282,5,29,3,1,0,18,146,6,1,1,6,30,2,653.9799999999999
399,20,336,11,20,5,4,5,12,143,0,0,1,8,14,4,683.01
401,43,329,20,17,4,1,2,30,133,1,1,0,4,16,0,701.0099999999999
402,28,335,5,19,2,1,0,23,109,1,4,3,6,16,2,653.9899999999999
411,18,105,6,17,6,0,2,11,84,1,1,1,7,3,0,362.0
413,37,265,14,22,4,4,4,24,158,3,0,1,0,23,7,666.0199999999998
415,50,288,15,38,0,0,8,28,209,2,3,2,3,7,2,755.01
422,35,232,14,25,4,3,5,14,192,1,1,0,0,13,0,639.0100000000002
423,27,259,18,54,0,9,6,44,195,1,2,1,2,9,4,731.01
425,38,321,9,24,7,1,1,21,163,0,1,1,1,16,7,711.0
427,21,310,10,4,11,3,0,19,125,0,3,0,6,27,1,640.02
432,15,191,5,16,1,0,5,39,216,0,2,0,4,8,7,609.0000000000001
434,25,259,14,28,5,3,6,39,160,0,2,1,4,13,6,664.9899999999999
436,41,277,13,16,3,2,1,16,182,4,1,2,3,18,6,685.0
438,2,76,3,5,0,1,2,4,32,0,0,2,1,3,0,231.01
439,2,53,4,2,2,1,0,5,23,2,0,0,0,1,0,195.01000000000005
443,5,41,1,7,0,0,0,0,22,0,0,1,1,1,0,179.02
447,5,37,3,2,0,1,0,4,12,0,0,0,1,4,0,169.01
448,5,59,1,8,0,1,0,6,27,0,1,0,3,0,0,210.99
449,7,58,3,8,1,1,0,2,31,0,0,0,0,6,0,216.99
1,18,123,8,11,0,0,0,19,130,1,1,1,6,7,3,427.97
5,22,147,13,31,1,1,9,21,226,0,0,1,3,23,4,602.0
10,29,242,12,10,6,6,1,19,149,0,3,1,2,39,3,621.9900000000001
11,19,201,7,22,5,0,1,21,136,2,0,4,6,13,1,538.0
15,31,220,10,24,3,3,9,24,198,2,1,2,8,30,1,665.9999999999999
16,20,213,13,32,4,2,2,15,197,0,3,1,8,12,1,622.99
17,48,324,15,24,3,2,4,20,151,2,2,2,6,31,5,738.9899999999999
18,23,218,15,27,0,1,11,31,217,1,1,2,4,18,6,674.99
29,32,236,10,19,1,3,1,29,154,1,1,0,4,14,4,609.03
34,42,282,10,14,4,3,2,29,109,1,0,1,4,18,5,623.9900000000001
38,16,265,20,22,0,2,3,19,146,2,0,2,5,20,5,627.0100000000002
39,24,308,16,18,3,5,2,15,156,3,3,2,4,23,5,687.0099999999999
40,29,170,6,36,0,0,9,37,220,2,2,1,1,6,4,622.9800000000001
46,29,248,10,16,2,5,4,35,159,3,0,3,7,22,3,645.9999999999999
50,23,175,10,31,2,1,4,31,226,2,2,2,9,10,1,629.0100000000001
58,30,179,8,24,3,2,5,27,233,1,2,0,3,9,2,628.0100000000002
59,29,204,20,24,3,0,10,18,192,4,1,1,1,9,4,620.0000000000001
63,30,228,10,15,2,1,3,39,163,3,0,3,1,10,9,616.9800000000001
64,28,208,17,40,1,2,4,27,165,1,2,0,4,24,6,629.0
65,23,281,22,28,1,5,4,20,139,1,0,1,5,15,2,646.9799999999999
66,57,344,15,20,4,3,2,31,152,0,7,4,9,30,4,782.02
68,43,239,14,28,8,4,4,15,123,2,2,2,3,21,3,611.0
71,34,270,6,34,1,2,8,35,179,4,2,1,4,12,6,697.9999999999999
72,33,298,18,18,7,6,2,18,123,1,1,4,6,18,1,653.99
79,33,213,10,21,2,1,1,37,207,0,3,2,8,9,1,647.9699999999999
80,26,146,30,14,3,1,1,12,165,0,0,1,2,7,4,512.0
85,23,233,9,11,1,1,2,35,131,1,0,0,2,27,3,579.02
88,27,227,9,15,1,5,3,14,96,1,0,2,3,51,10,564.02
89,25,224,18,21,3,5,6,19,138,1,2,1,4,20,1,587.9700000000001
91,42,248,14,12,3,4,5,28,127,1,1,0,13,29,3,629.9800000000002
95,23,255,11,17,2,3,10,22,130,0,2,2,7,33,3,620.0000000000001
98,32,194,13,23,1,2,7,35,222,0,1,0,4,8,2,644.0
101,33,194,9,22,1,1,4,20,187,5,1,0,1,20,8,606.0100000000002
