SEZIONE,ALLEANZA NAZIONALE,ALTERNATIVA SOCIALE,D.C. E NUOVO P.S.I.,DEMOCRATICI DI SINISTRA,FORZA ITALIA,INSIEME CON L'UNIONE,ITALIA DEI VALORI,LA MARGHERITA,LA ROSA NEL PUGNO,LEGA NORD,M.S.FIAMMA TRICOLORE,P.R.I.,P.S.D.I.,PARTITO PENSIONATI,REPUBBLICANI EUROPEI,RIFONDAZIONE COMUNISTA,UDEUR,UNIONE DI CENTRO,TOTALE
217,78,3,2,278,99,44,22,65,18,10,2,0,1,8,5,43,1,27,706
218,63,1,0,325,72,41,22,27,21,7,1,0,0,3,1,49,0,20,653
219,34,3,4,362,79,50,17,50,17,13,0,1,1,6,0,24,0,18,679
220,38,1,0,274,104,31,17,45,10,14,0,1,1,5,0,24,2,35,602
221,56,2,1,253,73,39,18,45,18,12,1,1,3,5,0,33,1,25,586
222,67,5,1,278,87,30,16,63,15,12,2,1,1,6,4,58,4,41,691
223,58,3,1,244,75,39,18,51,14,6,3,0,0,5,0,42,4,28,591
224,53,1,4,291,109,42,10,37,18,10,1,1,0,11,0,34,2,23,647
225,59,5,1,240,92,35,9,38,10,9,1,0,0,11,0,26,2,44,582
226,48,3,2,245,74,32,15,31,20,10,1,0,5,6,1,39,0,26,558
227,51,3,2,223,74,42,19,50,15,8,3,2,0,10,2,41,2,20,567
228,42,4,1,280,81,28,6,31,15,8,1,0,4,11,0,45,0,27,584
229,72,4,3,238,103,27,15,34,7,21,1,1,0,8,1,31,2,40,608
230,65,4,3,281,92,70,17,66,20,17,3,0,0,10,0,59,0,32,739
231,60,9,2,222,67,25,16,34,11,11,1,1,0,12,2,35,1,14,523
232,53,3,4,284,66,38,13,46,18,6,2,1,2,4,1,41,2,22,606
233,70,4,1,268,68,47,17,21,16,13,1,2,2,11,0,36,1,26,604
234,78,8,3,269,95,40,12,31,7,18,1,1,1,5,0,36,2,49,656
235,47,4,2,313,88,42,20,33,10,5,6,0,1,4,0,52,0,20,647
236,31,3,3,349,52,36,8,33,14,5,4,2,0,6,0,48,1,21,616
237,71,2,3,355,69,52,27,57,12,14,2,1,1,3,1,44,3,30,747
238,76,1,2,245,79,38,15,34,5,10,1,2,0,6,0,37,6,26,583
239,52,7,3,286,77,38,15,25,12,11,1,1,2,3,0,35,2,23,593
240,78,3,2,243,89,46,12,36,15,10,1,2,0,6,0,47,1,13,604
241,43,0,1,299,87,31,11,43,17,12,1,0,1,6,0,40,1,19,612
242,73,4,0,260,77,53,22,52,16,7,1,0,0,7,0,37,1,26,636
