SEZIONE,collegio_senato,rifondazione_comunista,democrazia_europea,lista_pannella_bonino,casa_delle_liberta,l_ulivo_per_rutelli,lista_di_pietro,TOTALE
349,6,38,2,9,136,405,13,708.991824212
351,6,28,6,6,165,424,15,749.997826087
352,6,31,4,19,177,374,17,727.99392283
356,6,34,9,18,165,396,14,741.99591195
364,6,42,3,12,136,440,10,749.011881804
365,6,45,14,10,128,414,18,735.0042130370001
369,6,15,10,11,218,427,11,798.007630058
371,6,21,7,12,261,322,16,745.006384977
383,6,32,4,10,210,373,25,759.992966361
385,6,18,8,9,225,361,23,750.0050310560001
390,6,30,8,9,167,411,16,747.0001872070001
397,6,18,4,11,169,430,17,755.003497689
400,6,33,7,12,140,472,15,785.000088365
401,6,25,7,15,161,412,5,730.9999999999999
406,6,19,6,22,198,397,10,757.994110429
407,6,25,3,12,129,460,15,750.001987578
410,6,19,4,15,287,303,16,750.0003105589999
413,6,27,11,16,217,328,23,728.000836013
414,6,18,7,14,240,314,16,715.005665025
415,6,14,10,12,256,330,8,735.9922222219999
419,6,20,12,8,231,352,10,738.999557662
422,6,11,13,13,267,290,20,720.011530945
423,6,27,11,15,256,353,11,778.991887073
424,6,19,9,10,183,428,19,774.0043113769999
425,6,21,7,11,225,382,20,771.993153153
431,6,26,5,17,252,313,16,734.98354531
432,6,16,8,17,258,191,12,607.9972509959999
433,6,17,7,12,278,298,20,737.9998734179999
434,6,27,7,8,201,319,9,677.00854641
437,6,1,23,0,23,10,2,164.99491525399998
440,6,8,0,1,36,68,5,224.009661017
442,6,4,1,8,32,45,2,197.997826087
443,6,4,1,0,33,50,0,194.005454545
444,6,10,2,3,34,71,3,229.000081301
445,6,5,3,1,35,48,2,199.989148936
448,6,1,1,0,12,31,2,153.007659574
449,7,4,2,4,22,43,2,183.994805195
450,7,7,2,2,37,67,3,224.99220339
2,6,19,29,12,255,230,6,656.998275862
5,6,13,20,19,288,180,10,635.9928301890001
6,6,21,14,23,251,230,10,654.995136612
10,6,42,2,18,190,255,16,629.0005927339998
15,6,31,14,18,271,256,12,707.999501661
16,6,27,12,26,256,286,13,726.0048387100001
20,7,3,21,28,422,179,11,771.001807229
29,7,26,3,15,211,234,18,613.998205128
30,7,22,4,19,293,314,19,778.008688525
31,7,29,10,24,244,288,10,711.99338843
34,7,31,10,12,166,334,22,682.0113043480001
36,7,24,6,13,229,314,23,716.0008866999999
38,7,26,5,15,213,333,19,717.995319149
39,7,32,7,17,214,349,22,748.002199688
42,7,26,13,17,206,334,19,721.997642276
45,6,19,8,17,275,242,10,676.997495622
46,6,18,5,19,228,275,7,658.000869565
52,6,7,11,23,323,192,19,680.987391304
53,6,17,4,12,264,275,12,689.990958904
54,6,30,5,16,218,270,24,668.998596803
59,6,14,12,10,288,247,15,692.0090784979999
62,6,19,11,18,262,222,13,650.996238532
68,7,53,8,11,171,312,29,690.995342466
70,7,38,8,11,149,371,24,707.992795341
82,7,36,5,10,152,352,17,678.993706294
83,7,25,3,16,194,298,11,654.010383912
85,6,17,3,14,211,277,14,642.001641791
