SEZIONE,collegio_camera,l_ulivo_per_rutelli,lista_di_pietro,casa_delle_liberta,lista_pannella_bonino,democrazia_europea,TOTALE
147,12,335,19,235,24.0,4.0,729.00497569
152,12,231,11,291,23.0,11.0,679.00074074
154,12,248,12,331,28.0,9.0,740.00044586
158,12,251,12,376,12.0,1.0,763.99693252
159,12,194,10,400,26.0,7.0,748.99525903
163,12,233,9,302,22.0,30.0,707.99395973
165,12,310,12,326,32.0,9.0,800.9927431099999
168,12,240,13,360,12.0,13.0,750.0075548599999
169,12,343,21,225,18.0,4.0,722.99747954
171,12,293,11,296,13.0,8.0,733.00196457
173,12,313,15,310,15.0,10.0,774.99965309
178,12,360,16,264,18.0,9.0,779.00301349
180,12,314,11,289,14.0,3.0,743.0022820900001
181,12,339,14,285,20.0,4.0,773.9884592100001
182,12,329,9,209,7.0,6.0,672.0000000000001
183,12,271,16,338,15.0,9.0,761.0065485399999
185,12,443,9,178,14.0,4.0,760.0041975299999
188,12,305,15,236,11.0,4.0,683.0050613
190,16,244,13,336,25.0,6.0,740.0025641
192,16,310,11,319,27.0,6.0,788.99240713
203,14,502,19,187,,,821.9939548
206,14,467,27,230,,,838.00276243
208,14,468,29,212,,,822.99846262
210,14,379,19,260,,,771.9987841899999
212,14,468,24,255,,,861.00060241
216,14,461,28,305,,,908.0004534
222,14,501,32,225,,,871.99498681
223,14,470,27,212,,,823.00055007
229,14,405,25,253,,,796.9972181600001
231,14,407,25,196,,,741.9989172
232,14,458,30,158,,,759.99783282
233,14,427,31,203,,,774.99909228
234,14,444,22,273,,,853.0011908000001
237,14,560,28,162,,,863.99666667
243,14,488,29,184,,,815.00483595
247,14,409,27,215,,,765.0064208900001
251,14,535,13,158,,,819.99903683
252,14,530,17,139,,,799.99947522
253,14,496,28,153,,,791.00440177
258,14,396,24,208,,,741.9973248399999
268,13,400,10,237,29.0,11.0,800.0041630300001
274,13,436,22,176,16.0,8.0,771.00139818
276,13,434,22,191,21.0,6.0,787.00169139
280,13,393,18,162,17.0,10.0,713.0
281,13,388,13,215,12.0,12.0,753.005
285,13,431,22,181,20.0,3.0,770.00121766
286,13,417,23,169,15.0,18.0,754.99327103
303,14,470,23,199,,,805.9990751400001
306,14,555,16,150,,,834.99642164
307,14,508,30,169,,,820.99289958
308,14,489,18,166,,,786.99973254
309,14,515,23,153,,,804.99966715
313,14,458,20,202,,,794.00294118
317,14,462,19,185,,,779.99936937
320,14,411,31,201,,,756.9991290799999
322,14,453,29,171,,,767.00212864
326,14,407,25,180,,,725.99326797
330,14,486,20,223,,,842.99666667
333,13,405,8,129,11.0,9.0,674.9940569400001
335,13,398,22,227,14.0,12.0,785.99818722
344,13,413,15,193,18.0,7.0,759.00188854
346,13,337,17,279,23.0,6.0,775.00634441
347,13,359,24,261,24.0,5.0,786.0032392300001
351,13,474,18,176,11.0,8.0,799.99563319
355,13,376,25,245,10.0,10.0,778.99645646
359,13,383,9,203,19.0,14.0,740.99726115
360,13,421,22,167,15.0,15.0,752.99125
362,13,491,23,120,19.0,9.0,774.99918429
363,13,362,22,205,13.0,14.0,728.99623377
364,13,497,10,152,12.0,4.0,787.99962963
365,13,478,14,146,12.0,16.0,778.9917717699999
368,12,373,12,271,18.0,7.0,792.99239354
372,12,322,23,291,28.0,6.0,781.99970149
373,12,389,20,200,19.0,7.0,746.99984252
374,12,374,13,239,20.0,5.0,763.0000768000001
375,12,370,20,225,19.0,10.0,756.00341615
378,12,422,23,203,16.0,8.0,783.99761905
380,12,433,11,212,6.0,1.0,774.9992005999999
381,12,395,21,207,15.0,8.0,757.9955108400001
382,12,417,15,173,12.0,5.0,733.99180064
386,12,446,10,201,13.0,7.0,788.9988773999999
389,12,377,15,233,17.0,10.0,764.00208589
391,12,426,13,191,15.0,6.0,762.9977880199999
392,12,389,15,207,16.0,6.0,745.00339652
393,12,429,19,175,15.0,4.0,754.00242991
396,12,428,21,225,13.0,6.0,805.01046176
398,12,414,17,224,20.0,9.0,796.00631579
