SEZIONE,partito_comunista_lavoratori,u_d_c_e_democratici_centro,partito_liberale_italiano,forza_nuova,la_sinistra_l_arcobaleno,il_popolo_della_liberta,lega_nord,la_destra_fiamma_tricolore,unione_democratica_consumatori,italia_dei_valori,partito_democratico,sinistra_critica,per_il_bene_comune,partito_socialista,TOTALE
323,1,12,2,3,33,110,18,6,1,21,282,3,10,2,604.02
329,3,11,2,4,30,146,12,15,1,33,321,2,1,2,682.9899999999999
332,3,22,1,1,41,139,23,23,4,27,263,1,5,5,658.01
336,2,34,1,3,26,137,26,8,1,29,301,2,1,4,674.9900000000001
337,3,12,0,1,30,105,16,14,2,30,309,2,5,4,633.0100000000001
348,4,16,0,0,39,119,17,4,1,33,303,7,5,2,650.0
351,1,19,1,3,31,131,14,3,1,42,286,0,1,1,634.0200000000002
358,4,14,0,6,16,101,17,11,3,26,265,2,1,4,570.0
365,6,17,0,1,37,78,23,9,2,30,295,1,0,7,606.02
370,3,34,0,1,19,141,26,11,1,40,352,2,0,7,737.0099999999999
373,0,25,1,1,31,140,12,9,1,30,251,4,6,3,613.98
379,3,27,3,0,13,113,12,6,2,34,321,0,1,3,638.02
384,3,16,2,5,15,167,25,11,0,32,350,1,1,2,730.0199999999999
396,2,29,2,0,30,138,17,8,1,41,305,2,0,1,676.0
400,3,18,4,0,29,105,21,16,4,24,357,3,1,2,687.01
401,3,19,1,1,21,132,29,16,2,40,310,1,1,1,676.9899999999999
406,0,26,0,1,28,141,14,7,2,21,284,3,1,0,628.0000000000001
409,1,23,4,3,30,141,22,11,1,40,356,2,6,2,741.9899999999999
410,5,16,1,1,18,176,27,10,0,30,241,2,3,1,631.0
411,4,17,1,1,6,85,12,3,2,16,100,2,0,5,353.9800000000001
417,3,17,0,2,19,216,22,8,2,32,273,1,1,5,700.9899999999999
422,3,21,3,0,24,189,15,9,0,30,221,0,1,0,615.9900000000001
425,4,24,2,1,25,155,22,7,1,23,309,1,6,2,681.9799999999999
428,4,40,1,4,32,130,13,14,1,33,272,2,1,2,648.9899999999999
429,1,22,0,3,19,154,16,9,2,25,254,0,2,8,614.99
430,2,26,1,0,34,121,31,9,0,30,327,2,5,4,692.01
432,2,12,0,0,21,219,29,4,2,12,167,0,2,3,573.0
434,3,28,2,1,18,151,33,17,2,21,244,2,5,3,630.02
438,1,4,1,1,6,33,3,4,0,1,70,2,0,1,227.0
440,1,5,1,0,5,29,4,0,0,4,50,2,0,2,202.98
441,0,4,0,0,2,6,1,0,0,2,35,1,0,1,151.99999999999997
443,0,8,0,0,1,22,1,0,1,2,40,0,0,1,176.01999999999998
444,1,3,0,0,1,23,0,4,0,1,41,1,1,0,176.01999999999998
447,1,3,0,0,3,11,4,2,0,4,38,0,0,1,167.01000000000002
448,0,8,1,0,3,27,4,1,0,4,58,0,1,1,208.01000000000005
449,1,5,1,0,4,30,2,3,0,8,59,0,0,0,212.98
4,2,37,2,2,31,213,14,12,1,24,182,0,1,6,627.0100000000001
5,1,32,2,1,29,214,19,4,0,17,123,3,3,3,551.0099999999998
6,3,24,2,3,24,201,17,11,0,24,201,3,3,3,619.0100000000001
8,2,33,0,0,39,128,24,10,0,20,202,1,0,5,564.0100000000001
10,5,10,1,3,64,134,17,12,2,28,212,1,2,3,593.99
15,3,26,2,1,47,199,22,5,1,24,195,1,0,5,631.0000000000001
16,3,30,1,1,24,200,12,9,2,16,200,1,1,7,607.0200000000001
17,6,24,2,1,48,154,20,13,2,45,297,1,4,4,720.99
19,1,26,4,0,22,258,35,11,1,21,182,1,3,4,669.0099999999999
20,0,41,6,0,13,297,34,3,1,18,140,0,0,5,658.02
23,0,29,1,2,29,198,23,6,0,38,207,0,5,5,642.9899999999999
24,1,20,2,1,27,297,29,9,1,18,191,4,1,6,706.99
26,1,29,2,1,41,183,27,16,0,23,243,0,3,3,671.98
28,1,28,1,1,32,223,26,11,1,26,224,1,2,3,679.99
29,1,17,1,0,32,154,27,5,1,21,209,3,0,4,574.99
31,3,22,3,2,36,175,21,17,0,17,248,4,3,2,652.99
35,0,32,0,2,43,183,36,10,2,23,228,5,2,2,667.99
36,4,27,0,0,31,145,36,7,0,34,247,0,0,2,633.0
40,0,42,2,1,10,228,27,5,2,27,145,1,3,1,593.9800000000001
51,3,19,3,2,29,258,39,7,1,23,141,0,4,4,633.0
54,2,10,3,1,41,167,24,5,2,27,172,5,6,5,569.9999999999999
58,2,27,1,0,17,234,24,2,2,22,161,1,2,3,597.9900000000001
59,1,24,3,2,20,200,16,11,2,22,185,0,5,1,592.0100000000001
65,1,24,2,2,28,136,22,15,2,19,254,5,2,6,618.02
69,1,31,0,3,34,135,18,10,3,25,239,2,1,3,604.9900000000001
70,4,30,1,0,22,97,12,7,4,26,275,0,1,5,584.0200000000001
72,4,18,3,2,31,123,17,16,1,25,277,7,0,6,630.0100000000001
73,3,17,1,0,34,118,22,12,2,32,298,2,4,7,652.0000000000001
79,4,17,1,2,25,210,24,13,1,29,194,1,1,5,627.0000000000002
80,1,18,0,1,15,166,10,16,0,23,127,0,6,1,484.00000000000006
82,7,8,1,1,28,104,14,12,1,23,306,2,3,2,612.01
85,1,12,1,0,58,142,24,5,0,18,193,0,1,1,556.0000000000001
86,1,19,1,1,28,206,19,5,1,18,178,2,2,3,584.0199999999999
89,2,23,2,3,38,135,15,10,2,16,186,4,1,5,541.9799999999999
91,3,13,0,0,50,137,22,11,2,35,223,2,3,9,609.99
94,0,15,3,0,36,78,20,8,2,19,187,2,2,5,477.00999999999993
99,1,20,2,0,28,239,30,6,1,38,211,3,3,4,685.9799999999999
101,1,19,5,1,29,183,23,10,1,32,167,0,5,1,577.0
105,3,23,0,4,43,185,20,12,3,28,226,5,1,3,656.0099999999999
106,7,25,2,1,37,103,21,8,3,34,258,3,1,6,609.02
107,7,13,0,1,53,122,20,10,4,33,300,5,4,3,675.01
109,2,15,0,0,66,116,17,12,2,44,306,4,10,5,699.0
114,0,28,2,0,36,217,15,11,2,28,229,2,4,3,677.0100000000001
118,0,10,0,3,20,111,14,6,1,14,130,1,1,2,412.9899999999999
121,3,24,1,2,35,161,16,6,4,28,207,4,2,4,596.9699999999998
122,2,25,0,1,32,161,21,2,1,37,245,5,4,7,642.99
126,4,25,0,0,29,162,26,7,2,28,246,0,1,4,634.0000000000001
132,8,29,1,1,39,203,22,10,1,28,365,2,6,5,820.0000000000001
134,3,29,3,1,32,157,23,14,4,30,329,3,2,5,734.9799999999998
136,0,27,3,3,21,166,16,15,5,23,246,2,2,3,632.0
137,1,14,1,1,23,142,26,14,1,25,186,0,4,1,539.01
138,0,21,3,3,17,232,26,7,0,14,119,1,1,2,545.99
140,5,13,3,0,51,139,23,11,3,20,214,1,0,4,587.0100000000001
141,2,6,2,0,41,144,16,4,3,19,182,4,3,3,529.0100000000001
149,2,16,0,0,41,142,19,13,1,29,194,4,3,7,571.0
154,0,13,4,1,25,233,20,7,1,30,180,1,2,6,623.0
158,0,30,2,1,20,258,32,8,0,27,178,0,5,2,663.0200000000001
166,1,25,2,1,25,229,23,5,6,23,177,1,2,0,619.98
168,0,42,0,0,16,219,16,13,1,18,186,1,1,1,613.9800000000002
171,2,30,2,3,35,188,21,14,1,23,197,1,3,3,623.0000000000001
172,1,26,1,2,18,247,20,6,2,29,193,0,2,5,651.99
175,3,27,1,0,26,180,16,11,4,24,219,0,1,3,614.9900000000001
176,0,26,2,4,19,176,15,15,1,25,179,2,3,1,568.0099999999999
177,1,22,1,3,24,132,23,11,4,18,255,1,4,2,601.01
179,1,24,1,3,38,123,12,13,3,16,281,1,2,1,618.98
182,2,14,1,1,17,134,18,5,0,32,212,2,0,4,542.0
188,6,14,0,2,19,165,20,4,1,30,195,2,0,1,559.0200000000002
189,2,36,1,3,14,239,22,3,0,17,156,1,2,4,600.0
190,0,24,2,1,18,227,28,10,0,29,158,0,4,6,606.9799999999999
193,3,43,1,1,12,304,28,9,0,13,147,0,4,3,668.0
198,5,22,0,0,23,168,23,12,2,30,343,1,8,8,745.02
204,2,15,2,1,33,152,28,18,2,45,366,3,4,7,777.9800000000001
207,5,19,1,1,30,155,24,7,3,49,336,6,3,6,745.0300000000001
211,4,17,1,1,22,141,25,24,1,40,351,0,4,1,732.01
212,3,18,4,2,21,194,39,21,0,41,376,3,2,7,831.0000000000001
213,5,25,0,2,32,119,20,6,1,28,355,2,3,3,701.0000000000001
214,2,25,2,3,32,159,18,14,3,30,312,2,3,2,706.9900000000001
217,3,23,2,3,39,170,23,14,4,38,339,2,3,5,768.01
220,3,22,1,1,28,136,17,5,0,26,305,1,0,5,650.0
222,1,35,0,1,26,163,19,17,0,30,357,4,4,9,765.9800000000001
225,2,19,1,1,20,142,17,17,2,22,298,2,2,3,647.9699999999999
236,6,9,0,1,31,88,10,17,4,33,345,3,0,2,649.0
245,3,21,1,5,38,126,19,16,2,38,365,4,5,2,745.02
246,3,17,0,5,15,144,13,10,2,33,325,2,1,2,671.98
254,2,15,2,1,25,93,21,6,3,37,341,2,4,1,652.9799999999999
258,5,30,1,3,17,158,22,17,1,29,302,2,7,4,698.0
260,5,19,0,2,40,116,16,9,0,35,260,4,2,4,612.0099999999999
262,5,24,0,0,31,172,22,8,3,25,253,0,2,5,650.0
263,5,20,3,2,25,114,16,13,3,22,277,2,1,6,608.9899999999999
264,2,19,1,0,31,115,10,11,1,34,219,2,3,2,549.99
266,6,13,2,1,31,131,16,14,2,31,239,2,1,9,597.9799999999999
272,0,13,0,2,41,163,25,8,1,34,222,5,5,2,621.0100000000001
273,4,25,2,2,66,171,26,28,3,57,393,5,6,5,892.99
276,4,22,1,1,46,120,18,9,2,30,282,5,4,4,647.9700000000001
282,2,20,0,2,31,131,19,9,1,24,252,1,2,0,593.99
292,3,13,2,3,40,91,16,6,1,41,274,4,1,3,597.97
294,5,12,1,1,32,119,9,7,2,21,313,1,0,3,625.9900000000001
296,7,36,1,4,33,159,31,22,1,45,430,1,6,1,876.99
298,4,27,0,0,31,125,14,8,4,49,382,5,3,3,754.9900000000001
