tile_id,i,j,x,y,people,hc1,hc2,pvhe
1302,28,14,28,14,74,1.3191088,0.05409612,-0.0051903187670079
1303,29,14,29,14,102,1.8624312,0.08152547,-0.005306944136630983
1305,31,14,31,14,69,1.3014907,0.05141493,-0.011797827607901908
1306,32,14,32,14,53,1.014356,0.038215093,-0.008017269368899002
1307,33,14,33,14,33,0.6411829,0.023163987,-0.012867583075819223
1308,34,14,34,14,22,0.43504903,0.015958091,-0.016048689406137066
1309,35,14,35,14,15,0.30277035,0.012051945,-0.0031893928787803585
1310,36,14,36,14,100,2.066175,0.09980612,-0.009240858099298902
1311,37,14,37,14,96,2.0197902,0.10365616,-0.010895958061352937
1312,38,14,38,14,206,4.4135027,0.26061428,-0.007573353464422925
1313,39,14,39,14,91,1.963006,0.10675018,-0.016575030578256985
1314,40,14,40,14,151,3.2631264,0.16966945,-0.015429568762076545
1318,44,14,44,14,33,0.71860826,0.025618766,-0.01410456635774557
1319,45,14,45,14,12,0.26355657,0.009372304,-0.015748116768858945
1320,46,14,46,14,16,0.35512426,0.013251821,-0.01698426054570397
1322,48,14,48,14,131,2.994681,0.15519138,-0.014004672170458888
1323,49,14,49,14,34,0.7788177,0.03714326,-0.006604036087348795
1324,50,14,50,14,15,0.3431546,0.015519168,-0.008972291877954144
1325,51,14,51,14,20,0.45684725,0.020861106,-0.017405390406930555
1326,52,14,52,14,35,0.7975991,0.03831481,-0.014333180518158928
1327,53,14,53,14,114,2.5895221,0.1390551,-0.005893654298151512
1328,54,14,54,14,170,3.827068,0.21823461,-0.0024843933728858
1329,55,14,55,14,121,2.6688228,0.13743773,-0.002335206910745532
1339,65,14,65,14,2,0.036671836,0.0011483885,0.0006931160672868544
1340,66,14,66,14,29,0.52942735,0.019834083,-0.0012296282360734709
1341,67,14,67,14,1,0.018098207,0.0006900989,-0.0006568336105188801
1342,68,14,68,14,5,0.08991574,0.0038434146,-6.983613776220267e-05
1343,69,14,69,14,6,0.10728308,0.0053662825,0.00026611082726972653
1344,70,14,70,14,224,3.976123,0.26322392,-0.007164902089207874
1345,71,14,71,14,40,0.6828598,0.031935487,-0.0091769843271025
1347,73,14,73,14,28,0.45026734,0.016719792,-0.005035772216677701
1348,74,14,74,14,46,0.7200429,0.025639271,-0.0028108515182086696
1351,77,14,77,14,4,0.057359613,0.0014261962,-0.0091769843271025
1356,82,14,82,14,1,0.012572953,0.0002443471,-0.0091769843271025
1391,26,15,26,15,51,0.88452345,0.030990936,-0.0051903187670079
1392,27,15,27,15,54,0.97024405,0.040260885,-0.0051903187670079
1393,28,15,28,15,26,0.4816532,0.021340536,-0.005729165386600838
1394,29,15,29,15,131,2.504738,0.13590209,-0.01212707850241408
1395,30,15,30,15,105,2.045795,0.108051084,-0.013439923418929762
1396,31,15,31,15,59,1.1601807,0.052295968,-0.01441363335289559
1397,32,15,32,15,23,0.4569003,0.018096337,-0.016387026733182767
1398,33,15,33,15,26,0.5243459,0.020602334,-0.018334565592225533
1399,34,15,34,15,40,0.8202015,0.03301,-0.02204290391930962
1400,35,15,35,15,35,0.72986645,0.029901057,0.0004156685295497877
1401,36,15,36,15,96,2.040343,0.092827335,-0.010086946877387289
1402,37,15,37,15,24,0.5179885,0.02280703,0.0014256850290319074
1403,38,15,38,15,58,1.2798817,0.066350736,0.011179578732329389
1404,39,15,39,15,347,7.8635583,0.5596152,-0.011026872281764086
1405,40,15,40,15,262,5.9462066,0.3785035,-0.012265580192606668
1409,44,15,44,15,26,0.59276444,0.022750081,-0.012730541328009853
1410,45,15,45,15,18,0.4153603,0.016711788,-0.005550937106539361
1412,47,15,47,15,91,2.1687284,0.11145013,-0.016284059791736135
1413,48,15,48,15,169,4.104684,0.2525647,-0.012400541410123351
1414,49,15,49,15,45,1.0952823,0.060460955,-0.0063554911940949
1415,50,15,50,15,18,0.4386207,0.02357953,-0.011453248757647983
1416,51,15,51,15,10,0.24332206,0.012989841,-0.0178090564131288
1417,52,15,52,15,56,1.3591174,0.07693232,-0.0178090564131288
1418,53,15,53,15,110,2.6563923,0.162503,-0.017704221462771355
1419,54,15,54,15,148,3.5367167,0.22690804,-0.01055993066971158
1420,55,15,55,15,141,3.2978883,0.19930393,-0.0028938381903702926
1422,57,15,57,15,28,0.61488026,0.024862822,-0.0023545084418562664
1430,65,15,65,15,10,0.19111843,0.007141345,0.0005967048640633027
1431,66,15,66,15,179,3.4399922,0.18926474,-0.001986250746818578
1432,67,15,67,15,56,1.0696977,0.05857033,-0.005907325027304898
1433,68,15,68,15,178,3.4122553,0.24349946,-0.005604274246738835
1434,69,15,69,15,239,4.5548654,0.3717736,-0.006011462854311799
1435,70,15,70,15,478,8.926182,0.79997885,-0.007892808607766984
1438,73,15,73,15,5,0.08162498,0.0025747612,-0.008318696701960079
1439,74,15,74,15,5,0.07938396,0.002361312,-0.008737583474375539
1440,75,15,75,15,1,0.015433089,0.0004186064,-0.0091769843271025
1445,80,15,80,15,5,0.06779174,0.0016237313,-0.0091769843271025
1446,81,15,81,15,22,0.2911081,0.007351804,-0.009171431219285502
1482,26,16,26,16,10,0.178518,0.0063099475,-0.00663309773024609
1483,27,16,27,16,167,3.1158738,0.16189027,-0.0056206541139634265
1484,28,16,28,16,120,2.3156521,0.12801714,-0.006311679682920408
1485,29,16,29,16,225,4.4983387,0.30147755,-0.006691200189632113
1486,30,16,30,16,337,6.8971095,0.497551,-0.006708737254546599
1487,31,16,31,16,74,1.5147294,0.07788228,-0.00947936900800127
1488,32,16,32,16,44,0.9074934,0.039970547,-0.013687425511007018
1489,33,16,33,16,109,2.2862313,0.10723344,-0.01645101669539908
1490,34,16,34,16,100,2.1298542,0.0988596,-0.0164603240749254
1491,35,16,35,16,53,1.1431726,0.049075507,-0.008253653243809837
1492,36,16,36,16,24,0.52436525,0.021212552,0.01134973549762012
1493,37,16,37,16,26,0.57667655,0.023355635,0.005841767615434461
1494,38,16,38,16,10,0.22660863,0.010393665,0.010225000158748256
1495,39,16,39,16,333,7.7753625,0.5224979,-0.0008820557788079058
1496,40,16,40,16,144,3.3746572,0.19394219,0.015575587861014551
1497,41,16,41,16,24,0.5598533,0.024646133,0.01098986548577488
1498,42,16,42,16,11,0.25731337,0.010194125,-0.00920263198523681
1499,43,16,43,16,5,0.11795071,0.0045937565,-0.0177310136713752
1500,44,16,44,16,22,0.5263106,0.022360913,-0.017291097360527603
1501,45,16,45,16,123,2.993698,0.1490997,0.007830340554837497
1502,46,16,46,16,48,1.1829848,0.057475533,0.013108206153159255
1503,47,16,47,16,49,1.2328131,0.06857856,-0.011924852358654228
1504,48,16,48,16,363,9.39644,0.71522397,-0.010771540665509623
1505,49,16,49,16,82,2.1381912,0.14869873,-0.0063554911940949
1506,50,16,50,16,263,6.9339743,0.5443778,-0.022356529963888178
1507,51,16,51,16,137,3.6119878,0.2773914,-0.01927969956139707
1508,52,16,52,16,158,4.12696,0.3057308,-0.024206893701553815
1509,53,16,53,16,161,4.146332,0.29753464,-0.0178090564131288
1510,54,16,54,16,225,5.709669,0.4226174,-0.01288237515284204
1511,55,16,55,16,281,6.9747977,0.5103809,-0.0043103898512075
1512,56,16,56,16,189,4.5341854,0.2794849,-0.003480894745587918
1513,57,16,57,16,83,1.9210091,0.09474365,-0.002351044865361123
1521,65,16,65,16,11,0.21821958,0.008926654,0.0007680273271404916
1522,66,16,66,16,274,5.4890018,0.35559165,-0.0014980189623206893
1523,67,16,67,16,139,2.7781234,0.19132885,-0.0024067696195716726
1524,68,16,68,16,637,12.872036,1.3119786,-0.007781755179429686
1525,69,16,69,16,561,11.131888,1.1204075,-0.008164003158882976
1526,70,16,70,16,235,4.454131,0.33363295,-0.008812462141328286
1527,71,16,71,16,41,0.7351932,0.034091882,-0.008637585959295745
1528,72,16,72,16,1,0.017188577,0.0005817878,-0.0091769843271025
1529,73,16,73,16,1,0.016651994,0.00050131074,-0.0091769843271025
1530,74,16,74,16,1,0.016193127,0.00046008735,-0.0091769843271025
1535,79,16,79,16,5,0.0711725,0.0018427871,-0.0091769843271025
1536,80,16,80,16,16,0.22259118,0.0062250127,-0.00910560950798386
1537,81,16,81,16,37,0.5028576,0.015299396,-0.007916134563704748
1573,26,17,26,17,45,0.8260952,0.031688396,-0.0066822541720176
1574,27,17,27,17,142,2.7238657,0.14175808,-0.0066822541720176
1575,28,17,28,17,106,2.1049929,0.11689005,-0.0066822541720176
1576,29,17,29,17,206,4.2371745,0.2790543,-0.0066822541720176
1577,30,17,30,17,239,5.0288467,0.3406115,-0.0066822541720176
