tile_id,x,y,people,pvhe
6071,53,59,412,-0.07352092461686982
6072,54,59,1295,-0.05673153049038637
6073,55,59,2110,-0.05319604932733289
6074,56,59,858,-0.04542851731056892
6075,57,59,24,-0.0322277774586633
6076,58,59,10,-0.032647746837404484
6077,59,59,1,-0.032841762471686665
6078,60,59,1,-0.03321360890772685
6079,61,59,5,-0.03943804836481923
6080,62,59,7,-0.04798995302886981
6081,63,59,11,-0.04475307987784498
6082,64,59,58,-0.03473021485721101
6083,65,59,133,-0.030445107564871794
6084,66,59,114,-0.023425495004370807
6085,67,59,10,-0.02339746179020047
6086,68,59,5,-0.02244496017814067
6087,69,59,4,-0.0202484549122915
6088,70,59,58,-0.02116534883002594
6089,71,59,723,-0.02434109926624251
6090,72,59,595,-0.017397680687253
6091,73,59,235,-0.018221058007814928
6092,74,59,34,-0.00865572342868542
6093,75,59,2,-0.0041734222568779
6094,76,59,5,-0.0041734222568779
6095,77,59,2,-0.0041734222568779
6096,78,59,7,-0.0041734222568779
6097,79,59,70,-0.0021979315599587046
6098,80,59,249,0.00019783285325712923
6100,82,59,1,0.002283857264942
6101,83,59,1,0.002283857264942
6104,86,59,5,-0.0032687866905330666
6107,89,59,6,-0.0176793069727503
6135,15,60,10,-0.02430839492981045
6136,16,60,27,-0.012616657306883845
6137,17,60,46,-0.01096211781939242
6138,18,60,37,0.0025025592284119345
6139,19,60,69,0.001593880727126338
6140,20,60,430,-0.029890353693775712
6141,21,60,307,-0.0304538641267897
6142,22,60,484,-0.030426065722300936
6143,23,60,360,-0.03422602093949518
6144,24,60,265,-0.03187461959750149
6145,25,60,239,-0.045596884543383835
6146,26,60,947,-0.0512717526893508
6147,27,60,998,-0.05268526814492408
6148,28,60,281,-0.04957257184411673
6149,29,60,2872,-0.0629454305918374
6150,30,60,3115,-0.080947519879594
6151,31,60,1732,-0.05803279853378637
6152,32,60,146,-0.06687493515843185
6153,33,60,549,-0.06912630144092487
6154,34,60,1227,-0.07975764961928185
6155,35,60,23,-0.10377454788749889
6157,37,60,2172,-0.08839174244034241
6158,38,60,2007,-0.08392878358712721
6159,39,60,514,-0.087030662583777
6160,40,60,265,-0.06937844455229428
6161,41,60,1550,-0.059799886646036776
6162,42,60,1575,-0.06293362734339102
6163,43,60,5,-0.0606534297502276
6164,44,60,423,-0.06043823244318394
6165,45,60,3887,-0.09435874418081858
6166,46,60,5095,-0.08724670271817724
6167,47,60,6826,-0.07895231220355431
6168,48,60,1169,-0.09564761570752528
6169,49,60,1451,-0.10610016112351975
6170,50,60,312,-0.09151771809014463
6171,51,60,321,-0.07711026587194966
6172,52,60,70,-0.07864977798442997
6173,53,60,1433,-0.07205083504156008
6174,54,60,3491,-0.06004355118736668
6175,55,60,1315,-0.05840108586643825
6176,56,60,253,-0.058188268218482365
6177,57,60,18,-0.05009139775373384
6178,58,60,17,-0.032606569353630564
6179,59,60,30,-0.0322277774586633
6180,60,60,5,-0.03905583821082777
6181,61,60,5,-0.04925982319456209
6183,63,60,58,-0.03942671784317518
6184,64,60,209,-0.031748000177683325
6185,65,60,323,-0.02607894003633572
