SEZIONE,TOTALE_ISCRITTI,"1 - PARTITO DEMOCRATICO,VELTRON","2 - ITALIA DEI VALORI,DI PIETRO","3 - PARTITO SOCIALISTA,BOSELLI","4 - UNIONE DI CENTRO,CASINI PRE","5 - LEGA NORD,BOSSI","6 - IL POPOLO DELLE LIBERTÁ,BER","7 - SINISTRA CRITICA,ECOLOGISTA",8 - PARTITO COMUNISTA DEI LAVORAT,9 - PARTITO LIBERALE ITALIANO,10 - LA DESTRA FIAMMA TRICOLORE -,11 - PER IL BENE COMUNE,12 - LA SINISTRA L'ARCOBALENO,13 - UNIONE DEMOCRATICA PER I CONS,"14 - P.P.A.,LIBERTÁ E PARTECIPAZ",TOTALE,AFFLUENZA
19,577,114,21,5,23,22,175,4,3,0,9,0,16,1,0,393,0.6811091854419411
20,793,240,25,5,20,40,181,6,2,1,23,3,57,1,0,604,0.7616645649432535
21,604,175,30,1,17,14,163,1,1,1,29,5,29,2,0,468,0.7748344370860927
22,771,208,46,9,28,51,226,3,2,2,15,6,34,0,0,630,0.8171206225680934
23,728,219,34,2,15,32,204,3,9,0,18,3,31,1,0,571,0.7843406593406593
24,697,209,18,3,31,40,218,1,0,2,16,2,20,2,0,562,0.806312769010043
25,844,286,47,7,16,26,178,7,6,1,9,4,36,0,0,623,0.7381516587677726
26,639,220,20,5,15,30,134,1,3,2,7,2,41,1,0,481,0.7527386541471048
27,705,224,28,4,12,40,181,1,0,0,9,2,35,0,0,536,0.7602836879432624
28,783,254,36,2,33,24,190,8,2,2,13,1,43,0,0,608,0.776500638569604
29,734,252,30,3,26,31,211,2,5,0,14,0,16,0,0,590,0.8038147138964578
30,672,219,32,3,19,35,203,2,1,4,12,1,22,2,0,555,0.8258928571428571
31,702,250,20,4,23,32,178,2,4,1,9,2,25,2,0,552,0.7863247863247863
32,709,247,31,0,26,32,164,0,4,5,11,3,23,1,0,547,0.771509167842031
33,699,250,26,6,24,21,146,3,3,0,9,3,32,0,0,523,0.748211731044349
34,760,230,34,4,20,30,226,0,2,2,16,4,23,0,0,591,0.7776315789473685
35,282,52,10,0,11,23,133,1,0,1,11,1,8,0,0,251,0.8900709219858156
36,797,215,36,1,29,33,290,2,4,1,21,1,17,1,0,651,0.8168130489335006
37,694,178,26,2,30,46,241,3,0,1,22,3,15,0,0,567,0.8170028818443804
38,737,196,32,5,28,37,278,1,2,0,23,0,15,1,0,618,0.8385345997286295
39,709,220,30,1,24,44,242,0,2,0,7,0,14,3,0,587,0.8279266572637518
40,596,152,24,5,30,21,197,1,2,1,8,3,21,2,0,467,0.7835570469798657
41,633,176,24,2,18,25,175,7,1,3,11,2,26,2,0,472,0.7456556082148499
42,617,173,23,0,26,26,200,1,0,2,8,3,18,3,0,483,0.7828200972447326
43,717,245,34,0,25,21,196,6,2,3,15,0,19,0,0,566,0.7894002789400278
44,807,244,30,3,21,39,244,5,1,3,14,4,20,0,0,628,0.7781908302354399
45,640,232,30,2,17,23,166,1,1,3,18,1,16,1,0,511,0.7984375
46,659,197,35,4,23,21,182,4,0,0,12,4,17,0,0,499,0.7572078907435509
47,722,238,40,9,14,29,194,2,4,1,16,1,27,1,0,576,0.7977839335180056
48,672,184,25,2,19,40,227,0,0,2,13,2,16,5,0,535,0.7961309523809523
49,777,214,35,7,32,38,300,2,1,1,18,0,10,0,0,658,0.8468468468468469
50,710,166,11,2,38,37,330,1,0,2,9,3,4,0,0,603,0.8492957746478873
51,771,135,15,2,26,55,388,1,1,4,19,0,1,0,0,647,0.8391699092088197
52,772,188,21,2,25,52,357,2,0,8,3,1,9,0,0,668,0.8652849740932642
53,704,194,22,1,34,57,240,1,1,2,15,0,19,1,0,587,0.8338068181818182
54,779,236,33,8,38,38,229,1,0,2,7,4,18,1,0,615,0.7894736842105263
55,837,261,34,3,27,35,205,0,1,3,22,5,21,0,0,617,0.7371565113500598
56,627,151,27,1,21,58,202,0,3,1,11,2,20,0,0,497,0.7926634768740032
57,739,188,29,3,32,45,218,1,0,3,21,5,14,5,0,564,0.7631935047361299
58,740,223,29,4,33,36,220,2,3,2,15,1,22,2,0,592,0.8
59,771,225,33,3,30,44,215,2,5,5,20,1,31,0,0,614,0.7963683527885862
60,861,272,26,9,28,70,238,1,2,3,35,3,30,1,0,718,0.8339140534262486
61,657,197,34,4,31,45,150,4,1,0,11,3,25,0,0,505,0.7686453576864536
62,718,219,41,3,16,39,227,2,1,3,15,1,14,2,0,583,0.8119777158774373
63,714,192,35,3,43,35,242,1,4,2,15,2,15,0,0,589,0.8249299719887955
64,739,217,30,4,31,41,205,2,3,4,21,2,26,3,0,589,0.79702300405954
65,818,203,30,2,33,55,319,0,2,3,21,0,7,0,0,675,0.8251833740831296
66,753,238,44,2,18,46,199,1,3,3,17,3,24,0,0,598,0.7941567065073041
67,729,213,31,7,33,28,198,2,2,0,17,0,16,0,1,548,0.7517146776406035
68,638,163,20,3,20,36,268,1,1,2,9,2,15,1,0,541,0.8479623824451411
69,679,161,16,3,27,30,301,1,0,3,9,0,10,0,0,561,0.8262150220913107
70,718,170,18,5,31,45,266,5,0,1,18,3,14,0,0,576,0.8022284122562674
71,684,190,35,1,24,54,209,2,0,3,10,2,15,0,1,546,0.7982456140350878
72,710,198,37,3,32,39,184,2,0,0,20,2,16,0,0,533,0.7507042253521127
73,597,203,27,2,18,32,199,2,1,4,7,1,17,0,0,513,0.8592964824120602
74,681,168,18,2,29,48,246,3,1,1,19,0,10,1,1,547,0.8032305433186491
75,404,92,18,3,10,20,146,1,1,3,5,1,3,2,0,305,0.754950495049505
76,693,157,31,1,19,40,188,1,4,0,14,1,15,2,0,473,0.6825396825396826
77,672,180,25,2,22,28,164,4,2,2,7,4,22,0,0,462,0.6875
78,700,160,31,0,20,31,153,1,4,2,8,2,26,2,1,441,0.63
79,704,227,24,5,31,41,192,1,0,5,12,2,13,1,1,555,0.7883522727272727
80,593,145,25,1,16,32,225,1,1,4,7,1,17,1,0,476,0.8026981450252951
81,633,154,22,3,29,28,203,0,3,0,7,6,18,2,1,476,0.7519747235387045
82,1392,80,8,3,5,11,139,1,4,2,12,1,10,1,2,279,0.20043103448275862
83,675,254,41,1,20,51,158,0,3,1,16,2,17,0,0,564,0.8355555555555556
84,570,155,22,2,16,27,174,3,0,3,12,0,19,0,0,433,0.7596491228070176
85,667,190,28,4,37,33,153,3,2,2,8,1,18,0,0,479,0.7181409295352323
86,683,212,33,3,18,40,200,3,2,0,13,3,18,0,0,545,0.7979502196193266
87,665,207,30,2,28,35,142,4,4,1,14,1,9,1,1,479,0.7203007518796992
88,859,238,36,1,25,43,220,4,5,1,23,4,24,2,2,628,0.7310826542491269
