SEZIONE,TOTALE_ISCRITTI,"1 - PARTITO DEMOCRATICO,VELTRON","2 - ITALIA DEI VALORI,DI PIETRO","3 - PARTITO SOCIALISTA,BOSELLI","4 - UNIONE DI CENTRO,CASINI PRE","5 - LEGA NORD,BOSSI","6 - IL POPOLO DELLE LIBERTÁ,BER","7 - SINISTRA CRITICA,ECOLOGISTA",8 - PARTITO COMUNISTA DEI LAVORAT,9 - PARTITO LIBERALE ITALIANO,10 - LA DESTRA FIAMMA TRICOLORE -,11 - PER IL BENE COMUNE,12 - LA SINISTRA L'ARCOBALENO,13 - UNIONE DEMOCRATICA PER I CONS,"14 - P.P.A.,LIBERTÁ E PARTECIPAZ",TOTALE,AFFLUENZA
302,809,225,47,5,37,42,180,4,3,3,23,6,25,3,2,605,0.7478368355995055
303,861,233,54,2,27,38,237,2,7,3,28,4,22,1,0,658,0.7642276422764228
304,738,212,22,1,36,51,158,1,9,4,13,0,13,3,1,524,0.7100271002710027
305,675,190,40,4,33,36,152,0,4,2,13,0,14,1,2,491,0.7274074074074074
306,875,252,61,3,53,41,187,2,4,0,22,2,30,0,0,657,0.7508571428571429
307,752,240,28,2,28,31,195,2,9,2,17,3,24,2,0,583,0.7752659574468085
308,849,262,38,4,40,51,213,2,4,2,17,1,27,2,0,663,0.7809187279151943
309,638,186,29,2,27,35,166,0,3,2,14,2,25,2,0,493,0.7727272727272727
310,631,207,33,1,16,30,124,2,3,0,18,4,17,1,0,456,0.722662440570523
311,863,263,35,3,29,48,210,12,6,2,7,6,21,2,0,644,0.746234067207416
312,888,277,64,1,32,33,191,3,4,0,21,3,37,5,0,671,0.7556306306306306
313,623,190,32,2,21,34,126,3,2,5,19,4,25,0,0,463,0.7431781701444623
314,640,197,34,4,20,31,137,0,3,2,26,1,31,0,0,486,0.759375
315,776,257,46,1,41,32,180,8,3,3,21,3,22,1,1,619,0.7976804123711341
316,773,270,37,3,26,34,176,4,0,5,12,1,21,0,0,589,0.7619663648124192
317,649,238,34,6,22,23,138,7,2,1,12,2,26,3,0,514,0.7919876733436055
318,660,209,38,2,21,26,141,5,8,1,15,5,23,0,0,494,0.7484848484848485
319,633,240,24,1,20,24,124,4,6,4,19,4,19,0,1,490,0.7740916271721959
320,722,216,27,4,30,49,167,3,5,3,10,1,17,2,1,535,0.7409972299168975
321,759,188,32,4,16,30,241,2,3,1,29,7,32,2,1,588,0.7747035573122529
322,650,211,43,4,14,30,149,2,1,0,21,3,21,2,0,501,0.7707692307692308
323,643,228,29,3,22,22,98,4,5,1,14,3,18,4,0,451,0.7013996889580093
324,621,209,28,1,18,25,142,4,8,0,14,1,28,1,0,479,0.7713365539452496
325,645,182,46,2,11,25,144,5,3,0,11,1,40,3,1,474,0.7348837209302326
326,765,248,30,5,35,26,166,2,8,2,21,2,37,1,0,583,0.7620915032679738
327,644,210,29,1,27,34,163,3,4,1,20,2,19,3,0,516,0.8012422360248447
328,648,219,39,2,20,30,142,3,5,1,12,1,28,0,0,502,0.7746913580246914
329,731,242,26,5,29,38,150,5,1,1,7,3,33,2,0,542,0.7414500683994528
330,603,203,38,3,10,8,133,4,3,2,18,1,20,1,2,446,0.7396351575456053
331,649,152,32,4,17,18,152,7,6,2,17,3,33,4,0,447,0.6887519260400616
332,847,257,48,3,25,68,195,0,6,3,18,2,42,2,1,670,0.7910271546635183
333,685,234,31,1,19,44,146,4,3,0,16,1,26,0,0,525,0.7664233576642335
334,739,225,33,1,33,36,207,6,1,3,19,3,19,2,0,588,0.7956698240866035
335,671,173,35,4,90,23,132,0,0,2,12,0,17,1,0,489,0.7287630402384501
336,724,240,30,4,27,31,182,4,2,2,10,1,33,1,0,567,0.7831491712707183
337,722,232,43,3,28,46,187,4,4,1,14,4,28,2,0,596,0.8254847645429363
338,800,260,41,4,31,31,234,2,0,2,18,2,27,3,2,657,0.82125
339,771,300,33,2,24,56,176,3,1,0,7,1,28,1,0,632,0.8197146562905318
340,687,243,51,4,24,40,159,2,1,3,20,2,28,1,0,578,0.8413391557496361
341,784,209,38,4,31,57,279,3,0,2,19,1,12,1,0,656,0.8367346938775511
342,773,205,39,2,27,41,220,6,2,1,34,2,22,2,0,603,0.7800776196636481
343,684,208,48,4,30,36,190,0,1,2,23,0,19,2,1,564,0.8245614035087719
344,722,225,42,1,25,24,166,5,7,2,21,2,26,2,2,550,0.7617728531855956
345,732,213,36,0,22,38,202,3,6,1,8,3,23,2,1,558,0.7622950819672131
346,886,271,42,2,30,34,188,6,4,0,25,6,38,1,0,647,0.7302483069977427
347,917,240,53,6,25,47,217,6,7,0,39,3,35,2,0,680,0.7415485278080698
348,529,160,23,1,17,15,136,5,2,2,18,3,11,1,0,394,0.7448015122873346
349,632,197,27,2,30,26,154,4,2,4,24,1,18,2,0,491,0.7768987341772152
350,757,204,38,0,17,18,200,2,7,4,23,4,20,0,0,537,0.7093791281373845
351,588,162,25,3,21,34,149,4,1,2,27,1,17,0,0,446,0.7585034013605442
352,676,185,27,1,26,41,219,2,0,2,16,4,18,1,0,542,0.8017751479289941
353,724,213,32,2,24,38,213,4,7,2,11,4,22,1,1,574,0.7928176795580111
354,717,206,34,1,29,44,188,2,3,3,15,2,31,4,0,562,0.7838214783821479
355,727,190,38,2,15,44,195,1,0,2,22,1,30,0,0,540,0.7427785419532325
356,639,193,18,2,9,24,150,6,5,2,20,1,33,2,0,465,0.7276995305164319
357,622,169,35,3,28,37,160,3,2,3,9,6,15,3,1,474,0.7620578778135049
358,686,165,38,0,19,45,201,4,0,4,13,5,18,1,0,513,0.7478134110787172
359,671,221,36,7,18,42,152,1,5,1,13,4,20,1,0,521,0.7764530551415797
360,683,217,35,1,24,31,176,1,1,1,13,6,18,2,0,526,0.7701317715959004
361,774,240,50,3,34,53,202,3,4,2,20,2,15,1,0,629,0.8126614987080103
362,762,232,36,2,22,53,202,1,0,2,23,1,24,0,0,598,0.7847769028871391
363,780,243,49,2,16,43,235,1,1,1,13,3,28,0,0,635,0.8141025641025641
364,638,193,35,2,23,37,167,0,5,0,12,2,19,0,1,496,0.7774294670846394
365,680,224,31,1,28,28,169,2,2,0,17,0,17,3,0,522,0.7676470588235295
366,692,193,43,9,40,35,180,5,2,2,20,0,22,1,0,552,0.7976878612716763
367,560,168,28,1,18,39,125,4,6,0,22,3,13,0,0,427,0.7625
368,855,244,38,2,36,62,207,3,4,1,18,0,33,0,1,649,0.7590643274853801
369,561,181,39,2,10,19,129,4,3,1,23,3,15,2,1,432,0.7700534759358288
370,637,170,21,3,20,29,153,5,5,1,9,8,18,2,0,444,0.6970172684458399
371,620,193,31,3,11,22,120,6,4,3,19,0,18,4,0,434,0.7
372,705,213,35,0,26,29,137,1,5,3,25,1,31,5,0,511,0.724822695035461
373,803,253,40,5,19,35,182,5,9,1,24,2,46,1,0,622,0.7745952677459527
374,767,228,32,1,12,28,205,4,1,1,26,2,25,4,0,569,0.741851368970013
375,719,250,32,4,17,33,134,6,4,0,23,3,18,2,0,526,0.7315716272600834
376,795,273,44,5,29,32,174,2,5,3,17,2,25,0,0,611,0.7685534591194969
377,733,180,37,1,22,35,144,5,4,2,20,0,40,1,1,492,0.6712141882673943
378,755,225,41,2,23,44,186,5,1,3,14,0,18,2,0,564,0.7470198675496689
379,819,247,38,5,26,43,214,2,4,0,17,1,24,2,2,625,0.7631257631257631
380,859,211,31,6,73,40,220,3,4,1,23,1,29,0,0,642,0.7473806752037253
381,755,188,37,1,20,25,177,4,4,0,21,0,22,0,0,499,0.6609271523178808
382,963,269,54,0,30,59,255,4,5,5,26,4,23,6,0,740,0.7684319833852544
383,788,242,35,3,38,52,217,1,5,3,21,0,19,0,0,636,0.8071065989847716
384,932,257,80,2,23,52,251,4,2,2,26,2,31,0,1,733,0.7864806866952789
385,774,250,28,5,27,47,170,7,3,1,15,2,20,0,2,577,0.7454780361757106
386,769,228,47,4,21,44,185,2,6,0,21,5,18,1,0,582,0.7568270481144344
387,800,227,42,3,27,53,187,2,4,5,15,1,30,1,0,597,0.74625
388,866,227,29,1,30,53,284,4,4,1,28,3,24,1,0,689,0.7956120092378753
389,649,197,25,3,15,17,145,2,4,3,12,1,23,1,0,448,0.6902927580893683
390,729,244,39,0,19,39,160,2,2,1,18,2,26,0,2,554,0.7599451303155007
391,603,164,36,1,22,25,158,3,7,0,14,2,15,0,0,447,0.7412935323383084
392,820,256,54,5,24,40,188,3,2,1,18,1,24,0,0,616,0.751219512195122
393,765,235,67,5,25,30,160,4,4,1,22,1,23,2,0,579,0.7568627450980392
394,761,286,42,1,22,32,156,2,1,2,14,1,28,3,1,591,0.7766097240473062
395,773,244,35,4,43,49,224,0,1,4,16,0,21,1,0,642,0.8305304010349288
396,808,229,31,4,29,40,273,2,3,2,27,0,11,3,0,654,0.8094059405940595
397,806,247,44,5,29,54,253,1,2,1,25,4,11,2,0,678,0.8411910669975186
398,791,227,38,3,27,46,226,0,5,6,23,4,14,3,0,622,0.786346396965866
399,733,241,48,0,32,28,162,2,3,2,19,2,22,3,1,565,0.7708049113233287
400,709,237,41,0,20,30,164,1,1,2,19,4,28,0,0,547,0.771509167842031
401,698,215,35,3,14,30,177,5,2,0,17,1,26,2,0,527,0.7550143266475645
402,777,209,40,4,27,48,228,6,4,2,16,1,27,2,0,614,0.7902187902187903
403,677,212,37,1,18,41,174,5,3,0,14,5,31,0,0,541,0.7991137370753324
404,694,223,46,2,20,39,147,5,4,2,11,1,20,1,0,521,0.7507204610951008
405,738,232,35,3,22,43,178,0,6,1,31,3,14,1,1,570,0.7723577235772358
406,654,196,36,2,22,32,167,4,9,2,21,0,21,0,0,512,0.7828746177370031
407,763,209,50,4,27,38,263,1,4,2,14,2,20,1,0,635,0.8322411533420708
408,806,239,42,0,30,57,265,2,1,1,19,2,8,1,0,667,0.8275434243176178
409,725,199,36,5,32,29,171,2,3,2,16,0,17,3,0,515,0.7103448275862069
410,776,243,34,2,28,61,195,2,3,2,20,2,21,1,0,614,0.7912371134020618
411,682,185,36,2,28,50,161,3,0,2,26,2,22,2,0,519,0.7609970674486803
412,827,231,46,3,41,39,204,3,3,1,23,4,31,4,1,634,0.7666263603385731
413,737,210,39,5,23,52,176,5,2,0,24,0,16,0,0,552,0.7489823609226595
414,835,234,47,1,20,53,224,0,4,2,22,1,32,1,1,642,0.7688622754491018
415,472,148,19,1,8,23,132,4,1,0,19,0,16,1,0,372,0.788135593220339
416,629,192,48,0,14,31,157,3,5,1,19,3,18,0,4,495,0.7869634340222575
417,734,232,20,2,31,33,213,3,5,1,18,1,17,1,1,578,0.7874659400544959
418,687,221,38,5,23,39,143,4,4,0,22,4,20,5,1,529,0.7700145560407569
419,707,220,37,0,24,47,173,2,7,0,15,1,21,4,0,551,0.7793493635077794
420,697,222,34,1,23,25,162,2,8,1,19,1,18,1,0,517,0.7417503586800573
421,910,256,46,4,30,52,244,3,4,6,22,3,16,1,0,687,0.7549450549450549
422,812,278,42,5,17,43,171,2,3,3,18,3,18,3,1,607,0.7475369458128078
423,865,279,51,1,36,34,199,4,9,1,16,1,26,3,1,661,0.7641618497109827
424,740,203,41,4,19,41,183,2,5,3,11,1,34,1,0,548,0.7405405405405405
425,801,236,43,3,21,31,196,1,12,3,19,3,23,0,0,591,0.7378277153558053
426,759,225,50,3,19,30,204,1,6,1,20,3,18,2,0,582,0.766798418972332
427,727,189,41,2,32,36,150,4,1,3,14,4,14,2,0,492,0.6767537826685007
428,782,268,28,2,22,44,172,5,3,1,15,4,24,4,1,593,0.7583120204603581
429,815,244,37,0,31,44,173,5,11,1,16,1,25,2,0,590,0.7239263803680982
430,627,198,24,3,15,40,161,2,8,0,14,1,19,1,0,486,0.7751196172248804
431,677,183,26,7,39,37,166,1,3,4,22,2,26,1,0,517,0.7636632200886263
432,749,278,39,3,20,29,146,5,9,1,29,4,33,2,1,599,0.7997329773030708
433,940,278,41,2,27,56,246,7,7,3,36,4,16,3,0,726,0.7723404255319148
434,920,348,48,6,32,38,214,2,2,1,28,4,28,6,0,757,0.8228260869565217
435,596,128,11,3,16,24,113,5,4,1,21,3,11,1,0,341,0.5721476510067114
436,726,252,47,4,23,33,141,1,5,2,20,2,26,2,0,558,0.768595041322314
437,666,193,45,0,21,32,131,4,3,1,25,1,15,3,2,476,0.7147147147147147
438,772,257,48,3,29,30,165,5,6,0,22,1,23,3,1,593,0.7681347150259067
439,832,322,46,5,23,52,200,4,2,2,7,1,28,1,1,694,0.8341346153846154
440,802,266,47,4,29,34,198,5,3,1,17,2,29,3,0,638,0.7955112219451371
441,829,301,48,1,21,37,170,4,5,3,17,0,26,3,0,636,0.767189384800965
442,792,252,53,3,13,33,157,2,3,2,18,1,28,1,0,566,0.7146464646464646
443,664,183,34,0,14,38,137,3,8,1,16,1,25,4,1,465,0.7003012048192772
444,711,221,46,1,33,24,153,4,4,2,14,3,18,0,0,523,0.7355836849507735
445,701,209,38,3,20,25,159,5,9,4,18,3,16,2,1,512,0.7303851640513552
446,784,267,46,3,27,41,192,2,1,2,26,3,14,5,0,629,0.8022959183673469
447,763,243,32,0,25,47,175,4,3,3,22,1,18,2,0,575,0.7536041939711664
448,719,218,35,0,25,29,170,4,4,3,13,4,17,0,0,522,0.7260083449235049
449,666,236,52,4,21,37,145,4,3,1,13,4,14,1,0,535,0.8033033033033034
450,1132,277,54,6,31,40,259,6,8,5,34,3,33,3,1,760,0.6713780918727915
451,527,164,24,2,8,18,112,6,8,0,13,2,15,2,0,374,0.7096774193548387
452,1082,290,46,2,19,43,231,6,4,3,18,2,42,3,0,709,0.655268022181146
453,768,258,49,4,33,37,173,3,2,1,21,1,32,2,0,616,0.8020833333333334
454,668,185,26,1,13,31,161,0,6,2,25,5,16,2,0,473,0.7080838323353293
455,940,308,55,3,30,43,241,3,2,3,22,4,40,0,0,754,0.8021276595744681
456,785,244,48,0,22,37,169,3,10,1,29,2,30,1,2,598,0.7617834394904459
457,685,252,44,1,20,27,171,8,1,1,20,2,13,1,1,562,0.8204379562043795
458,676,244,22,4,22,37,158,2,6,0,16,2,27,0,0,540,0.7988165680473372
459,402,126,29,0,15,24,97,2,1,1,8,3,13,1,0,320,0.7960199004975125
460,728,251,41,5,41,36,155,1,4,2,18,2,21,1,0,578,0.7939560439560439
461,669,217,40,5,7,38,134,2,3,0,13,0,32,1,0,492,0.7354260089686099
462,686,232,35,8,17,28,146,4,1,0,26,1,31,1,0,530,0.7725947521865889
463,701,212,43,2,21,38,147,3,3,1,10,2,17,1,0,500,0.7132667617689016
464,613,185,25,0,15,35,143,3,4,0,19,5,27,3,0,464,0.7569331158238173
465,673,224,34,2,12,24,145,4,2,1,20,1,13,1,0,483,0.7176820208023774
466,772,224,54,1,28,34,167,3,8,4,21,2,26,2,1,575,0.7448186528497409
467,893,280,47,1,25,52,205,6,7,1,23,2,37,3,0,689,0.7715565509518477
468,725,231,41,5,32,23,153,2,3,1,22,2,23,5,0,543,0.7489655172413793
469,827,234,51,3,31,38,196,7,7,0,26,2,21,2,0,618,0.747279322853688
470,691,214,30,3,18,42,150,2,2,2,20,1,27,1,0,512,0.7409551374819102
471,688,189,38,6,29,33,164,4,4,1,20,2,19,2,1,512,0.7441860465116279
472,795,213,29,6,18,50,192,3,8,1,29,3,22,2,1,577,0.7257861635220125
473,644,197,25,2,20,27,141,3,8,2,17,1,21,3,0,467,0.7251552795031055
474,651,237,39,1,19,19,121,4,8,0,12,2,23,2,0,487,0.7480798771121352
475,739,264,31,2,17,29,172,4,4,0,19,2,23,1,0,568,0.7686062246278755
476,610,223,41,1,24,15,118,2,3,2,16,0,24,3,1,473,0.7754098360655738
477,838,259,48,11,32,49,202,2,3,2,27,1,20,2,1,659,0.7863961813842482
478,813,222,45,3,29,29,181,9,6,2,26,0,30,3,0,585,0.7195571955719557
479,1129,369,52,2,34,41,282,5,8,2,42,3,36,0,1,877,0.7767936226749336
480,1051,279,71,3,35,52,242,9,6,4,38,6,27,6,0,778,0.7402473834443387
481,629,160,20,2,18,14,147,6,7,5,20,6,22,5,0,432,0.6868044515103339
482,645,141,21,2,17,23,173,3,6,3,15,3,9,2,0,418,0.648062015503876
483,686,177,23,3,23,30,161,2,2,0,38,6,20,2,1,488,0.7113702623906706
484,715,138,19,3,21,29,177,4,8,1,15,0,22,1,1,439,0.6139860139860139
485,661,173,33,2,12,26,150,5,4,6,11,2,18,3,1,446,0.6747352496217852
486,695,122,24,0,16,21,163,8,5,1,15,2,7,3,10,397,0.5712230215827339
487,702,155,27,4,15,16,178,6,8,1,16,4,18,0,2,450,0.6410256410256411
488,694,242,41,2,17,40,176,5,3,2,23,2,13,1,0,567,0.8170028818443804
489,777,236,52,3,23,49,204,2,2,1,16,0,23,3,1,615,0.7915057915057915
490,817,265,53,1,28,35,189,4,4,2,15,3,26,4,0,629,0.769889840881273
491,637,212,38,2,20,24,165,2,3,1,11,0,13,1,0,492,0.7723704866562009
492,674,236,40,8,33,36,147,6,2,0,12,3,24,2,0,549,0.814540059347181
493,763,258,33,4,38,20,207,8,1,1,15,2,20,2,0,609,0.7981651376146789
494,739,214,45,3,22,51,163,2,1,2,19,1,29,3,1,556,0.7523680649526387
495,709,195,36,3,24,31,183,2,5,3,21,0,26,2,0,531,0.7489421720733427
496,836,281,36,2,29,41,181,3,7,3,23,3,33,2,0,644,0.7703349282296651
497,757,204,37,1,13,30,153,7,5,4,20,5,40,2,0,521,0.6882430647291942
498,769,241,46,1,24,32,161,2,4,3,12,9,38,4,0,577,0.7503250975292588
499,750,302,44,0,17,25,173,3,2,0,12,0,18,4,0,600,0.8
500,851,301,50,7,27,45,174,3,2,2,21,1,26,3,0,662,0.7779083431257344
501,744,285,36,6,26,43,129,2,2,1,21,2,19,3,1,576,0.7741935483870968
502,706,205,34,2,27,27,174,3,6,0,28,5,27,2,0,540,0.7648725212464589
503,786,222,44,4,20,24,179,3,8,4,25,3,20,3,0,559,0.7111959287531806
504,718,222,28,4,10,27,156,3,9,3,18,2,41,1,1,525,0.7311977715877437
505,735,223,31,2,20,32,180,6,3,2,17,3,28,4,2,553,0.7523809523809524
506,808,210,33,5,15,41,253,2,6,4,26,0,29,2,0,626,0.7747524752475248
507,695,226,41,4,13,48,182,0,2,2,19,2,15,0,0,554,0.7971223021582734
508,667,203,42,2,27,38,147,1,5,2,27,3,10,3,2,512,0.767616191904048
509,793,239,46,3,44,19,184,4,10,2,25,1,23,4,1,605,0.7629255989911727
510,947,325,56,0,26,24,203,5,5,1,26,4,26,2,0,703,0.7423442449841605
511,857,263,63,0,31,39,207,2,3,2,17,3,33,2,2,667,0.7782963827304551
512,900,295,84,2,29,50,222,2,10,0,26,1,26,3,0,750,0.8333333333333334
513,587,125,32,3,22,19,157,4,2,1,17,0,11,3,1,397,0.676320272572402
514,653,148,23,3,18,20,192,4,7,2,14,1,18,1,0,451,0.6906584992343032
515,695,169,26,3,22,19,169,5,8,5,16,1,23,3,0,469,0.6748201438848921
516,686,198,41,4,22,32,154,1,4,0,19,0,22,0,1,498,0.7259475218658892
517,682,210,33,1,19,31,130,2,3,2,20,0,24,0,0,475,0.6964809384164223
518,733,215,39,5,25,23,164,5,4,0,22,1,24,1,0,528,0.7203274215552524
519,800,230,44,3,25,30,163,3,8,1,15,4,24,3,2,555,0.69375
520,651,151,28,5,13,18,165,3,4,5,13,1,22,1,3,432,0.663594470046083
521,918,253,58,4,27,41,242,3,9,1,19,5,24,1,2,689,0.7505446623093682
522,854,222,20,3,19,26,201,5,6,4,19,5,23,7,2,562,0.65807962529274
523,497,128,27,0,17,12,116,5,2,2,15,2,19,1,0,346,0.6961770623742455
524,648,172,33,3,26,29,142,5,2,0,20,4,21,8,1,466,0.7191358024691358
525,906,295,69,6,34,46,186,5,8,1,18,5,38,5,0,716,0.7902869757174393
526,678,219,46,2,25,22,163,2,3,0,13,1,12,1,0,509,0.7507374631268436
527,998,317,66,3,30,36,221,3,11,2,29,2,27,2,1,750,0.751503006012024
528,841,200,47,3,22,43,198,5,6,3,20,5,24,2,2,580,0.6896551724137931
529,1053,294,58,2,36,56,286,5,13,1,22,0,34,0,2,809,0.768281101614435
530,746,227,44,6,14,37,160,2,8,1,27,2,31,1,0,560,0.7506702412868632
531,737,227,52,0,18,30,182,1,8,2,19,2,18,2,2,563,0.7639077340569878
532,595,284,43,2,15,13,62,6,3,0,7,0,45,1,0,481,0.8084033613445378
533,685,227,27,2,13,33,99,5,5,4,17,4,31,3,2,472,0.689051094890511
534,566,156,26,6,14,39,157,0,4,1,18,1,19,2,2,445,0.7862190812720848
535,584,160,31,3,8,37,131,5,4,2,9,2,26,1,2,421,0.7208904109589042
536,733,243,37,3,24,28,184,1,4,1,13,3,20,0,0,561,0.7653478854024557
537,734,248,46,6,17,53,158,3,6,2,22,0,22,1,0,584,0.7956403269754768
538,639,244,30,4,20,31,155,2,3,1,13,3,19,2,0,527,0.8247261345852895
539,877,317,49,4,32,48,186,2,2,2,19,2,32,1,0,696,0.7936145952109465
540,702,215,33,2,17,39,135,9,2,2,25,3,27,1,0,510,0.7264957264957265
541,730,250,42,3,17,32,151,3,4,3,14,4,17,1,0,541,0.7410958904109589
542,715,244,32,2,28,20,167,4,6,1,16,1,33,1,2,557,0.779020979020979
543,786,254,47,4,24,49,162,2,3,6,15,1,26,2,1,596,0.7582697201017812
544,707,282,44,1,15,37,138,7,4,2,6,0,19,3,0,558,0.7892503536067893
545,641,234,33,0,19,27,146,4,4,0,13,1,24,2,0,507,0.7909516380655226
546,880,241,39,8,18,37,219,2,5,4,24,4,27,3,0,631,0.7170454545454545
547,805,283,44,10,22,40,168,4,5,2,22,2,39,0,1,642,0.7975155279503106
548,792,274,36,6,38,40,159,4,5,0,20,1,20,2,0,605,0.7638888888888888
549,682,196,48,5,23,25,159,4,4,1,19,1,15,3,1,504,0.7390029325513197
550,589,175,21,1,13,31,117,3,2,1,25,2,21,1,1,414,0.7028862478777589
551,615,129,21,0,22,38,166,3,3,2,14,2,18,0,0,418,0.6796747967479675
552,604,150,15,1,19,29,153,2,10,0,16,2,13,1,0,411,0.6804635761589404
553,575,151,19,0,12,21,139,2,10,0,18,1,14,0,0,387,0.6730434782608695
554,612,162,15,2,24,36,153,2,3,1,15,1,14,1,0,429,0.7009803921568627
555,625,173,20,1,19,32,130,10,3,1,15,2,18,2,1,427,0.6832
556,631,186,22,1,19,40,110,4,6,2,17,2,21,2,1,433,0.6862123613312203
557,637,158,31,4,24,17,148,2,10,1,19,1,20,1,0,436,0.6844583987441131
558,613,182,33,1,21,32,109,1,4,1,17,0,15,2,0,418,0.6818923327895595
559,708,217,18,5,21,38,168,3,1,4,12,2,24,1,0,514,0.7259887005649718
560,731,290,35,3,21,26,124,7,2,4,14,0,19,2,0,547,0.7482900136798906
561,761,246,43,2,21,32,157,2,3,2,21,4,24,0,0,557,0.7319316688567674
562,643,180,21,0,24,42,140,3,10,1,15,2,22,1,1,462,0.71850699844479
563,684,216,35,0,23,26,152,1,5,0,12,0,16,2,1,489,0.7149122807017544
564,585,165,19,4,12,21,124,2,3,1,18,2,13,0,1,385,0.6581196581196581
565,693,164,29,1,23,39,160,5,4,3,8,3,34,1,1,475,0.6854256854256854
566,650,179,26,3,30,32,159,6,6,1,14,1,22,2,0,481,0.74
567,678,228,33,1,23,26,130,2,3,2,21,0,14,1,1,485,0.7153392330383481
568,688,192,37,2,16,28,154,4,3,3,24,4,7,1,1,476,0.6918604651162791
569,483,134,17,1,15,22,116,2,6,0,13,2,7,2,0,337,0.6977225672877847
570,667,208,29,3,19,23,126,3,7,1,21,1,25,0,2,468,0.7016491754122939
571,676,213,27,4,19,25,133,3,9,3,18,2,16,3,0,475,0.7026627218934911
572,1134,330,73,5,23,63,264,2,6,0,29,7,35,5,0,842,0.7425044091710759
573,843,232,33,2,16,24,177,6,7,3,29,2,25,2,0,558,0.6619217081850534
574,675,209,22,2,20,19,140,4,2,1,19,2,18,1,1,460,0.6814814814814815
575,883,271,50,2,21,29,169,10,9,2,27,3,40,1,0,634,0.7180067950169875
576,698,189,38,4,17,26,146,4,6,2,16,0,26,2,1,477,0.6833810888252149
577,670,188,37,5,24,25,138,3,6,2,18,3,20,2,0,471,0.7029850746268657
578,801,246,25,2,21,41,188,5,8,1,21,3,24,2,0,587,0.7328339575530587
579,730,163,28,0,21,29,162,5,4,0,14,1,19,2,2,450,0.6164383561643836
580,650,131,16,1,20,17,166,6,6,3,11,4,31,2,0,414,0.6369230769230769
581,685,155,25,2,28,34,179,2,6,3,16,0,22,0,0,472,0.689051094890511
582,736,205,24,5,20,33,183,3,10,1,19,1,24,2,5,535,0.7269021739130435
583,771,248,38,2,27,40,161,3,5,4,20,2,31,4,1,586,0.7600518806744487
584,702,237,25,4,30,37,113,4,3,1,14,3,39,1,0,511,0.7279202279202279
585,610,119,14,4,13,18,116,5,6,3,2,3,11,2,0,316,0.5180327868852459
586,622,196,21,2,30,19,145,4,3,2,7,1,19,0,0,449,0.7218649517684887
587,693,180,41,2,17,27,178,2,4,2,14,3,26,4,0,500,0.7215007215007215
588,644,164,25,4,31,42,149,9,7,2,22,2,20,1,0,478,0.7422360248447205
589,747,262,44,3,20,50,161,2,1,0,5,4,20,0,0,572,0.7657295850066934
590,678,214,42,4,26,32,152,5,5,1,21,4,12,0,0,518,0.7640117994100295
591,744,279,36,1,16,47,154,3,3,1,18,0,33,0,0,591,0.7943548387096774
592,697,226,30,0,24,41,165,4,4,2,26,1,22,1,0,546,0.7833572453371592
593,692,231,41,3,25,33,147,5,1,1,17,1,18,0,1,524,0.7572254335260116
594,660,201,28,3,23,25,150,3,5,1,6,2,28,2,2,479,0.7257575757575757
595,722,213,28,1,21,47,157,4,5,3,28,2,27,5,0,541,0.7493074792243767
596,755,228,41,2,27,44,177,3,5,3,30,0,13,2,0,575,0.7615894039735099
597,788,240,43,5,16,43,201,1,5,1,23,0,25,1,0,604,0.766497461928934
598,665,172,41,3,28,49,175,5,4,0,10,2,19,1,0,509,0.7654135338345864
599,657,153,20,6,13,19,144,5,3,3,10,0,19,0,2,397,0.604261796042618
600,820,238,45,3,30,47,151,9,10,4,21,3,29,3,0,593,0.723170731707317
601,716,211,34,1,15,32,176,3,2,0,17,3,15,2,0,511,0.7136871508379888
602,666,156,23,1,22,12,176,3,3,1,17,0,20,4,1,439,0.6591591591591591
603,728,202,39,2,29,37,191,2,2,3,23,2,24,1,1,558,0.7664835164835165
604,535,162,28,1,16,16,127,2,4,3,19,4,16,5,2,405,0.7570093457943925
605,748,203,31,1,33,41,214,3,1,1,16,3,21,4,0,572,0.7647058823529411
606,869,254,44,1,51,56,207,7,6,3,23,1,29,2,1,685,0.7882623705408516
607,879,257,44,4,40,41,203,3,8,1,33,2,23,1,1,661,0.7519908987485779
608,757,235,52,1,32,35,165,3,5,2,23,4,16,0,0,573,0.7569352708058125
609,879,268,54,5,26,57,214,3,5,3,37,5,15,1,0,693,0.78839590443686
610,809,278,52,7,26,40,180,1,7,2,24,1,15,6,4,643,0.7948084054388134
611,696,241,54,1,23,32,155,3,6,0,19,1,15,2,1,553,0.7945402298850575
612,853,282,40,1,32,36,170,7,7,2,25,3,28,1,1,635,0.7444314185228605
613,466,78,14,0,10,42,140,1,2,0,19,1,18,3,0,328,0.703862660944206
614,649,159,38,1,12,21,157,3,10,3,8,7,14,0,5,438,0.674884437596302
615,682,191,49,3,17,14,166,3,7,4,14,3,13,1,0,485,0.7111436950146628
616,648,185,34,0,28,21,141,3,3,2,12,3,16,1,2,451,0.6959876543209876
617,688,194,21,2,18,22,166,2,4,2,14,4,18,1,1,469,0.6816860465116279
618,714,218,27,1,25,47,154,0,5,0,20,2,13,2,3,517,0.7240896358543417
619,659,208,44,0,18,41,134,2,3,0,19,1,12,1,0,483,0.7329286798179059
