SEZIONE,TOTALE_ISCRITTI,SINISTRA ECOLOGIA LIBERTA',CENTRO DEMOCRATICO,PD - PARTITO DEMOCRATICO,RIVOLUZIONE CIVILE INGROIA,MIR - MODERATI IN RIVOLUZIONE,FRATELLI D'ITALIA-CENTRODESTRA,PENSIONATI,IL POPOLO DELLA LIBERTA',LEGA NORD,LA DESTRA STORACE,FARE PER FERMARE IL DECLINO,CASAPOUND ITALIA,FIAMMA TRICOLORE,MOVIMENTO 5 STELLE BEPPEGRILLO,FINI - FUTURO E LIBERTA',SCELTA CIVICA CON MONTI,CASINI - LIBERTAS - UDC,FN - FORZA NUOVA,TOTALE,AFFLUENZA
578,884,22,4,160,19,0,7,11,134,16,3,2,1,0,175,5,25,3,2,589,0.666289592760181
579,697,5,2,105,18,2,6,0,95,7,2,4,3,1,126,2,20,1,4,403,0.5781922525107605
580,669,8,3,97,12,2,6,7,74,9,1,3,2,1,124,0,21,6,1,377,0.5635276532137519
581,707,14,4,107,11,0,6,4,109,10,0,2,3,0,126,1,35,3,2,437,0.6181046676096181
582,709,21,2,168,7,0,10,4,99,19,1,2,0,3,108,2,46,6,1,499,0.7038081805359662
583,769,22,2,174,16,1,4,4,92,11,0,4,1,1,162,2,58,6,2,562,0.7308192457737321
584,730,24,1,185,13,0,12,3,62,13,1,7,2,2,155,2,30,0,0,512,0.7013698630136986
585,608,6,2,87,3,1,4,9,64,7,2,0,2,2,67,3,16,1,0,276,0.45394736842105265
586,651,9,4,126,7,0,0,12,87,4,1,2,0,1,129,3,19,2,0,406,0.6236559139784946
587,689,20,0,130,12,0,2,12,94,7,3,2,1,2,149,5,30,4,1,474,0.6879535558780842
588,623,13,3,115,12,0,6,8,80,17,2,3,0,3,159,1,31,2,4,459,0.7367576243980738
589,761,17,3,179,13,1,10,4,88,19,2,3,2,0,167,2,53,7,1,571,0.7503285151116952
590,662,12,3,175,9,1,2,3,95,10,4,2,0,0,142,2,45,3,0,508,0.7673716012084593
591,739,24,2,196,16,0,10,3,84,15,2,2,0,1,136,1,42,6,0,540,0.7307171853856563
592,708,20,5,162,19,1,11,5,88,5,1,4,2,1,148,0,53,4,3,532,0.751412429378531
593,727,16,1,161,11,0,7,6,93,10,3,6,0,1,154,3,58,5,0,535,0.7359009628610729
594,614,15,0,108,18,2,8,5,104,2,3,0,1,1,133,0,30,1,1,432,0.7035830618892508
595,693,25,1,144,9,0,9,7,98,16,6,2,0,0,123,3,56,2,1,502,0.7243867243867244
596,766,10,2,176,16,0,13,3,129,22,0,1,0,2,137,8,77,2,1,599,0.7819843342036553
597,771,15,7,191,22,0,9,4,116,11,1,1,1,1,163,3,36,2,1,584,0.7574578469520103
598,639,14,2,130,15,0,10,3,100,17,1,7,0,1,124,3,26,4,0,457,0.7151799687010955
599,704,4,1,109,6,0,3,4,79,2,3,4,3,1,116,2,11,0,1,349,0.49573863636363635
600,833,22,6,188,14,1,3,6,103,14,2,8,10,2,166,0,49,9,3,606,0.7274909963985594
601,729,22,2,144,12,0,9,5,100,10,2,4,0,0,146,2,29,7,2,496,0.6803840877914952
602,654,15,0,103,14,0,1,7,87,4,4,1,0,0,124,1,24,2,0,387,0.591743119266055
603,742,14,1,131,19,0,4,9,127,6,3,5,0,0,158,1,49,8,1,536,0.7223719676549866
604,544,13,2,115,16,0,2,5,80,9,4,0,1,0,125,1,28,1,1,403,0.7408088235294118
605,715,9,1,154,11,0,14,5,113,10,4,3,1,1,152,0,59,2,0,539,0.7538461538461538
606,908,14,1,201,15,0,10,2,132,17,0,3,1,1,182,0,73,10,2,664,0.7312775330396476
607,838,23,4,193,25,2,12,3,120,19,5,8,2,0,184,4,43,8,0,655,0.7816229116945107
608,798,16,4,179,5,0,2,8,105,16,0,5,0,0,206,3,44,7,3,603,0.7556390977443609
609,914,31,6,192,16,0,5,5,130,12,4,3,1,3,207,1,51,4,3,674,0.737417943107221
610,805,9,12,181,22,0,7,6,92,10,3,6,1,0,220,1,48,5,1,624,0.7751552795031056
611,675,13,4,192,17,4,9,5,90,11,0,7,1,1,119,1,36,6,0,516,0.7644444444444445
612,852,26,0,190,18,0,7,4,120,16,2,4,1,0,174,2,54,5,3,626,0.7347417840375586
613,539,8,0,55,6,0,9,2,117,13,2,4,0,1,154,1,19,4,1,396,0.7346938775510204
614,650,11,1,96,15,0,2,6,96,6,0,0,3,0,126,2,10,4,2,380,0.5846153846153846
615,685,13,2,141,12,0,4,6,103,3,2,1,0,2,119,3,16,5,2,434,0.6335766423357664
616,644,9,4,127,14,0,7,5,95,7,2,1,3,1,98,3,24,6,2,408,0.6335403726708074
617,680,9,2,124,16,0,7,6,123,11,4,0,0,5,131,0,20,1,0,459,0.675
618,772,15,2,135,13,0,9,4,67,22,3,5,0,0,215,1,49,3,2,545,0.7059585492227979
