SEZIONE,IL LOTO,UNIONE DEI DEMOCRATICI CRISTIANI E DEMOCRATICI DI CENTRO,ASSOCIAZIONE PER LA DIFESA DELLA VITA,UNIONE DEMOCRATICA PER I CONSUMATORI,PARTITO LIBERALE ITALIANO,PARTITO COMUNISTA DEI LAVORATORI,PER IL BENE COMUNE,FORZA NUOVA,IL POPOLO DELLA LIBERTA',MOVIMENTO PER L'AUTONOMIA - ALLEATI PER IL SUD,PARTITO DEMOCRATICO,ITALIA DEI VALORI - LISTA DI PIETRO,LA DESTRA - FIAMMA TRICOLORE,SINISTRA CRITICA,PARTITO SOCIALISTA - BOSELLI,LA SINISTRA L'ARCOBALENO,TOTALE,AFFLUENZA
28,1,54,12,3,1,0,1,2,253,2,244,30,16,3,1,16,639,0.5199349064279902
29,0,27,16,1,0,3,2,4,232,2,270,30,16,5,4,13,625,0.702247191011236
30,0,33,2,2,1,1,0,4,275,1,270,27,8,1,6,19,650,0.8125
31,0,28,5,2,0,2,4,2,262,1,336,38,22,7,1,20,730,0.8013172338090011
32,0,14,7,4,0,4,3,3,348,1,339,45,22,4,5,31,830,0.7351638618246236
33,0,40,6,4,1,6,2,8,310,1,327,42,22,5,8,23,805,0.772552783109405
34,2,46,6,0,3,1,0,6,335,1,325,24,13,4,8,21,795,0.7894736842105263
35,0,24,1,2,2,3,3,1,292,2,347,48,22,8,9,34,798,0.75
36,0,37,6,2,0,4,6,3,334,1,306,48,29,6,4,21,807,0.7316409791477788
37,1,26,6,2,1,1,1,6,256,2,238,36,13,5,0,9,603,0.8237704918032787
38,0,31,1,2,0,1,1,4,271,1,239,37,22,2,3,21,636,0.7327188940092166
39,1,28,7,1,1,0,1,3,314,1,252,29,17,8,1,12,676,0.7887981330221704
40,0,26,8,2,3,2,3,2,337,2,285,42,13,5,7,24,761,0.7475442043222004
41,0,38,15,0,3,1,0,6,310,3,278,28,27,1,6,16,732,0.7845659163987139
42,0,29,5,0,1,6,1,3,242,1,263,29,14,3,2,29,628,0.7658536585365854
43,1,25,3,0,0,3,0,6,258,2,236,26,19,2,2,19,602,0.7459727385377943
44,0,25,0,2,2,7,2,6,194,1,300,32,19,5,4,34,633,0.7420867526377491
45,0,22,4,0,0,1,0,5,231,0,260,34,11,2,2,16,588,0.7676240208877284
46,1,45,8,1,1,2,1,5,294,2,204,35,13,1,3,16,632,0.8050955414012739
47,0,20,3,1,3,4,4,5,231,1,306,40,10,1,1,23,653,0.7755344418052257
48,0,29,13,3,0,2,2,5,253,3,344,43,21,5,6,16,745,0.7752341311134235
49,0,24,6,2,3,2,0,4,215,2,304,33,27,7,4,34,667,0.7649082568807339
50,1,12,9,2,0,1,3,7,227,6,298,57,18,4,6,29,680,0.7597765363128491
51,1,41,9,1,1,2,4,3,227,1,267,37,28,2,0,33,657,0.7267699115044248
52,0,40,7,0,2,1,1,1,268,0,322,45,23,2,6,18,736,0.7548717948717949
53,0,46,20,5,1,1,2,9,272,2,313,32,17,5,3,25,753,0.8348115299334812
54,0,31,12,2,2,2,3,5,294,2,298,34,16,0,3,31,735,0.7736842105263158
55,1,14,4,0,1,2,2,1,200,2,217,29,16,7,5,28,529,0.45368782161234994
56,0,45,19,1,3,1,4,3,240,5,325,37,20,3,4,17,727,0.7893593919652552
57,0,35,6,2,2,1,0,1,273,3,278,33,11,3,2,21,671,0.782051282051282
