SEZIONE,IL LOTO,UNIONE DEI DEMOCRATICI CRISTIANI E DEMOCRATICI DI CENTRO,ASSOCIAZIONE PER LA DIFESA DELLA VITA,UNIONE DEMOCRATICA PER I CONSUMATORI,PARTITO LIBERALE ITALIANO,PARTITO COMUNISTA DEI LAVORATORI,PER IL BENE COMUNE,FORZA NUOVA,IL POPOLO DELLA LIBERTA',MOVIMENTO PER L'AUTONOMIA - ALLEATI PER IL SUD,PARTITO DEMOCRATICO,ITALIA DEI VALORI - LISTA DI PIETRO,LA DESTRA - FIAMMA TRICOLORE,SINISTRA CRITICA,PARTITO SOCIALISTA - BOSELLI,LA SINISTRA L'ARCOBALENO,TOTALE,AFFLUENZA
289,1,23,3,1,2,3,2,10,314,0,285,42,29,2,2,14,733,0.5030885380919699
290,0,35,8,0,2,3,1,3,394,0,293,25,13,1,4,18,800,0.8281573498964804
291,0,32,5,1,0,2,0,8,302,8,310,52,22,2,2,17,763,0.79979035639413
292,1,21,1,0,1,2,2,3,231,1,275,25,18,1,5,26,613,0.5339721254355401
293,1,16,3,2,1,1,1,1,249,1,282,32,22,3,2,23,640,0.5263157894736842
294,0,26,3,1,2,6,0,3,203,0,318,42,17,1,3,23,648,0.5196471531676022
295,0,32,2,0,1,1,0,5,246,1,259,33,14,2,3,19,618,0.544973544973545
296,1,19,4,1,2,1,1,2,274,2,354,42,17,3,3,16,742,0.5533184190902312
297,0,17,2,0,3,1,1,5,263,2,286,35,19,0,5,24,663,0.78
298,0,31,5,0,0,1,3,6,324,3,281,38,18,4,2,17,733,0.8180803571428571
299,0,20,3,0,0,2,4,4,219,0,207,28,24,2,1,18,532,0.7567567567567568
300,0,29,3,0,2,0,0,4,258,0,304,30,29,2,5,25,691,0.7861205915813424
301,1,34,4,2,2,0,1,0,233,0,322,44,18,3,1,12,677,0.8176328502415459
302,0,37,6,0,0,4,0,2,270,1,314,40,17,2,3,16,712,0.7919911012235817
303,0,21,6,0,2,1,0,7,255,0,273,34,12,3,4,24,642,0.781973203410475
304,0,23,7,3,0,2,1,2,250,1,231,27,18,0,2,24,591,0.785904255319149
305,1,26,4,1,0,2,3,6,222,3,225,38,15,1,1,15,563,0.7776243093922652
306,1,53,0,1,2,4,2,1,211,0,260,26,21,1,0,19,602,0.7468982630272953
307,0,22,3,0,0,3,1,3,227,1,256,30,26,3,0,26,601,0.7329268292682927
308,0,20,5,1,2,8,1,1,279,0,339,29,14,4,4,23,730,0.7832618025751072
309,1,70,7,2,3,6,3,2,349,0,393,45,18,3,4,21,927,0.801210025929127
310,0,42,8,1,1,3,1,3,294,0,409,66,15,2,9,31,885,0.817174515235457
311,0,19,1,0,1,0,0,5,332,0,257,39,25,4,7,24,714,0.7041420118343196
312,0,28,5,0,1,1,2,4,343,1,348,56,33,6,3,19,850,0.792910447761194
313,0,23,2,1,4,4,3,3,308,3,323,24,19,4,4,28,753,0.7226487523992322
314,3,28,3,1,2,2,2,4,376,4,238,41,37,1,9,15,766,0.7614314115308151
315,0,34,3,2,2,5,3,7,317,5,361,23,31,6,5,20,824,0.7665116279069767
316,1,25,1,1,1,6,3,0,313,1,366,24,12,10,1,34,799,0.7337006427915519
317,1,41,10,1,0,2,1,2,264,2,362,51,18,3,3,29,790,0.7221206581352834
318,0,18,8,0,3,4,6,6,170,3,328,35,22,3,3,21,630,0.7317073170731707
319,0,19,2,4,2,4,3,5,241,0,221,24,20,2,3,27,577,0.7114673242909988
320,0,19,1,0,1,10,1,9,221,0,226,29,14,6,1,34,572,0.6485260770975056
321,0,24,0,1,1,7,1,2,205,0,186,29,23,3,6,25,513,0.6876675603217158
322,0,27,2,1,0,4,0,2,144,0,145,24,11,5,1,12,378,0.7354085603112841
323,0,31,2,3,0,3,2,9,251,1,247,27,18,1,0,18,613,0.7439320388349514
324,0,30,1,1,1,0,1,10,268,0,268,45,22,2,0,19,668,0.7933491686460807
325,0,19,0,1,0,1,0,4,258,0,242,33,25,3,3,25,614,0.7469586374695864
326,1,13,3,0,1,4,1,7,226,0,161,17,21,2,2,19,478,0.3532889874353289
327,1,22,1,0,3,4,4,11,309,2,208,16,25,4,2,35,647,0.6796218487394958
328,0,31,3,0,3,10,2,10,292,1,290,38,28,5,3,22,738,0.7462082912032356
329,3,30,2,1,2,4,6,5,333,0,342,45,30,4,6,40,853,0.785451197053407
330,2,47,3,2,1,2,1,11,306,0,412,58,26,7,9,43,930,0.8237378210806023
331,0,39,2,6,1,7,1,8,320,1,395,34,34,6,2,38,894,0.8156934306569343
332,2,33,3,3,3,2,0,23,268,2,306,49,25,8,2,64,793,0.7202543142597638
333,1,53,3,1,0,6,1,7,326,16,276,36,24,3,3,23,779,0.7607421875
334,1,42,3,0,1,2,1,10,302,11,330,37,20,3,2,21,786,0.7594202898550725
335,1,30,2,2,2,3,2,15,356,7,343,50,28,4,4,27,876,0.780053428317008
336,0,37,1,4,0,6,1,9,298,4,214,26,42,10,5,26,683,0.7859608745684695
337,0,28,0,1,5,4,2,5,215,4,276,22,17,6,1,25,611,0.7137850467289719
338,0,24,3,1,1,2,1,5,295,0,209,25,17,4,3,17,607,0.7313253012048193
339,3,17,2,0,1,5,3,12,357,2,319,33,27,4,2,22,809,0.76248821866164
340,0,21,1,2,1,5,3,5,219,4,300,38,20,5,5,24,653,0.7755344418052257
341,0,33,0,1,0,3,1,7,369,7,176,16,19,4,0,14,650,0.7747318235995232
342,2,38,2,2,0,1,2,3,417,2,238,38,19,3,3,26,796,0.8223140495867769
343,0,33,2,1,2,3,4,5,297,0,306,46,29,1,3,30,762,0.8123667377398721
344,0,36,4,1,1,4,4,1,267,1,359,66,15,3,3,26,791,0.8112820512820513
345,1,26,5,4,1,4,3,2,245,1,342,51,21,2,8,26,742,0.814489571899012
346,0,15,2,1,1,5,0,8,220,3,252,35,28,4,6,23,603,0.7604035308953342
347,1,34,4,2,1,4,1,8,268,0,409,48,21,1,1,32,835,0.8546571136131014
348,0,28,9,0,2,2,3,11,214,0,451,60,22,5,4,25,836,0.8204121687929342
349,0,36,6,1,0,3,1,7,299,1,382,52,31,4,5,36,864,0.818957345971564
350,0,26,0,3,0,5,1,2,244,1,257,11,20,4,5,39,618,0.6998867497168743
351,0,21,2,2,1,7,2,9,211,0,329,31,28,6,1,25,675,0.4573170731707317
352,0,27,1,1,0,3,2,4,266,2,147,18,11,2,1,15,500,0.8038585209003215
353,0,22,4,2,0,5,3,5,292,1,218,27,23,3,2,31,638,0.7857142857142857
354,0,21,1,0,1,3,2,6,231,0,216,18,19,3,2,22,545,0.6745049504950495
355,0,31,0,1,1,5,2,5,179,1,256,31,22,2,4,23,563,0.7496671105193076
356,0,19,2,0,0,1,0,4,207,3,168,19,22,1,4,9,459,0.4562624254473161
357,0,21,1,1,0,4,3,4,237,1,230,25,19,3,5,21,575,0.7780784844384303
358,1,23,7,5,1,3,2,5,342,2,288,44,25,5,5,31,789,0.8075742067553736
359,0,29,2,3,1,4,0,4,264,2,274,30,30,8,3,24,678,0.8033175355450237
360,0,14,1,2,4,1,2,5,318,5,189,18,13,2,3,11,588,0.6533333333333333
361,0,23,2,3,1,4,3,2,351,0,223,24,24,0,2,27,689,0.7820658342792282
362,0,17,3,0,1,5,2,2,299,1,256,42,26,4,4,28,690,0.7549234135667396
363,0,28,4,0,1,2,1,3,285,1,297,43,27,2,2,16,712,0.8090909090909091
364,0,40,10,1,1,0,4,5,336,1,304,57,29,5,4,21,818,0.7895752895752896
365,0,21,4,1,1,1,3,3,228,4,290,31,23,3,3,20,636,0.8582995951417004
366,0,29,5,0,0,5,5,5,278,0,348,37,38,9,0,29,788,0.748338081671415
367,2,44,6,1,3,3,2,4,288,1,317,36,22,4,3,19,755,0.785639958376691
368,0,27,3,4,1,2,2,6,234,1,323,24,15,8,2,39,691,0.7406216505894962
369,1,28,2,3,2,7,3,4,295,4,278,36,24,1,1,32,721,0.7224448897795591
370,0,29,1,0,2,4,1,4,404,0,171,23,35,3,1,18,696,0.7972508591065293
371,1,16,0,0,0,3,1,7,264,0,228,26,33,3,2,29,613,0.7254437869822485
372,0,35,4,5,1,3,1,7,371,2,252,28,26,5,0,22,762,0.7369439071566731
373,0,39,0,3,1,2,2,6,321,0,242,42,27,5,0,31,721,0.7914379802414928
374,5,33,2,3,0,8,6,5,327,0,293,30,22,0,1,40,775,0.7627952755905512
375,1,16,0,2,1,1,6,6,255,1,204,24,22,1,0,20,560,0.6991260923845194
376,1,22,7,3,1,1,1,3,390,3,199,24,28,2,2,15,702,0.7986348122866894
377,2,33,1,8,1,5,2,7,256,1,305,41,24,6,3,28,723,0.8416763678696159
378,2,17,1,0,0,4,1,3,224,0,237,45,27,1,0,19,581,0.8125874125874126
379,2,32,7,2,2,2,3,9,240,0,296,59,32,4,5,21,716,0.8127128263337117
380,1,36,4,4,2,5,3,11,245,1,259,56,31,7,3,40,708,0.8072976054732041
381,1,28,6,4,1,6,4,10,223,1,326,33,31,4,2,25,705,0.7721796276013143
382,0,19,0,5,2,0,0,5,162,1,226,18,22,4,3,21,488,0.7808
383,0,23,4,3,0,2,1,7,202,2,295,46,19,7,5,30,646,0.7672209026128266
384,0,32,3,1,2,1,2,12,315,1,274,37,28,4,1,22,735,0.7492354740061162
385,0,21,0,2,1,7,2,9,269,1,278,46,26,4,2,25,693,0.7947247706422018
386,1,26,1,3,2,3,3,6,190,3,203,23,23,2,1,21,511,0.7570370370370371
387,0,21,4,3,1,3,3,11,305,3,314,41,27,7,2,23,768,0.764179104477612
388,0,28,3,5,2,4,2,11,370,1,234,43,23,8,2,28,764,0.7772126144455748
389,0,42,3,3,2,7,2,1,315,1,281,30,24,11,0,16,738,0.7784810126582279
390,0,29,2,3,2,3,4,5,388,4,284,30,25,5,1,21,806,0.8035892323030908
391,0,28,4,3,1,0,2,3,203,1,325,32,18,9,3,54,686,0.7440347071583514
392,0,13,1,1,2,4,0,0,142,2,192,11,13,2,2,27,412,0.7545787545787546
393,0,25,4,0,0,4,1,4,148,0,303,37,7,2,4,27,566,0.4271698113207547
394,0,23,1,1,0,3,3,1,132,2,291,35,19,13,3,52,579,0.4226277372262774
395,0,32,12,1,0,4,2,1,139,2,284,30,11,7,5,49,579,0.715698393077874
396,0,23,0,1,1,6,1,4,150,0,317,39,16,4,3,63,628,0.6901098901098901
397,0,9,2,2,1,6,4,2,178,0,338,38,24,13,2,57,676,0.7229946524064171
398,0,23,1,0,0,5,0,4,143,2,272,28,21,5,2,31,537,0.6462093862815884
399,0,27,1,1,0,3,2,4,137,0,288,33,14,6,2,57,575,0.7196495619524406
400,2,22,2,1,0,7,9,4,170,0,352,42,25,11,4,33,684,0.7222808870116156
401,1,25,0,1,0,6,0,2,155,0,236,29,13,9,9,42,528,0.7135135135135136
402,0,13,4,2,0,1,4,3,235,2,302,36,22,8,5,28,665,0.7869822485207101
403,1,18,1,3,0,3,2,4,221,2,286,48,17,4,3,32,645,0.7771084337349398
404,0,24,0,0,4,6,1,8,273,1,358,28,27,5,2,34,771,0.7671641791044777
405,1,22,3,1,2,6,2,3,244,2,275,22,28,2,7,40,660,0.7638888888888888
406,0,25,2,3,2,2,1,6,248,1,306,37,16,8,3,30,690,0.756578947368421
407,0,35,6,3,0,3,2,9,266,2,352,35,28,5,4,29,779,0.7682445759368837
408,1,14,2,0,1,4,2,2,227,2,284,28,29,7,6,32,641,0.7567886658795749
409,1,12,2,1,0,3,2,3,199,0,252,28,30,5,4,30,572,0.7556142668428005
410,2,28,3,3,2,4,2,2,243,2,296,52,22,4,6,20,691,0.7335456475583864
411,3,23,1,3,2,3,1,3,280,4,316,31,53,2,2,29,756,0.7730061349693251
412,1,22,2,1,2,2,0,3,287,1,318,43,23,2,4,28,739,0.7287968441814595
413,0,18,0,1,0,1,0,1,168,1,242,34,19,9,2,32,528,0.704
414,1,29,3,4,2,7,2,2,233,2,330,27,33,3,7,52,737,0.47032546266751757
415,0,18,0,1,0,1,6,7,198,5,228,25,22,2,4,55,572,0.4393241167434716
416,0,20,4,1,3,5,1,4,211,0,271,29,15,7,5,40,616,0.6968325791855203
417,1,17,7,1,0,3,2,8,180,3,306,45,17,9,3,57,659,0.7194323144104804
418,0,32,0,0,3,8,1,5,222,4,291,29,27,7,3,42,674,0.7154989384288747
419,1,22,2,1,1,7,5,4,248,0,375,35,26,10,3,70,810,0.7627118644067796
420,0,29,1,2,0,3,1,2,259,2,300,32,25,8,5,22,691,0.7494577006507592
421,0,33,2,1,1,3,2,5,245,1,258,23,27,3,3,22,629,0.7373974208675264
422,0,30,4,0,2,3,1,6,224,0,304,35,11,9,3,40,672,0.7516778523489933
423,0,35,2,2,0,4,1,5,231,1,280,48,16,2,0,26,653,0.754041570438799
424,1,28,1,1,1,1,2,10,228,0,329,38,27,5,3,29,704,0.7586206896551724
425,0,33,5,1,0,4,0,2,244,0,323,53,20,7,4,39,735,0.7484725050916496
426,0,24,1,3,0,2,4,3,218,1,269,36,36,0,4,18,619,0.7641975308641975
427,0,51,4,5,1,7,4,1,206,3,321,42,32,5,3,34,719,0.7739504843918191
428,0,36,4,5,1,4,3,7,227,2,316,28,36,5,5,30,709,0.7851605758582503
429,1,28,0,4,3,4,2,3,262,2,334,22,31,4,5,20,725,0.7458847736625515
430,1,29,5,2,0,0,2,3,238,0,325,41,24,4,3,35,712,0.7385892116182573
431,0,32,1,1,2,3,4,12,278,1,306,27,17,4,5,24,717,0.7993311036789298
432,0,38,1,1,0,6,8,6,239,1,337,29,31,6,4,32,739,0.7642192347466391
433,1,30,2,1,1,1,2,0,300,0,316,31,34,4,2,33,758,0.793717277486911
434,0,31,1,0,0,2,1,11,301,1,336,30,26,1,1,25,767,0.780264496439471
435,0,29,0,5,3,3,1,6,243,0,279,24,14,6,4,28,645,0.7724550898203593
436,0,30,2,3,0,3,1,4,256,3,319,34,24,5,4,37,725,0.7647679324894515
437,2,33,2,0,1,6,1,7,238,3,310,35,31,6,2,20,697,0.7559652928416486
438,0,45,2,1,0,2,1,8,283,0,307,45,23,2,3,23,745,0.8133187772925764
439,0,36,0,2,1,3,0,3,212,0,276,29,29,10,2,21,624,0.7367178276269185
440,0,26,2,4,2,1,1,9,280,1,330,35,28,3,3,28,753,0.75678391959799
441,1,33,0,1,1,7,1,8,250,0,349,40,27,8,2,52,780,0.7839195979899497
442,1,22,0,2,1,4,1,3,182,1,308,30,15,7,2,59,638,0.6801705756929638
443,0,17,3,0,1,3,1,3,198,1,209,34,20,7,4,40,541,0.6646191646191646
444,0,33,5,2,0,4,0,5,266,2,290,32,24,2,0,23,688,0.7739032620922385
445,0,46,2,1,2,3,4,5,263,0,328,43,28,4,3,18,750,0.7591093117408907
446,1,27,1,5,2,4,11,5,164,0,233,29,13,5,2,31,533,0.4112654320987654
447,0,20,4,0,4,4,0,8,212,0,284,42,28,5,4,34,649,0.453529000698812
448,0,10,3,0,0,5,0,5,128,1,163,20,17,3,3,30,388,0.36952380952380953
449,0,27,1,0,1,1,0,5,166,0,182,16,17,4,1,8,429,0.41935483870967744
450,0,36,4,1,1,2,2,3,247,1,268,25,25,3,3,40,661,0.7271727172717272
451,0,24,8,1,0,3,2,2,226,2,279,28,30,1,3,22,631,0.7449822904368358
452,0,23,4,3,1,3,0,2,203,2,260,35,17,5,4,18,580,0.7426376440460948
453,0,29,0,1,0,2,0,2,224,1,273,30,30,5,1,19,617,0.7674129353233831
454,0,26,5,3,0,4,3,3,256,0,324,45,26,4,13,35,747,0.744765702891326
455,0,21,2,0,2,5,2,4,215,1,295,46,22,3,6,23,647,0.7739234449760766
456,0,32,0,3,4,5,0,5,236,1,285,18,26,8,1,29,653,0.7709563164108618
457,0,24,4,4,0,4,1,3,200,0,295,45,21,1,4,19,625,0.8148631029986962
458,0,30,9,0,2,1,0,3,262,2,313,38,18,3,3,34,718,0.8022346368715084
459,1,46,2,1,3,3,1,7,241,0,324,48,19,3,1,30,730,0.7782515991471215
460,0,24,4,2,0,1,1,5,275,0,279,38,24,5,5,39,702,0.8004561003420753
461,2,21,4,0,1,5,2,3,224,0,230,29,25,0,1,21,568,0.752317880794702
462,1,43,4,0,0,3,2,7,239,3,284,62,17,3,2,32,702,0.78
463,0,41,4,3,1,3,1,4,278,2,325,47,16,4,2,31,762,0.757455268389662
464,0,30,3,1,2,3,0,6,245,2,304,34,32,2,2,28,694,0.7430406852248393
465,0,42,3,3,0,2,5,2,260,2,301,40,28,1,7,32,728,0.7777777777777778
466,0,31,1,0,0,9,6,8,190,1,363,26,26,4,0,45,710,0.696078431372549
467,0,34,4,0,1,4,6,5,296,0,332,47,30,5,2,14,780,0.8082901554404145
468,0,45,1,0,0,3,2,5,248,0,334,40,29,4,3,15,729,0.7771855010660981
469,0,28,7,1,3,5,1,2,274,2,364,49,23,3,6,35,803,0.7758454106280194
470,3,22,0,1,1,9,4,5,199,0,353,19,20,4,1,36,677,0.7295258620689655
471,0,22,1,0,1,2,0,2,140,0,269,20,13,4,1,52,527,0.5116504854368932
472,0,27,5,1,1,0,1,5,216,1,301,41,17,7,3,14,640,0.8556149732620321
473,0,15,2,1,0,1,2,5,186,0,250,39,20,1,3,23,548,0.4963768115942029
474,0,19,5,0,2,1,1,3,148,1,334,41,15,8,2,22,602,0.8661870503597122
475,1,25,1,1,2,1,0,6,184,0,299,28,22,2,5,27,604,0.5215889464594128
476,0,17,5,1,0,3,0,5,193,0,193,23,10,2,2,11,465,0.4823651452282158
477,0,24,2,0,0,1,0,3,185,0,281,40,28,2,5,23,594,0.5238095238095238
478,0,29,1,1,1,0,1,4,172,0,330,38,31,1,1,24,634,0.8614130434782609
479,0,28,2,1,0,4,3,4,152,0,252,28,19,1,1,9,504,0.49851632047477745
480,0,47,1,2,0,3,3,3,212,1,311,29,20,7,1,19,659,0.756601607347876
481,0,25,1,3,1,1,4,5,253,0,294,25,16,2,4,24,658,0.732739420935412
482,1,44,2,1,0,4,2,2,212,4,209,42,23,3,3,19,571,0.7503285151116952
483,1,22,1,3,4,0,4,3,248,1,303,34,24,2,5,22,677,0.7572706935123042
484,0,31,2,0,1,2,2,2,228,4,316,40,27,3,2,23,683,0.7359913793103449
485,1,24,3,0,0,2,1,5,238,4,287,40,18,1,1,23,648,0.7482678983833718
486,0,20,0,3,5,3,1,1,171,1,224,38,19,6,1,21,514,0.7099447513812155
487,1,26,5,0,2,5,4,7,230,1,264,24,24,4,4,28,629,0.6988888888888889
488,1,33,2,2,1,3,2,5,230,8,286,26,9,4,4,30,646,0.7416762342135477
489,0,28,2,1,2,1,0,5,213,4,221,21,6,5,1,18,528,0.45993031358885017
490,0,15,1,4,1,1,2,5,160,14,184,18,14,0,2,20,441,0.42200956937799045
491,0,33,2,2,1,3,6,5,199,19,203,30,20,3,1,22,549,0.7300531914893617
492,0,32,2,2,1,5,0,5,258,5,272,38,14,2,5,31,672,0.7542087542087542
493,0,31,3,0,0,3,2,5,228,1,283,35,23,3,1,23,641,0.763095238095238
494,0,17,3,3,1,4,1,3,274,3,230,27,19,1,0,18,604,0.7173396674584323
495,1,22,2,0,0,6,3,7,205,1,224,23,20,2,5,19,540,0.43654001616814875
496,1,26,1,0,0,1,0,1,224,1,247,29,21,4,3,20,579,0.4606205250596659
497,0,37,5,2,0,0,2,5,261,1,330,43,16,4,1,29,736,0.5427728613569321
498,3,24,3,3,2,6,2,1,238,0,301,39,21,9,2,11,665,0.7992788461538461
499,2,20,2,3,1,1,0,3,245,3,266,25,22,0,4,23,620,0.7607361963190185
500,0,22,2,1,2,3,2,7,199,3,289,22,9,3,3,31,598,0.5181975736568457
501,0,25,0,5,0,3,1,8,280,2,219,24,17,6,3,30,623,0.6976483762597985
502,4,11,0,2,2,4,2,6,263,3,326,34,20,5,2,23,707,0.7553418803418803
503,1,26,1,1,0,3,1,6,313,2,303,28,23,6,2,20,736,0.7838125665601704
504,0,41,5,3,1,3,1,3,234,2,256,28,29,5,5,34,650,0.7377979568671964
505,0,22,3,1,3,4,6,4,241,3,317,37,14,3,1,41,700,0.7352941176470589
506,1,22,3,1,1,2,3,3,252,1,239,23,27,4,3,18,603,0.723889555822329
507,0,14,1,2,0,2,1,3,205,1,249,28,17,7,0,34,564,0.7411300919842313
508,0,43,4,2,0,3,2,8,258,5,273,27,33,8,4,32,702,0.7027027027027027
509,1,36,3,4,1,7,4,5,273,2,321,27,29,7,1,39,760,0.753968253968254
510,0,28,0,0,1,2,5,12,247,0,186,20,25,1,0,15,542,0.7720797720797721
511,1,42,0,3,1,4,3,3,343,3,331,26,20,1,3,21,805,0.732484076433121
512,0,7,1,3,2,4,3,15,266,2,185,22,22,2,1,13,548,0.4444444444444444
513,0,21,4,2,0,2,0,1,193,0,177,21,26,4,0,21,472,0.7564102564102564
514,1,14,1,3,1,2,0,5,247,3,188,28,21,4,3,14,535,0.4273162939297125
515,0,18,1,1,1,3,0,5,284,5,231,34,24,4,2,21,634,0.5019794140934284
516,0,26,1,1,0,4,0,8,252,3,211,21,24,4,2,13,570,0.7187894073139974
517,0,20,0,0,1,3,0,4,114,1,137,12,12,1,0,12,317,0.6802575107296137
518,2,19,4,1,0,5,2,3,188,0,176,12,22,5,2,15,456,0.39790575916230364
519,0,21,0,2,1,8,1,13,321,2,204,21,20,5,0,17,636,0.7276887871853547
520,0,35,7,0,1,7,7,9,278,1,301,29,31,6,3,44,759,0.7140169332079022
521,1,34,1,3,1,6,4,15,358,1,294,36,39,3,2,33,831,0.7096498719043552
522,0,27,3,1,1,7,2,10,274,2,315,28,39,1,1,21,732,0.7386478304742684
523,0,19,0,2,3,6,2,5,199,0,174,23,20,5,2,13,473,0.4744232698094283
524,0,29,0,2,0,5,2,15,319,3,316,39,20,3,3,18,774,0.7633136094674556
525,1,32,1,2,1,6,1,3,245,9,297,40,17,4,4,27,690,0.7247899159663865
526,0,22,1,0,1,1,1,8,229,4,301,28,28,7,2,19,652,0.7459954233409611
527,2,16,1,1,0,3,0,4,263,4,291,20,22,6,6,19,658,0.7686915887850467
528,0,24,0,3,0,4,3,5,292,4,288,22,23,3,1,19,691,0.7799097065462754
529,1,35,3,2,1,4,1,8,209,3,282,22,20,4,3,25,623,0.7338044758539458
530,0,27,0,3,1,5,3,8,195,3,252,21,31,7,2,23,581,0.7757009345794392
531,3,27,1,2,0,2,3,8,237,1,288,32,24,10,0,25,663,0.7030752916224814
532,0,24,5,2,0,5,2,4,252,4,284,35,23,2,1,38,681,0.7213983050847458
533,0,25,2,5,0,4,1,8,256,9,341,32,35,12,4,33,767,0.5264241592312972
534,0,27,2,0,3,2,1,14,282,0,276,39,25,10,5,13,699,0.7169230769230769
535,0,36,1,3,4,5,2,6,265,2,335,27,32,5,0,31,754,0.7187797902764538
536,0,15,0,5,1,5,3,8,169,3,233,17,24,2,2,22,509,0.4829222011385199
537,0,28,6,1,2,0,0,3,295,3,235,31,19,1,6,24,654,0.5594525235243798
538,0,42,1,3,2,2,1,2,271,0,255,29,19,2,4,24,657,0.535889070146819
539,1,37,3,3,1,3,3,3,352,1,245,32,26,2,2,22,736,0.5864541832669322
540,3,33,6,0,1,2,1,8,267,0,242,18,16,3,5,23,628,0.7820672478206725
541,1,37,4,2,0,4,2,6,258,3,262,34,28,0,1,17,659,0.7653890824622532
542,0,13,3,1,1,2,0,2,253,1,246,22,10,3,3,37,597,0.5186794092093832
543,1,29,4,5,1,3,0,3,234,3,267,37,29,3,2,29,650,0.7352941176470589
544,2,24,3,2,0,6,2,4,250,0,242,37,16,2,2,34,626,0.7211981566820277
545,0,24,3,0,2,0,4,4,265,0,319,35,20,3,4,31,714,0.7571580063626723
546,0,14,8,4,2,5,0,5,281,0,317,47,24,3,6,28,744,0.768595041322314
547,0,21,1,1,2,4,2,5,222,4,279,36,27,2,1,20,627,0.7674418604651163
548,0,38,5,2,0,2,4,10,271,0,325,42,29,3,4,13,748,0.7816091954022989
549,1,22,5,1,3,1,2,3,205,1,271,35,7,5,2,18,582,0.7538860103626943
550,1,27,3,4,2,3,1,5,234,1,203,24,17,6,3,23,557,0.7041719342604298
551,0,17,3,1,0,2,4,5,239,3,217,10,38,10,2,24,575,0.7296954314720813
552,0,42,17,4,3,4,2,6,261,0,253,31,20,7,14,16,680,0.7053941908713693
553,1,16,2,8,1,4,3,6,222,0,225,20,19,1,1,21,550,0.697084917617237
554,0,31,8,1,1,5,1,6,237,0,288,40,20,2,2,24,666,0.8053204353083434
555,1,21,2,0,1,10,4,7,260,4,242,37,28,3,3,36,659,0.7210065645514223
556,1,38,5,4,0,7,4,4,268,2,327,45,33,5,5,29,777,0.7632612966601179
557,0,34,1,2,3,6,4,9,202,0,313,28,20,3,1,21,647,0.7245240761478163
558,1,32,1,1,1,1,2,5,225,0,299,54,17,3,5,45,692,0.7688888888888888
559,2,21,4,0,5,4,1,1,188,1,271,23,26,11,2,52,612,0.7083333333333334
560,0,22,4,1,4,4,0,7,230,2,236,36,21,0,3,26,596,0.4591679506933744
561,1,22,2,2,2,1,1,3,264,0,346,41,25,6,2,38,756,0.8076923076923077
562,0,29,13,2,1,1,2,6,326,1,326,27,39,4,2,30,809,0.7668246445497631
563,0,40,5,5,4,2,2,10,305,2,376,64,22,2,2,35,876,0.8171641791044776
564,0,29,4,3,0,11,2,4,232,1,341,31,36,7,6,32,739,0.7382617382617382
565,0,12,1,1,0,2,2,6,156,0,330,16,20,10,5,30,591,0.7103365384615384
566,2,18,0,3,0,3,4,10,239,0,338,25,26,7,4,28,707,0.7221654749744637
567,0,20,2,2,1,10,2,10,240,1,324,40,33,3,4,43,735,0.7608695652173914
568,2,35,5,0,2,5,6,10,259,4,381,78,24,7,4,27,849,0.8163461538461538
569,0,22,1,0,2,9,6,8,178,1,329,28,25,5,0,49,663,0.7136706135629709
570,1,20,2,0,4,3,0,4,178,0,306,31,25,6,1,31,612,0.7518427518427518
571,0,43,7,0,0,4,4,11,205,0,367,38,23,2,3,35,742,0.8412698412698413
572,0,18,3,3,0,3,2,8,235,0,365,58,18,6,8,39,766,0.8236559139784946
573,0,26,3,1,1,2,2,2,225,3,336,41,25,4,3,24,698,0.8491484184914841
574,0,15,1,0,2,2,1,6,146,2,353,37,16,5,2,27,615,0.8529819694868238
575,1,50,7,1,1,3,1,4,196,0,318,40,22,7,1,18,670,0.8438287153652393
576,2,42,2,6,0,2,0,5,220,2,330,42,23,7,7,26,716,0.8182857142857143
577,0,32,1,1,0,0,0,6,212,2,155,26,19,1,1,14,470,0.3576864535768645
578,0,24,1,2,0,5,1,4,181,1,245,22,23,4,1,17,531,0.768451519536903
579,2,44,2,3,1,4,1,3,243,0,278,30,20,2,4,25,662,0.7548460661345496
580,0,31,1,1,2,1,5,5,257,1,266,31,15,1,4,28,649,0.7375
581,0,24,3,3,2,3,5,3,201,5,315,15,19,4,3,31,636,0.7526627218934911
582,2,21,1,1,4,3,4,5,231,0,253,25,22,6,3,19,600,0.7246376811594203
583,0,20,3,1,1,2,2,5,241,0,288,31,23,3,2,39,661,0.7502837684449489
584,0,10,0,1,3,8,1,9,198,0,293,14,18,5,4,32,596,0.7095238095238096
585,0,22,1,4,3,2,4,4,173,1,326,32,18,5,0,25,620,0.7407407407407407
586,0,10,1,0,4,5,1,6,159,0,344,15,24,7,3,31,610,0.6587473002159827
587,0,21,1,3,1,3,0,8,254,1,321,36,16,6,6,34,711,0.7847682119205298
588,0,33,3,2,0,3,4,1,266,2,313,29,20,1,0,41,718,0.7654584221748401
589,3,18,1,1,2,3,0,4,228,0,251,32,28,5,1,23,600,0.6928406466512702
590,1,28,3,4,1,2,0,4,263,3,311,40,26,2,6,26,720,0.7733619763694952
591,0,25,4,0,2,1,1,3,268,1,266,35,17,6,2,26,657,0.7551724137931034
592,0,49,2,1,1,5,0,6,306,3,320,50,27,4,2,30,806,0.798810703666997
