SEZIONE,LIBERALI PER L'ITALIA - PLI,FARE PER FERMARE IL DECLINO,STAMINALI D'ITALIA,MODERATI ITALIANI IN RIVOLUZIONE - ROSA TRICOLORE,INTESA POPOLARE,LA DESTRA,IL POPOLO DELLA LIBERTA',LEGA NORD,GRANDE SUD - MPA,FRATELLI D'ITALIA CENTRODESTRA NAZIONALE,MOVIMENTO PROGETTO ITALIA - MID,MOVIMENTO 5 STELLE,SCELTA CIVICA CON MONTI PER L'ITALIA,FUTURO E LIBERTA' PER L'ITALIA,UNIONE DEI DEMOCRATICI CRISTIANI E DEMOCRATICI DI CENTRO (UDC),SINISTRA ECOLOGIA LIBERTA',PARTITO DEMOCRATICO,CENTRO DEMOCRATICO,PARTITO COMUNISTA DEI LAVORATORI,FORZA NUOVA,AMNISTIA GIUSTIZIA E LIBERTA',CASAPOUND ITALIA,RIVOLUZIONE CIVILE INGROIA,MOVIMENTO SOCIALE FIAMMA TRICOLORE,UNIONE POPOLARE,TOTALE,TOTALE_ISCRITTI,AFFLUENZA
17,2,6,0,0,0,9,113,0,0,14,0,166,65,2,13,58,218,2,2,3,3,2,30,3,0,711,904,0.786504424778761
18,0,9,0,0,0,13,123,1,0,24,0,80,75,1,6,13,93,0,0,1,1,1,8,1,0,450,600,0.75
19,0,10,0,0,0,6,125,0,0,12,0,72,61,2,8,15,91,2,1,0,4,4,8,1,1,423,609,0.6945812807881774
20,1,15,0,0,0,8,164,1,1,22,0,87,74,4,6,31,167,1,0,2,1,5,15,3,0,608,850,0.7152941176470589
21,3,5,1,2,1,17,151,2,0,13,0,113,77,8,9,29,227,3,1,1,1,2,21,0,0,687,925,0.7427027027027027
22,1,14,0,1,2,11,146,2,0,19,0,143,71,8,12,53,230,0,1,5,1,4,17,0,3,744,1016,0.7322834645669292
23,1,4,0,0,2,19,141,1,2,24,0,103,51,2,6,26,117,0,1,1,1,0,20,3,0,525,791,0.6637168141592921
24,2,1,0,1,0,19,152,1,0,17,0,136,92,3,3,29,141,1,4,3,3,1,29,2,0,640,966,0.6625258799171843
25,1,9,0,1,1,12,109,1,0,16,2,366,53,10,3,40,252,3,2,3,1,10,20,1,0,916,1162,0.7882960413080895
26,1,5,0,0,0,7,86,2,1,17,0,88,44,2,7,22,93,1,2,0,6,2,8,0,0,394,592,0.6655405405405406
27,0,9,0,1,0,7,89,0,0,10,0,56,59,2,6,26,116,2,0,2,0,1,14,0,0,400,545,0.7339449541284404
28,1,15,0,1,0,10,114,1,0,15,0,81,97,3,16,35,181,1,1,2,3,1,22,0,0,600,785,0.7643312101910829
29,1,19,0,0,1,12,97,1,0,15,1,84,76,4,5,43,218,1,0,0,7,0,16,0,0,601,821,0.7320341047503045
30,1,13,0,1,0,4,129,0,0,31,0,91,99,5,13,36,194,3,3,0,4,2,9,2,0,640,761,0.8409986859395532
31,0,15,0,0,0,5,115,2,0,13,1,117,82,2,3,54,216,1,3,0,4,2,22,0,0,657,845,0.7775147928994083
32,2,15,0,0,5,11,139,1,0,37,0,139,73,2,2,48,238,4,4,3,2,0,23,1,0,749,986,0.7596348884381339
33,0,7,0,4,0,6,144,3,0,17,0,149,77,1,11,63,221,4,1,3,3,1,25,1,0,741,950,0.78
34,0,25,0,0,0,6,137,2,0,18,0,129,145,0,14,34,216,1,1,3,4,3,12,0,0,750,944,0.7944915254237288
35,1,17,0,1,0,10,121,3,0,23,0,134,94,3,2,52,233,1,2,2,2,4,24,1,0,730,966,0.7556935817805382
36,1,12,0,1,4,9,137,1,0,26,1,197,77,3,8,44,217,2,2,2,4,0,14,1,0,763,1010,0.7554455445544555
37,1,10,0,0,2,12,101,2,0,28,0,203,54,7,8,24,178,2,0,3,2,4,16,2,0,659,780,0.8448717948717949
38,1,7,0,0,1,6,142,0,0,17,0,128,71,6,12,28,163,4,0,3,3,1,24,0,0,617,781,0.7900128040973111
39,0,13,0,1,0,5,147,0,1,26,0,128,62,5,6,36,166,1,0,2,6,1,14,0,0,620,768,0.8072916666666666
40,0,7,0,2,0,5,139,0,1,24,0,126,60,3,13,35,218,1,1,2,1,1,20,2,0,661,878,0.7528473804100227
41,0,26,0,2,4,12,139,2,0,32,0,121,128,2,9,22,205,2,0,2,2,5,9,2,0,726,861,0.8432055749128919
42,2,5,0,2,1,7,104,4,1,14,0,128,74,2,6,49,159,1,0,1,1,1,17,0,0,579,744,0.7782258064516129
43,1,4,0,1,0,7,102,0,1,14,1,115,54,4,5,30,156,4,2,2,1,3,11,2,1,521,713,0.7307152875175316
44,3,6,0,0,1,8,78,1,0,11,0,169,38,2,6,33,180,0,5,2,2,0,16,0,0,561,764,0.7342931937172775
45,2,7,0,2,1,4,99,2,0,25,1,113,44,0,7,39,184,2,2,2,2,2,23,1,1,565,740,0.7635135135135135
46,1,12,0,0,1,11,140,1,1,30,0,125,52,4,12,29,136,0,0,1,3,0,10,0,0,569,729,0.7805212620027435
47,1,6,0,0,0,16,91,2,2,26,0,135,62,5,9,43,186,1,1,2,0,1,14,2,0,605,778,0.7776349614395887
48,1,15,0,1,0,10,114,1,0,21,1,125,67,0,2,36,261,1,0,2,4,2,21,0,1,686,899,0.7630700778642937
49,1,6,0,0,0,1,113,1,0,3,0,150,30,2,5,37,193,0,2,0,4,2,23,1,1,575,771,0.7457846952010376
50,5,5,0,0,1,4,90,0,0,31,0,128,76,1,14,62,224,2,2,1,1,4,18,1,1,671,846,0.793144208037825
51,1,4,0,2,2,17,106,1,1,24,0,127,48,5,10,44,194,1,2,1,1,5,14,0,0,610,817,0.7466340269277846
52,1,14,0,0,0,5,128,0,0,23,0,131,66,2,12,50,244,3,4,1,3,1,15,0,1,704,912,0.7719298245614035
53,1,11,0,1,0,7,132,2,0,32,0,107,71,2,8,45,207,1,5,1,5,2,19,0,0,659,851,0.7743830787309048
54,1,17,0,2,0,9,122,1,0,22,0,152,81,11,13,34,221,0,0,5,7,4,30,2,0,734,903,0.8128460686600222
55,1,8,0,1,0,5,80,0,0,15,1,89,64,2,9,30,145,2,0,1,4,0,13,0,0,470,627,0.7496012759170654
56,0,9,0,8,0,6,116,3,0,25,0,97,88,4,8,35,216,4,1,1,3,1,7,0,0,632,800,0.79
57,0,11,0,1,0,7,119,0,0,15,1,113,101,2,10,38,175,1,0,0,5,0,16,0,0,615,786,0.7824427480916031
58,0,18,2,2,0,8,113,0,2,51,0,101,79,4,10,26,218,5,0,1,3,1,12,0,0,656,824,0.7961165048543689
59,1,19,0,4,0,12,117,0,0,26,0,118,72,4,4,32,151,2,2,2,0,4,7,0,0,577,734,0.7861035422343324
60,2,5,0,2,1,9,139,1,0,28,0,142,78,6,16,39,216,2,2,3,5,1,25,1,0,723,905,0.7988950276243094
61,1,12,0,0,0,5,90,0,0,27,0,100,76,1,7,23,153,5,0,0,1,1,13,0,0,515,641,0.8034321372854915
62,1,13,1,0,0,7,98,0,0,19,1,139,67,3,7,23,177,0,1,0,2,4,16,0,0,579,759,0.7628458498023716
63,3,18,0,2,0,16,169,5,0,44,0,138,105,4,19,31,213,2,0,5,1,3,9,0,0,787,939,0.838125665601704
64,0,23,0,0,0,6,105,0,1,19,0,64,88,3,9,44,195,5,0,0,2,0,16,3,0,583,737,0.7910447761194029
65,0,12,1,3,0,16,163,1,0,27,0,123,74,2,6,26,226,3,1,0,5,0,17,1,0,707,857,0.8249708284714119
66,3,9,0,1,1,8,130,0,0,13,0,129,68,3,7,44,184,2,1,0,4,0,18,0,0,625,845,0.7396449704142012
67,3,6,0,2,0,13,115,0,0,21,0,138,51,5,12,40,201,3,0,1,2,1,33,2,0,649,865,0.7502890173410405
68,1,4,0,0,0,11,116,1,0,20,0,180,60,6,9,48,200,2,0,0,0,2,30,1,0,691,887,0.7790304396843292
69,0,13,1,1,0,6,125,1,0,16,2,168,62,4,7,56,205,6,2,3,3,3,23,0,1,708,940,0.7531914893617021
70,0,7,1,0,0,9,92,0,1,16,1,138,62,6,10,26,175,1,1,4,2,2,10,2,0,566,719,0.7872044506258693
71,0,13,0,0,0,9,123,0,0,21,0,163,58,5,12,39,220,0,1,2,3,2,22,1,0,694,934,0.7430406852248393
72,2,4,0,2,1,10,90,0,0,20,0,165,48,7,3,62,205,2,1,3,2,0,23,2,0,652,924,0.7056277056277056
73,2,11,0,0,0,5,97,2,0,23,0,142,97,9,19,86,264,1,3,2,2,3,26,2,0,796,1033,0.7705711519845111
74,0,17,0,0,0,4,79,1,0,14,0,104,55,3,5,55,201,2,2,0,3,1,25,2,0,573,749,0.7650200267022697
75,0,9,0,0,1,6,121,1,0,15,0,147,76,3,15,73,236,2,3,2,7,1,26,3,0,747,982,0.7606924643584522
76,1,18,0,0,1,14,96,1,0,26,0,169,80,3,9,62,249,5,2,1,2,0,33,0,0,772,961,0.8033298647242456
77,0,9,0,1,1,9,112,0,1,25,0,159,84,10,8,80,269,2,1,5,2,1,31,0,0,810,1016,0.797244094488189
78,2,10,1,0,0,14,81,1,1,21,0,158,57,3,7,42,229,3,1,4,4,0,21,0,0,660,854,0.7728337236533958
79,2,6,0,0,1,8,102,0,0,13,1,131,65,5,16,51,212,3,2,1,2,0,19,0,0,640,861,0.743321718931475
80,0,3,0,0,0,8,90,1,0,18,0,145,35,1,3,37,202,1,1,2,3,4,20,0,0,574,837,0.6857825567502986
81,0,6,0,2,1,23,122,0,0,23,0,177,58,1,12,67,205,3,5,1,3,2,28,3,0,742,952,0.7794117647058824
82,1,6,0,1,0,8,134,0,0,34,0,138,52,5,6,70,238,1,2,1,1,0,25,0,0,723,950,0.7610526315789473
83,0,9,0,0,0,4,115,2,0,14,0,157,72,8,3,82,286,0,1,0,4,3,23,0,0,783,997,0.7853560682046138
84,1,8,0,0,0,12,120,0,0,11,0,120,48,3,9,54,265,0,3,2,3,3,27,0,0,689,955,0.7214659685863875
85,1,14,1,3,0,6,102,0,0,25,0,151,87,2,7,81,282,2,0,0,4,5,32,2,0,807,1032,0.7819767441860465
86,0,8,0,0,0,7,107,1,1,32,0,171,76,6,9,62,257,3,1,3,3,1,41,0,0,789,969,0.8142414860681114
87,1,7,0,0,0,18,104,0,0,29,0,149,68,2,13,51,251,3,0,2,1,1,23,0,0,723,974,0.742299794661191
88,0,4,0,0,1,10,99,1,0,14,1,150,51,7,5,53,248,1,3,1,2,5,22,1,1,680,923,0.7367280606717227
89,0,4,0,3,0,11,114,0,0,22,0,166,79,4,9,46,210,0,1,4,2,5,19,0,0,699,919,0.7606093579978237
90,1,3,0,3,1,6,105,0,0,17,0,177,42,3,7,41,237,1,3,1,2,2,21,2,0,675,933,0.7234726688102894
91,1,7,0,0,2,17,101,0,0,29,0,175,52,3,8,49,258,5,0,2,4,3,39,2,0,757,979,0.7732379979570991
92,0,9,0,4,0,8,96,2,1,24,0,131,86,5,11,65,245,1,1,2,2,0,24,0,1,718,909,0.7898789878987899
93,0,8,0,1,0,12,93,5,0,6,0,155,66,2,10,34,158,0,1,1,2,2,11,1,0,568,761,0.7463863337713534
94,3,13,0,0,1,15,111,0,0,17,0,169,76,6,7,47,231,5,0,2,1,2,27,4,0,737,925,0.7967567567567567
95,0,0,0,0,0,13,105,1,0,21,0,156,36,4,9,36,227,1,1,0,5,1,17,1,0,634,828,0.7657004830917874
96,2,10,1,0,0,10,135,1,0,28,0,158,60,3,12,42,237,0,1,2,1,1,29,0,1,734,921,0.7969598262757872
97,1,13,0,1,0,9,118,0,0,30,0,160,66,2,9,37,212,3,0,2,0,2,28,0,0,693,892,0.7769058295964125
98,1,1,0,1,1,13,99,0,0,28,0,130,36,7,9,30,184,1,0,0,1,3,16,3,0,564,762,0.7401574803149606
99,0,10,0,1,1,7,99,2,0,34,0,130,64,9,7,39,288,1,0,1,3,2,19,2,0,719,935,0.7689839572192514
100,1,7,0,1,1,11,150,0,0,32,0,144,73,7,3,64,241,10,4,1,2,2,16,1,0,771,991,0.7780020181634713
101,1,5,0,2,0,11,100,0,0,21,0,164,51,9,8,34,224,1,2,1,3,2,27,0,0,666,913,0.7294633077765608
102,2,9,0,1,0,4,164,0,0,22,0,156,80,6,7,42,218,3,2,0,1,1,13,0,0,731,886,0.8250564334085779
103,1,9,0,1,0,14,98,0,0,28,1,140,42,6,3,29,201,2,0,1,5,7,16,2,0,606,838,0.7231503579952268
104,3,12,0,0,0,16,142,2,0,26,0,180,71,4,4,34,190,6,0,4,0,2,11,1,0,708,929,0.7621097954790097
105,1,6,0,1,0,14,145,2,0,13,0,135,55,6,12,28,204,2,1,0,1,0,14,0,0,640,813,0.7872078720787208
106,2,9,0,0,0,11,129,0,0,26,0,196,48,1,6,44,200,0,0,2,0,4,14,0,1,693,900,0.77
107,2,11,0,3,0,12,166,0,1,32,1,176,82,8,7,36,233,3,1,3,2,2,17,1,0,799,977,0.8178096212896623
108,0,12,0,2,0,25,154,0,0,30,0,177,67,7,5,24,207,3,0,1,0,2,19,0,0,735,935,0.786096256684492
109,3,3,0,0,1,9,113,0,0,17,1,183,29,1,5,32,215,0,12,2,1,3,25,5,2,662,959,0.6903023983315955
110,2,0,0,1,1,13,65,0,0,14,2,212,16,4,3,19,202,1,5,2,3,6,18,2,0,591,931,0.6348012889366272
111,0,4,1,0,1,3,95,0,0,16,0,196,36,3,7,26,201,3,6,2,1,2,22,3,3,631,945,0.6677248677248677
112,0,3,0,0,2,15,87,1,0,13,0,205,29,2,3,45,190,0,2,1,3,4,29,1,1,636,1038,0.6127167630057804
113,0,1,0,1,3,12,70,3,0,7,0,211,34,3,3,23,186,5,5,4,3,1,19,2,1,597,962,0.6205821205821206
114,1,3,0,1,0,15,113,0,0,19,3,172,31,1,3,43,180,1,2,2,3,3,23,2,0,621,918,0.6764705882352942
115,0,2,0,0,1,15,85,1,0,12,0,198,31,2,9,41,232,0,3,0,3,4,22,1,1,663,973,0.6813977389516958
116,0,0,1,1,2,5,94,0,0,8,0,176,27,2,5,32,140,2,8,3,1,2,27,2,0,538,808,0.6658415841584159
117,2,1,0,1,1,12,84,0,1,9,1,236,24,2,3,26,215,2,7,2,2,7,19,1,0,658,972,0.676954732510288
118,0,4,0,0,0,12,78,2,0,11,0,162,20,2,7,33,156,3,4,3,4,2,20,1,0,524,821,0.6382460414129111
119,3,1,1,1,0,13,81,0,0,12,0,195,36,4,7,27,190,4,1,2,3,1,19,1,2,604,946,0.638477801268499
120,1,11,0,1,1,10,110,0,1,24,0,92,106,2,10,33,180,4,0,0,2,1,10,2,0,601,773,0.777490297542044
121,2,21,0,0,0,18,143,1,1,24,1,113,110,2,12,26,203,5,0,3,3,2,7,1,0,698,848,0.8231132075471698
122,0,23,0,1,0,8,133,4,0,18,0,66,102,3,8,19,171,2,0,3,1,1,9,0,0,572,730,0.7835616438356164
123,2,34,0,0,1,14,136,7,0,36,1,111,131,4,5,39,206,1,0,3,7,2,16,1,1,758,938,0.8081023454157783
124,2,23,0,0,0,12,122,0,0,26,0,105,146,5,10,41,277,2,2,2,5,7,11,2,0,800,984,0.8130081300813008
125,2,25,0,1,0,13,175,0,1,39,0,84,112,2,11,32,201,2,0,1,2,0,13,3,0,719,901,0.7980022197558269
126,1,30,0,1,0,10,117,0,0,36,1,122,89,3,8,42,245,7,2,1,3,1,22,1,0,742,957,0.7753396029258098
127,2,24,0,0,0,4,117,1,0,31,0,93,111,3,10,20,166,4,1,1,0,0,12,0,0,600,777,0.7722007722007722
128,1,26,0,0,0,6,132,1,0,33,1,136,90,1,11,49,256,0,1,0,2,7,23,1,0,777,982,0.7912423625254582
129,2,17,0,0,0,7,108,3,0,19,0,86,84,4,1,33,239,6,1,0,2,1,14,2,0,629,786,0.8002544529262087
130,0,22,0,1,0,5,158,3,0,24,0,116,119,5,12,46,217,4,0,1,2,5,19,1,0,760,970,0.7835051546391752
131,0,15,0,0,0,4,154,0,0,27,0,130,94,5,16,51,198,3,1,0,2,1,17,5,0,723,957,0.7554858934169278
132,1,16,0,3,0,7,133,0,1,46,0,130,119,3,5,42,207,1,1,0,2,1,19,1,0,738,935,0.7893048128342246
133,2,16,0,1,1,13,135,0,0,25,0,112,101,5,12,52,234,6,0,0,4,2,13,2,1,737,933,0.789924973204716
134,1,12,1,0,0,12,100,1,0,10,0,102,99,2,12,58,263,1,3,3,2,6,19,1,0,708,937,0.7556029882604055
135,1,10,0,1,0,6,127,1,0,13,0,143,82,4,10,29,236,5,0,2,4,2,17,0,0,693,889,0.7795275590551181
136,1,13,0,1,0,10,125,0,0,23,1,115,119,2,8,51,224,2,0,5,5,2,13,2,1,723,936,0.7724358974358975
137,2,28,0,3,0,13,142,0,1,33,0,106,109,1,6,42,240,4,1,2,5,7,20,1,0,766,971,0.7888774459320288
138,0,11,0,0,0,8,128,1,1,25,0,131,107,4,9,62,292,3,2,1,5,2,27,1,0,820,1035,0.7922705314009661
139,0,22,0,5,2,8,142,2,1,26,1,158,87,5,6,32,209,4,0,3,4,5,11,2,0,735,947,0.7761351636747624
140,1,20,0,1,0,7,97,1,0,22,0,110,102,4,8,55,263,2,1,1,5,1,11,2,0,714,917,0.7786259541984732
141,2,16,0,1,1,7,123,1,0,30,1,126,111,5,4,51,266,0,1,3,4,4,14,1,0,772,948,0.8143459915611815
142,0,25,0,4,2,5,103,2,1,16,0,135,105,8,9,47,256,4,2,2,7,2,17,0,0,752,934,0.8051391862955032
143,2,26,0,0,0,9,145,0,0,33,0,99,120,3,13,27,209,1,1,1,2,0,11,1,1,704,897,0.7848383500557413
144,0,13,0,1,0,9,146,0,0,34,1,134,96,3,6,57,266,0,1,1,9,0,12,2,0,791,981,0.8063200815494393
145,1,25,1,0,0,7,107,0,1,27,0,130,89,6,4,23,213,3,0,0,1,1,18,0,1,658,819,0.8034188034188035
146,2,16,0,2,0,16,162,1,2,30,1,137,106,7,5,26,196,2,1,2,9,2,14,0,1,740,938,0.7889125799573561
147,2,9,0,4,0,14,113,2,0,32,0,162,78,0,10,59,260,1,0,7,1,3,10,1,0,768,974,0.7885010266940452
148,0,19,0,0,0,6,132,2,0,29,1,124,67,5,8,48,209,2,1,2,3,3,10,3,0,674,900,0.7488888888888889
149,1,9,0,1,0,18,130,2,2,26,0,153,64,3,9,43,258,0,2,5,1,3,23,2,1,756,952,0.7941176470588235
150,1,20,0,2,0,15,124,0,0,32,1,169,88,8,17,57,238,1,2,2,6,2,7,0,0,792,1024,0.7734375
151,0,32,0,3,0,10,136,2,1,42,0,141,98,5,13,59,285,2,1,3,8,5,18,1,0,865,1061,0.8152686145146089
152,3,19,1,3,0,21,157,0,0,32,0,116,65,3,6,29,210,3,0,3,2,3,18,1,0,695,912,0.7620614035087719
153,6,18,0,0,0,12,141,1,0,37,0,123,74,2,10,42,270,0,0,2,5,2,15,0,0,760,1000,0.76
154,2,12,0,1,0,9,108,1,0,26,0,133,67,7,9,26,198,4,3,2,1,0,17,0,0,626,834,0.750599520383693
155,3,16,0,1,3,6,130,1,0,29,0,142,92,2,8,29,234,0,0,0,2,2,6,4,0,710,925,0.7675675675675676
156,0,13,1,0,1,8,158,1,0,20,0,116,101,2,11,34,224,0,0,3,6,3,12,1,1,716,907,0.7894156560088202
157,1,13,1,0,1,16,130,1,0,26,2,150,57,4,18,31,210,1,4,0,6,3,23,1,0,699,916,0.7631004366812227
158,1,9,0,0,0,7,85,1,0,19,0,163,69,6,11,43,164,1,0,3,2,1,23,2,0,610,813,0.7503075030750308
159,0,17,0,2,0,15,123,3,0,36,1,130,61,5,11,28,188,2,0,0,8,2,18,1,1,652,863,0.7555040556199305
160,1,11,0,2,0,14,160,0,0,34,0,110,73,4,15,40,210,2,0,0,0,2,11,1,0,690,937,0.736392742796158
161,2,6,0,2,0,7,123,0,1,26,0,140,57,2,7,35,207,3,3,8,3,2,20,1,0,655,826,0.7929782082324455
162,1,6,0,1,5,9,69,0,0,23,1,117,48,2,9,42,188,1,0,0,3,0,17,2,0,544,719,0.7566063977746871
163,2,6,0,1,2,7,110,2,1,15,0,163,58,7,9,38,246,3,0,4,2,2,19,1,0,698,924,0.7554112554112554
164,1,9,0,0,1,12,118,1,0,23,0,141,48,8,14,39,209,0,4,0,6,3,20,1,0,658,900,0.7311111111111112
165,0,14,0,1,0,13,139,1,0,30,1,128,88,8,16,49,213,1,1,1,3,1,35,0,0,743,958,0.7755741127348643
166,0,3,0,2,1,3,123,8,0,9,0,118,87,1,8,45,221,3,1,2,3,1,27,2,0,668,892,0.7488789237668162
167,2,9,0,0,0,8,126,1,1,24,0,121,68,4,7,45,223,3,0,3,3,2,37,0,0,687,854,0.8044496487119438
168,7,10,0,1,1,7,146,0,1,18,0,124,64,4,5,43,173,1,1,1,1,2,23,1,2,636,830,0.7662650602409639
169,0,25,0,2,0,14,155,0,1,29,1,123,82,4,5,40,229,1,2,3,9,2,16,1,0,744,936,0.7948717948717948
170,1,20,0,1,0,6,135,0,0,40,0,134,126,3,9,43,230,3,0,3,3,0,18,0,0,775,995,0.7788944723618091
171,2,13,0,2,0,7,133,0,0,33,1,107,96,3,13,46,217,2,0,1,1,0,14,0,0,691,893,0.7737961926091825
172,0,1,0,0,0,4,22,0,1,8,0,43,12,1,1,11,55,0,0,0,1,1,7,0,0,168,241,0.6970954356846473
173,0,3,0,0,0,6,125,1,0,29,1,175,61,2,9,36,170,5,2,2,4,1,20,2,0,654,881,0.7423382519863791
174,1,4,0,3,0,8,161,0,0,34,0,145,52,1,9,24,205,2,0,0,2,0,18,2,0,671,843,0.7959667852906287
175,0,6,1,2,1,12,115,1,1,18,0,145,29,7,6,36,208,1,2,1,4,6,17,1,0,620,847,0.731995277449823
176,0,3,0,0,0,13,96,1,0,14,1,125,42,3,10,29,191,2,2,3,6,1,24,3,1,570,755,0.7549668874172185
177,2,2,0,2,0,8,93,0,0,28,1,165,41,6,7,25,192,3,2,0,1,5,15,1,0,599,832,0.7199519230769231
178,1,3,0,0,1,12,109,0,1,20,1,160,43,2,3,22,190,3,0,0,4,2,9,1,0,587,815,0.7202453987730061
179,1,8,0,0,0,8,124,3,0,35,1,144,38,4,7,24,203,2,1,3,1,6,17,3,0,633,852,0.7429577464788732
180,3,4,0,4,1,7,100,1,0,22,0,121,51,2,4,22,168,3,5,1,3,2,12,0,1,537,717,0.7489539748953975
181,0,2,1,2,0,3,106,0,0,18,0,142,33,2,4,30,147,0,1,2,1,0,19,0,0,513,672,0.7633928571428571
182,0,1,0,0,0,7,73,0,0,24,1,105,43,2,8,32,103,2,4,1,1,2,12,0,0,421,592,0.7111486486486487
183,2,3,0,2,0,15,82,0,0,20,0,144,39,7,3,15,188,0,3,4,5,4,22,0,0,558,815,0.6846625766871166
184,1,4,0,0,0,11,106,0,1,42,2,137,39,3,5,18,231,2,1,1,2,3,25,0,0,634,827,0.7666263603385731
185,2,6,0,1,0,10,68,0,0,29,0,211,47,3,8,47,241,4,2,0,0,4,23,1,0,707,943,0.7497348886532343
186,1,7,0,2,0,11,121,0,2,34,0,130,31,1,7,14,146,2,1,2,5,2,13,0,0,532,697,0.763271162123386
187,2,2,0,0,1,6,102,0,0,48,0,133,50,4,17,31,219,0,3,4,2,6,12,1,1,644,857,0.751458576429405
188,1,2,0,0,1,5,98,1,2,28,2,168,38,4,7,24,157,2,5,0,6,2,17,2,2,574,768,0.7473958333333334
189,2,2,0,0,0,7,93,0,1,40,1,134,30,2,11,31,155,3,1,3,4,2,11,4,0,537,774,0.6937984496124031
190,3,1,0,1,0,14,100,0,0,39,0,145,21,4,13,20,164,1,1,1,4,7,18,0,0,557,843,0.66073546856465
191,0,2,0,1,0,7,82,2,0,17,0,128,48,6,2,31,183,0,1,1,2,3,29,2,0,547,745,0.7342281879194631
192,0,1,0,0,0,11,67,0,0,8,0,144,40,0,8,26,220,2,4,0,0,1,21,0,0,553,686,0.8061224489795918
193,2,1,0,0,1,7,79,2,0,10,2,159,28,2,7,45,175,2,4,1,5,3,25,1,0,561,842,0.666270783847981
