tile_id,x,y,people,hc1,hc2,pvhe
2340,46,31,357,14.149717,1.126124,-0.07401829294553436
2341,47,31,475,18.757137,1.491543,-0.07682634757595098
2342,48,31,95,3.7426634,0.27992898,-0.0882713823750626
2343,49,31,285,11.316399,0.90707767,-0.07444615783628415
2344,50,31,164,6.592136,0.56898284,-0.07780287577545807
2345,51,31,968,39.580715,4.063485,-0.07190173013157168
2346,52,31,396,16.232426,1.6333051,-0.07964473617615545
2347,53,31,1068,44.03978,4.94962,-0.07631686042555937
2348,54,31,1272,52.240738,6.148253,-0.0728917165255368
2349,55,31,937,37.80749,4.352995,-0.08457057042363625
2350,56,31,1224,47.81171,5.35523,-0.0694306468675103
2351,57,31,2,0.07348467,0.0059970804,-0.05414856517024831
2352,58,31,2,0.0696699,0.0048473757,-0.053137979657413
2353,59,31,1,0.03319963,0.0020842166,-0.053137979657413
2354,60,31,1,0.03182014,0.0019186601,-0.05343115646555301
2355,61,31,33,1.012923,0.06322915,-0.04969301264481764
2356,62,31,253,7.5562243,0.5568562,-0.047690402103811355
2357,63,31,626,18.116873,1.5421021,-0.05361716683173169
2358,64,31,488,13.37378,1.0262593,-0.061876025975057376
2359,65,31,265,6.779333,0.39355153,-0.054863181604522505
2360,66,31,5,0.11972396,0.004917545,-0.0690067511649478
2361,67,31,11,0.24965046,0.008867695,-0.05191640915799628
2362,68,31,77,1.6683075,0.05785966,-0.0375655348325607
2363,69,31,6,0.124021895,0.0037063186,-0.0375655348325607
2364,70,31,2,0.039534226,0.0010523251,-0.0375655348325607
2370,2,32,10,0.1325678,0.0022889131,-0.027314992454755202
2371,3,32,1,0.013679479,0.00024311754,-0.0271457836726165
2372,4,32,1,0.014142249,0.00026602455,-0.0271457836726165
2373,5,32,1,0.014651749,0.0002962972,-0.0271457836726165
2378,10,32,6,0.10940005,0.003962427,-0.03617005375152927
2379,11,32,77,1.4890995,0.0704591,-0.039002979555294574
2380,12,32,335,6.9250975,0.45627874,-0.03523851692834551
2381,13,32,739,16.415947,1.4654492,-0.03379732776120212
2382,14,32,891,21.23173,2.3281746,-0.03915821771682393
2383,15,32,1391,35.138794,4.517288,-0.04682545309105061
2384,16,32,1032,26.749844,3.1930969,-0.035897381527850145
2385,17,32,1403,37.025696,4.265348,-0.03157985035663373
2386,18,32,383,10.189044,0.9122344,-0.036168298985446504
2387,19,32,900,24.92645,2.571145,-0.04681089766428119
