tile_id,i,j,x,y,people,hc1,hc2,pvhe
1097,61,14,61,14,33,0.61121684,0.018718129,-0.009860392882367763
1098,62,14,62,14,13,0.23620181,0.0072097844,-0.010973373160863624
1138,28,15,28,15,33,0.65014696,0.01735389,0.0173204623525184
1140,30,15,30,15,5,0.10306,0.0028898101,0.0173204623525184
1141,31,15,31,15,1,0.021097118,0.00061912445,0.0173204623525184
1144,34,15,34,15,1,0.022702789,0.00083270966,-0.0142189542799991
1145,35,15,35,15,7,0.16287288,0.0066876207,-0.0142189542799991
1146,36,15,36,15,17,0.4034445,0.01770321,-0.014160159381594924
1147,37,15,37,15,6,0.14421369,0.0060550882,-0.0142189542799991
1148,38,15,38,15,7,0.17084599,0.0073554176,-0.012619461191801058
1149,39,15,39,15,74,1.8438054,0.09003623,-0.009420278944229078
1150,40,15,40,15,93,2.3727531,0.13585952,-0.0098477872334429
1151,41,15,41,15,142,3.7030146,0.2559315,-0.0023563391327812264
1152,42,15,42,15,290,7.576072,0.5429884,-0.003740206082413917
1153,43,15,43,15,380,9.76306,0.645068,-0.008466133182085875
1159,49,15,49,15,48,1.1249589,0.045083825,0.015327459674541584
1160,50,15,50,15,102,2.3822865,0.10568208,0.025613557328139056
1161,51,15,51,15,12,0.27675796,0.011458492,0.009199804854066568
1214,30,16,30,16,10,0.21453403,0.0065043415,0.0173204623525184
1215,31,16,31,16,6,0.13204667,0.004238775,0.0173204623525184
1219,35,16,35,16,184,4.5555043,0.2606771,-0.012747329305348318
1220,36,16,36,16,418,10.537521,0.64630526,-0.011938609788253422
1221,37,16,37,16,11,0.27797183,0.013450134,-0.0142189542799991
1222,38,16,38,16,17,0.43417364,0.020344367,-0.005404938540227463
1223,39,16,39,16,56,1.4588106,0.07638276,0.0028041467062108003
1224,40,16,40,16,125,3.3475733,0.21778974,-0.001250462072284712
1225,41,16,41,16,1094,30.22588,2.8016472,0.006196559882842443
1226,42,16,42,16,449,12.322044,0.99894744,-0.004911470808011079
1227,43,16,43,16,386,10.3496895,0.70400554,-0.009211380106724152
1233,49,16,49,16,98,2.4284606,0.119622044,0.01971056609650725
1234,50,16,50,16,427,10.653136,0.67779446,0.037527172728675166
1235,51,16,51,16,270,6.6568227,0.40086374,0.022886144137194447
1236,52,16,52,16,207,5.000112,0.27253938,0.038450704703859334
1241,57,16,57,16,1,0.021519963,0.0006775657,0.006304949581657113
1242,58,16,58,16,4,0.084344566,0.0026029092,0.030091823036364332
1243,59,16,59,16,8,0.16522078,0.0050066723,0.05882936324009907
1248,64,16,64,16,1,0.018577974,0.000575102,0.0371817461012592
1249,65,16,65,16,2,0.03631282,0.0012211476,0.0371817461012592
1288,30,17,30,17,7,0.15661176,0.005166408,0.0173204623525184
1289,31,17,31,17,10,0.23019493,0.008217454,0.0173204623525184
1292,34,17,34,17,81,2.0712824,0.12564497,0.011920005805660733
