SEZIONE,+Europa,Casapound Italia,Civica Popolare Lorenzin,Forza Italia,Fratelli d'Italia con Giorgia ,Il Popolo della Famiglia,Italia Europa Insieme,Italia agli Italiani,Lega,Liberi e Uguali,Movimento 5 Stelle,Noi con l'Italia - UDC,Partito Democratico,Partito Repubblicano Italiano ,Per Una Sinistra Rivoluzionari,Potere al Popolo!,TOTALE,AFFLUENZA
644,9,2,1,52,10,2,0,4,92,13,94,2,97,0,3,8,389,0.5186666666666667
646,32,5,0,69,18,4,8,3,93,30,161,17,184,0,1,6,631,0.5958451369216242
648,43,0,6,91,30,7,3,1,84,13,46,3,104,1,1,2,435,0.5831099195710456
649,56,3,6,106,31,5,8,5,68,28,58,8,204,1,0,7,594,0.6711864406779661
651,60,2,0,48,11,5,4,1,61,28,88,3,123,2,2,5,443,0.6178521617852162
652,63,0,0,100,30,3,7,3,84,34,72,5,215,0,1,3,620,0.6365503080082136
655,80,0,6,111,26,2,7,1,73,30,66,6,173,0,1,15,597,0.6546052631578947
657,25,1,0,53,17,0,3,0,103,29,112,9,134,0,0,5,491,0.6360103626943006
659,67,3,5,104,18,1,6,2,80,17,90,4,173,0,0,4,574,0.6674418604651163
662,90,2,3,102,28,0,7,3,87,24,63,7,200,1,1,3,621,0.6571428571428571
663,72,1,6,81,19,2,6,1,83,15,60,5,163,1,2,10,527,0.6009122006841505
665,70,4,11,83,28,0,9,3,57,22,51,6,197,3,1,7,552,0.6272727272727273
666,22,0,2,22,6,0,1,1,23,9,13,0,44,1,0,1,145,0.47854785478547857
667,23,4,4,72,30,6,3,2,115,20,119,19,191,1,1,3,613,0.6879910213243546
668,68,4,1,106,28,0,12,3,76,26,83,3,189,1,3,8,611,0.6286008230452675
669,75,2,0,121,28,5,4,2,106,28,94,4,223,0,4,11,707,0.6438979963570127
671,83,2,2,85,23,3,1,0,88,30,39,13,199,1,1,7,577,0.6244588744588745
673,70,2,5,68,77,5,5,1,21,26,80,9,199,0,2,15,585,0.6230031948881789
674,81,5,6,102,28,1,8,1,81,41,68,4,170,0,1,6,603,0.6300940438871473
675,74,2,2,65,19,1,7,0,66,41,66,13,153,0,1,13,523,0.65375
676,65,0,7,85,19,2,5,2,75,19,68,4,152,1,1,3,508,0.6083832335329341
678,55,2,4,80,20,6,5,3,67,28,52,9,173,1,1,7,513,0.6593830334190232
679,27,5,5,84,31,2,7,3,98,25,111,3,180,2,0,9,592,0.703923900118906
680,67,1,5,95,23,0,5,1,73,31,89,5,189,2,3,3,592,0.6469945355191257
684,53,3,5,106,23,0,4,4,78,28,78,4,173,2,2,9,572,0.634850166481687
686,44,5,4,91,21,5,4,0,60,9,44,3,126,0,0,4,420,0.6167400881057269
687,69,1,1,77,19,2,4,1,86,24,68,6,157,0,1,6,522,0.6048667439165701
690,42,5,0,91,27,1,6,2,81,15,49,6,141,1,0,5,472,0.5982256020278834
692,57,3,4,107,45,3,8,4,91,33,86,9,170,0,1,4,625,0.6423432682425488
693,53,5,1,84,29,1,3,3,76,37,76,1,141,0,1,7,518,0.5954022988505747
696,30,5,2,45,12,0,4,5,71,22,67,2,106,1,2,9,383,0.5542691751085383
698,40,4,4,80,17,1,5,2,80,38,99,5,160,0,0,10,545,0.6381733021077284
699,18,5,2,56,25,2,3,2,110,25,100,2,144,1,2,11,508,0.6004728132387707
700,75,4,5,87,18,2,6,6,96,24,85,7,134,0,1,7,557,0.573045267489712
701,48,1,0,115,24,2,4,8,101,15,70,10,185,2,0,6,591,0.6618141097424413
702,30,3,2,88,11,2,3,2,103,20,87,1,110,1,0,7,470,0.6010230179028133
703,50,0,5,60,27,1,6,4,73,33,80,6,132,0,3,12,492,0.6007326007326007
704,36,1,3,47,25,0,6,0,103,34,77,5,101,1,3,3,445,0.583224115334207
705,57,2,0,62,15,1,2,2,75,30,96,5,121,1,0,8,477,0.5305895439377085
706,29,3,2,56,21,1,6,3,60,21,69,0,91,0,0,11,373,0.5651515151515152
707,39,1,0,79,25,1,5,1,86,30,98,4,95,1,0,15,480,0.605296343001261
709,63,4,4,68,16,0,6,3,85,37,67,8,160,1,1,7,530,0.5895439377085651
711,44,8,3,64,27,1,2,1,114,39,175,19,195,0,1,10,703,0.6254448398576512
712,65,5,3,115,28,1,6,2,99,32,85,6,158,1,1,5,612,0.6077457795431976
713,77,0,0,61,22,3,2,5,70,35,81,2,163,2,1,7,531,0.6366906474820144
715,58,4,2,32,13,2,2,4,85,19,52,7,103,1,1,8,393,0.5558698727015559
716,20,2,1,74,25,2,3,2,114,29,115,2,151,0,2,4,546,0.662621359223301
717,5,0,3,52,11,1,1,3,85,17,102,1,110,1,1,3,396,0.6064318529862175
