SEZIONE,+Europa,Casapound Italia,Civica Popolare Lorenzin,Forza Italia,Fratelli d'Italia con Giorgia ,Il Popolo della Famiglia,Italia Europa Insieme,Italia agli Italiani,Lega,Liberi e Uguali,Movimento 5 Stelle,Noi con l'Italia - UDC,Partito Democratico,Partito Repubblicano Italiano ,Per Una Sinistra Rivoluzionari,Potere al Popolo!,TOTALE,AFFLUENZA
291,51,1,0,68,19,0,2,4,61,34,80,10,128,0,1,12,471,0.596958174904943
292,39,3,5,55,6,3,2,4,57,23,63,7,135,0,1,11,414,0.575
294,60,1,2,88,23,4,6,4,84,15,82,8,186,1,0,2,566,0.621978021978022
295,19,2,0,80,17,0,2,1,122,24,107,2,109,1,1,9,496,0.6215538847117794
297,9,1,3,73,14,4,2,2,86,12,101,4,90,0,0,3,404,0.599406528189911
299,70,1,2,44,18,0,16,0,46,26,71,4,161,2,0,15,476,0.5833333333333334
300,125,1,0,64,23,1,5,3,68,32,90,0,190,0,3,12,617,0.5978682170542635
301,69,7,1,84,22,2,5,3,73,27,84,11,169,0,2,12,571,0.5559883154819864
303,57,3,2,48,13,0,9,0,48,22,54,2,139,0,2,7,406,0.5012345679012346
305,31,1,3,93,33,6,5,3,92,23,76,7,203,3,1,4,584,0.5934959349593496
306,76,3,5,52,15,0,3,3,56,23,58,7,179,1,0,19,500,0.5605381165919282
309,59,7,1,51,17,1,5,3,44,21,52,3,192,1,0,6,463,0.6005188067444877
311,78,4,1,102,29,1,8,2,118,27,96,4,236,0,2,10,718,0.637089618456078
313,45,1,3,79,19,1,2,1,87,29,103,6,138,0,3,8,525,0.582039911308204
315,51,0,1,66,21,1,3,1,57,17,64,1,170,0,0,5,458,0.5826972010178118
316,48,1,1,65,16,0,2,4,62,21,74,5,102,1,0,9,411,0.524904214559387
317,44,1,0,60,24,0,4,3,38,13,33,0,139,0,0,9,368,0.4842105263157895
319,82,3,0,69,16,0,7,1,81,28,69,4,188,0,2,14,564,0.5887265135699373
320,44,2,0,45,12,0,2,3,46,13,58,3,135,0,0,2,365,0.5538694992412747
321,35,4,0,61,25,5,5,1,100,29,156,25,161,0,2,7,616,0.6215943491422805
322,54,2,0,80,34,3,5,2,79,16,60,1,147,2,1,5,491,0.6689373297002725
323,55,2,0,82,23,0,4,2,67,18,47,5,158,1,3,9,476,0.6246719160104987
324,68,3,2,72,12,2,2,2,56,25,43,4,194,0,0,1,486,0.6411609498680739
325,62,5,3,91,26,4,2,1,77,24,72,3,147,0,0,3,520,0.6467661691542289
326,31,6,2,60,15,1,5,0,73,30,83,1,112,0,0,8,427,0.6401799100449775
327,64,5,1,78,18,0,4,4,71,16,61,6,141,2,1,5,477,0.6292875989445911
329,24,7,0,62,17,7,8,4,137,28,136,7,118,1,1,9,566,0.6118918918918919
331,73,1,1,109,25,2,6,3,76,14,66,4,178,0,0,10,568,0.5941422594142259
333,75,3,3,121,28,0,6,1,54,9,29,13,197,0,0,2,541,0.5945054945054945
334,63,4,7,135,26,4,1,4,55,9,43,14,185,1,2,4,557,0.5760082730093071
335,19,3,4,87,16,2,3,3,89,39,79,3,206,1,1,4,559,0.6759371221281741
336,66,1,3,141,22,1,3,5,64,11,32,6,201,1,0,1,558,0.5993555316863588
337,56,2,1,125,13,5,3,2,68,6,15,7,179,0,0,0,482,0.5928659286592866
338,56,2,5,151,23,3,7,2,74,7,24,6,187,0,1,1,549,0.5993449781659389
340,11,2,3,89,15,1,2,4,97,12,126,2,124,0,0,4,492,0.5412541254125413
342,97,4,1,111,25,4,6,2,53,16,35,2,179,0,0,2,537,0.5792880258899676
343,29,13,6,68,30,2,7,2,142,32,170,4,146,0,3,8,662,0.6874350986500519
345,56,3,4,115,18,2,4,4,68,9,29,9,179,0,0,1,501,0.5329787234042553
346,52,0,5,127,27,1,4,2,62,15,25,1,219,0,0,3,543,0.6107986501687289
348,61,6,3,83,26,1,8,3,65,19,68,1,139,2,0,6,491,0.5965978128797084
350,79,2,7,164,25,3,10,5,74,4,35,8,228,2,0,0,646,0.6065727699530516
351,78,1,2,118,20,0,7,7,76,12,40,8,190,0,1,3,563,0.6508670520231213
353,89,4,3,84,23,0,9,1,65,15,41,2,168,0,0,5,509,0.589803012746234
354,56,1,3,96,17,0,5,4,68,16,50,2,142,2,0,3,465,0.6258411843876177
357,58,0,1,64,12,5,3,1,30,8,23,7,131,0,1,2,346,0.5234493192133132
362,88,0,6,101,19,2,8,5,79,19,53,12,191,2,1,6,592,0.6284501061571125
363,63,3,4,79,23,0,2,3,85,27,90,3,199,0,1,9,591,0.635483870967742
364,39,1,2,68,19,2,4,3,101,21,97,9,203,0,0,3,572,0.6842105263157895
365,71,7,2,104,26,2,4,2,87,28,71,1,164,1,1,7,578,0.6148936170212767
366,16,4,1,67,15,2,3,3,140,15,127,2,177,0,0,3,575,0.7090012330456227
367,56,1,0,96,24,4,2,1,72,26,43,5,196,0,1,2,529,0.6305125148986889
368,78,3,3,82,23,1,3,3,48,27,55,7,144,0,1,7,485,0.6092964824120602
370,27,4,2,46,20,0,5,3,71,41,87,4,147,0,3,10,470,0.6791907514450867
371,27,1,1,58,16,0,2,2,41,9,43,1,97,1,0,2,301,0.5084459459459459
372,77,5,6,105,24,1,6,0,69,32,68,5,252,2,0,1,653,0.6491053677932406
373,64,4,7,90,13,1,4,2,56,5,23,7,148,2,1,2,429,0.5727636849132176
375,74,4,3,89,23,3,8,1,95,28,95,9,175,0,0,7,614,0.6183282980866063
377,12,5,0,45,16,0,4,0,68,19,85,3,90,0,1,3,351,0.695049504950495
378,48,3,4,96,20,1,4,2,60,19,61,3,158,0,0,1,480,0.6209573091849935
379,82,2,3,103,30,1,9,4,66,20,79,8,180,0,1,4,592,0.6365591397849463
381,45,3,1,92,29,0,2,0,75,10,52,6,161,2,0,1,479,0.5729665071770335
383,23,4,3,70,20,1,5,1,130,39,186,1,124,1,0,7,615,0.5988315481986368
384,70,5,3,78,18,1,2,3,65,23,84,4,161,1,2,9,529,0.5977401129943503
385,34,4,3,65,15,2,9,5,66,11,55,3,124,1,1,3,401,0.5687943262411348
386,72,7,5,93,28,1,2,7,108,22,76,2,192,0,3,4,622,0.622
387,73,3,1,88,19,0,3,6,62,24,68,8,155,2,2,7,521,0.6269554753309265
388,78,2,2,85,29,3,2,1,67,21,66,5,205,1,0,6,573,0.5962539021852237
389,74,3,3,114,38,0,8,5,91,22,48,3,213,1,1,4,628,0.6716577540106952
391,47,2,4,139,31,3,2,3,92,9,64,1,188,2,0,2,589,0.581441263573544
393,68,3,1,129,21,1,6,3,98,17,79,6,139,0,0,5,576,0.6127659574468085
394,24,3,1,40,17,1,3,1,66,20,74,2,87,0,1,2,342,0.5816326530612245
396,27,4,0,61,9,3,3,0,95,19,118,5,104,0,1,7,456,0.6015831134564644
397,72,3,1,92,19,0,8,0,62,17,42,3,234,0,0,2,555,0.5974165769644779
399,64,8,6,132,27,2,2,2,81,20,46,3,200,1,1,5,600,0.6342494714587738
400,83,2,6,148,30,2,8,2,94,16,55,7,217,0,0,3,673,0.6074007220216606
401,63,2,0,106,32,2,2,0,92,18,65,4,183,0,0,12,581,0.6287878787878788
402,8,3,2,21,9,2,1,0,28,9,23,1,40,2,0,2,151,0.19065656565656566
403,51,3,2,97,20,0,7,2,61,18,69,8,163,0,0,5,506,0.5966981132075472
406,72,2,3,125,39,0,8,4,90,19,64,9,223,1,3,5,667,0.6370582617000955
407,68,2,2,102,35,3,9,0,80,17,55,4,168,1,0,6,552,0.6548042704626335
409,59,5,1,96,26,2,7,2,65,18,51,6,187,0,0,3,528,0.5945945945945946
411,39,3,1,86,31,0,5,3,73,13,70,9,130,0,2,4,469,0.5997442455242967
414,44,6,1,106,31,3,7,2,95,11,85,5,146,1,3,7,553,0.6248587570621469
415,51,1,3,115,23,1,3,3,71,11,43,2,161,0,0,3,491,0.5995115995115995
416,61,3,1,44,11,2,1,4,49,19,45,0,121,0,2,1,364,0.4808454425363276
417,42,2,2,63,22,4,7,2,72,17,83,8,170,0,0,7,501,0.5859649122807018
418,102,2,3,130,26,0,8,4,69,16,29,16,179,1,0,9,594,0.6012145748987854
422,42,8,1,68,16,1,0,0,58,9,36,2,105,0,0,1,347,0.4943019943019943
423,69,5,1,152,35,4,4,2,108,22,53,7,238,2,1,3,706,0.6242263483642794
424,64,0,4,89,20,1,6,2,36,10,15,2,147,1,0,3,400,0.6015037593984962
425,71,4,3,152,32,2,4,2,111,21,58,7,182,0,0,3,652,0.5889792231255646
426,41,1,1,46,9,0,3,0,31,9,34,0,91,0,0,2,268,0.45733788395904434
427,64,2,0,131,37,0,3,2,81,15,44,3,165,1,0,6,554,0.621773288439955
428,61,2,2,58,14,4,3,0,67,24,52,1,128,0,1,9,426,0.5974754558204769
430,56,4,3,69,17,1,7,2,63,15,86,1,131,0,0,5,460,0.5981794538361509
431,52,4,2,92,22,0,3,4,65,19,64,7,156,2,0,2,494,0.6229508196721312
433,65,1,6,112,28,0,10,3,94,16,56,18,187,0,1,12,609,0.634375
435,60,7,3,96,25,5,8,3,75,17,73,4,193,2,0,4,575,0.5873340143003064
436,46,1,2,70,24,3,9,3,46,14,41,5,132,2,0,3,401,0.5531034482758621
437,73,3,3,106,21,0,3,3,66,21,47,6,142,1,0,1,496,0.5904761904761905
438,45,10,5,80,21,3,9,2,110,25,108,5,153,1,1,11,589,0.6340150699677072
439,47,1,2,90,30,2,4,3,79,31,77,17,169,1,1,4,558,0.6262626262626263
440,38,7,1,56,19,2,4,2,53,11,46,1,114,1,0,1,356,0.5460122699386503
441,52,3,3,108,31,1,5,4,106,40,68,10,200,0,1,5,637,0.6245098039215686
444,65,7,5,73,18,0,5,4,80,28,90,4,163,0,1,3,546,0.7054263565891473
446,49,6,2,93,30,1,2,0,60,29,61,7,177,0,0,1,518,0.6301703163017032
447,24,3,1,33,9,0,1,0,55,11,60,2,86,0,1,5,291,0.41750358680057387
449,50,1,7,114,7,0,3,0,71,17,41,8,166,1,0,2,488,0.6455026455026455
450,57,0,7,100,47,1,5,2,79,25,72,20,200,0,0,8,623,0.6606574761399788
451,17,3,2,65,23,1,7,2,31,9,30,0,81,0,2,3,276,0.31542857142857145
452,48,2,2,59,18,1,6,4,68,16,76,7,164,1,0,5,477,0.5685339690107271
453,17,2,3,61,12,6,1,2,95,19,101,29,148,0,4,7,507,0.7358490566037735
454,60,8,3,81,22,6,6,1,72,36,52,7,132,0,0,5,491,0.6262755102040817
457,78,5,4,116,36,1,2,2,95,15,79,7,236,1,1,2,680,0.6278855032317636
458,59,3,0,102,19,3,5,1,65,25,79,11,153,0,1,0,526,0.6284348864994026
460,11,5,3,78,15,2,2,2,88,17,79,11,106,1,2,6,428,0.5977653631284916
461,78,3,0,92,19,3,2,2,91,27,53,6,194,0,0,5,575,0.5995828988529719
462,99,7,0,100,19,2,4,1,77,33,66,4,210,0,1,8,631,0.6328986960882648
465,13,3,1,64,9,1,4,5,101,21,127,1,114,1,2,3,470,0.6359945872801083
467,62,2,2,65,23,8,7,1,60,27,79,7,164,0,2,5,514,0.628361858190709
468,83,6,2,72,24,0,7,2,49,39,92,3,172,2,4,19,576,0.6350606394707828
469,50,1,3,74,21,0,4,0,79,31,77,3,186,3,3,6,541,0.6737235367372354
474,82,5,3,62,19,4,5,2,69,20,67,3,115,2,2,9,469,0.5811648079306072
477,72,4,6,98,33,2,1,4,110,34,107,2,200,2,0,9,684,0.6647230320699709
479,76,3,5,100,30,1,5,3,104,32,100,6,181,0,1,7,654,0.6193181818181818
480,54,3,3,99,23,5,5,3,72,26,95,6,168,1,1,6,570,0.6651108518086347
482,16,4,2,75,22,7,2,0,164,33,174,23,123,0,2,4,651,0.6753112033195021
483,46,1,4,89,30,2,3,5,99,16,91,10,182,2,0,6,586,0.6161934805467929
484,55,2,2,83,27,0,6,1,82,30,74,6,178,2,1,7,556,0.6420323325635104
485,39,3,4,87,18,1,7,4,98,25,92,2,137,0,1,6,524,0.5934314835787089
487,43,7,3,78,26,4,4,6,107,37,131,4,131,1,3,11,596,0.602020202020202
488,69,3,2,82,18,2,4,3,101,29,132,6,165,0,2,6,624,0.6196623634558094
489,49,6,5,84,32,5,5,2,124,27,88,11,175,1,2,5,621,0.6516264428121721
490,30,4,0,77,17,3,2,1,84,15,79,10,121,0,1,9,453,0.5929319371727748
493,49,3,2,70,24,1,6,3,120,19,99,4,141,0,3,10,554,0.6162402669632926
495,83,1,1,70,16,1,5,1,74,23,73,10,174,0,0,7,539,0.6252900232018561
498,72,2,2,56,19,4,9,2,57,28,84,5,140,1,3,8,492,0.5836298932384342
499,74,1,3,77,15,3,7,1,63,37,46,5,177,0,1,4,514,0.6314496314496314
501,69,5,4,130,22,0,3,4,55,19,33,1,197,0,0,2,544,0.5906623235613464
502,49,3,4,113,16,5,1,1,89,23,63,17,154,0,1,2,541,0.5583075335397317
504,36,4,2,65,21,6,1,3,97,37,151,7,174,0,0,14,618,0.6652314316469322
505,48,0,4,104,18,2,3,1,64,20,40,19,151,0,1,7,482,0.5604651162790698
506,50,1,0,68,15,0,4,4,39,16,37,3,169,0,2,4,412,0.569060773480663
508,43,4,4,106,24,1,4,4,87,26,96,3,164,0,1,1,568,0.6248624862486248
510,13,4,2,74,20,2,2,4,152,25,113,4,144,0,1,6,566,0.6619883040935672
511,32,1,3,90,26,1,2,1,165,28,182,7,188,0,3,6,735,0.6458699472759226
512,65,4,3,124,8,1,6,1,52,15,38,5,177,0,0,2,501,0.5693181818181818
514,51,4,4,130,18,1,7,4,88,19,48,3,170,0,2,6,555,0.6105610561056105
515,72,3,1,118,23,2,6,0,58,17,37,5,168,2,0,3,515,0.5960648148148148
518,9,4,3,76,12,2,1,5,93,6,70,5,98,0,0,3,387,0.5201612903225806
519,42,3,4,72,10,2,2,3,55,20,47,2,116,0,1,9,388,0.5834586466165413
521,49,2,3,93,15,1,4,2,70,15,45,7,111,0,0,4,421,0.5383631713554987
523,64,6,4,92,17,1,2,6,70,20,56,6,190,0,0,1,535,0.6286721504112809
525,56,1,1,103,16,0,6,0,73,8,49,11,125,0,0,4,453,0.5418660287081339
526,61,2,1,63,20,4,5,1,63,25,69,9,134,0,0,5,462,0.5862944162436549
530,2,0,0,15,1,0,1,1,14,2,8,1,13,1,0,1,60,60.0
532,32,4,3,123,19,4,1,4,69,23,143,5,124,0,1,7,562,0.6527293844367015
534,61,3,2,120,21,3,7,2,72,12,55,5,173,1,0,3,540,0.5654450261780105
535,33,3,1,93,27,2,1,0,53,4,27,1,75,1,0,0,321,0.5367892976588629
537,11,0,0,14,0,0,0,2,3,3,9,0,20,0,0,0,62,0.09037900874635568
538,25,2,1,68,31,0,1,4,116,24,114,11,140,1,0,5,543,0.6313953488372093
539,18,3,1,42,10,3,3,0,87,25,84,6,99,0,0,1,382,0.6324503311258278
540,56,3,2,101,26,0,9,2,73,10,52,15,185,0,1,2,537,0.5513347022587269
541,9,3,1,44,12,2,4,3,62,11,64,3,37,0,3,4,262,0.4395973154362416
542,57,4,0,85,15,2,4,2,57,25,65,10,161,1,0,5,493,0.5745920745920746
543,26,3,1,50,10,2,5,2,120,31,141,6,151,1,0,14,563,0.6639150943396226
547,74,4,1,93,23,2,3,2,85,18,100,13,183,0,0,13,614,0.6239837398373984
548,49,5,3,58,24,3,6,2,74,29,69,5,116,1,1,9,454,0.5965834428383706
549,12,8,0,78,11,0,7,1,132,11,105,1,97,0,4,2,469,0.5966921119592875
550,73,2,1,91,12,2,4,1,84,36,95,1,177,0,1,11,591,0.6201469045120671
551,30,3,3,40,16,1,14,0,67,26,106,3,106,0,0,10,425,0.6204379562043796
552,18,0,1,92,20,1,2,4,97,25,103,3,122,1,1,10,500,0.6297229219143576
555,55,5,1,50,15,2,2,5,63,24,87,2,129,1,2,15,458,0.5963541666666666
556,62,7,1,87,27,2,9,4,92,27,100,4,168,2,1,7,600,0.5714285714285714
558,74,2,0,85,17,3,9,2,65,28,90,2,124,2,0,18,521,0.615112160566706
561,51,5,1,61,18,0,1,1,60,13,74,8,104,0,1,7,405,0.5287206266318538
562,83,3,0,63,26,3,7,2,86,34,110,4,129,0,3,19,572,0.5836734693877551
564,38,0,2,64,13,3,4,3,69,21,64,8,161,0,0,2,452,0.6617862371888726
566,24,2,2,80,26,2,3,4,55,11,46,5,120,0,0,6,386,0.5353675450762829
567,47,2,3,108,25,1,4,3,113,24,84,14,180,0,2,9,619,0.6735582154515778
568,30,2,0,49,8,1,0,1,40,11,30,4,71,0,0,2,249,0.3721973094170404
569,41,0,0,82,23,6,0,2,52,17,62,3,105,2,0,2,397,0.5423497267759563
570,36,2,1,69,27,1,8,2,79,20,53,12,135,1,3,3,452,0.7151898734177216
571,35,7,3,85,14,3,3,5,54,19,88,5,88,1,0,3,413,0.5784313725490197
573,44,5,2,69,13,3,3,1,73,18,73,7,122,0,3,3,439,0.620933521923621
574,35,5,0,81,26,2,2,4,86,9,69,11,115,0,0,4,449,0.603494623655914
575,50,1,2,116,28,3,0,1,91,23,63,6,177,2,0,4,567,0.648
580,72,2,2,52,15,0,0,1,60,26,77,8,137,0,0,15,467,0.5971867007672634
582,33,4,2,63,21,1,2,3,71,17,54,4,123,0,1,1,400,0.6060606060606061
583,8,2,2,61,11,0,2,3,98,3,91,3,105,0,2,3,394,0.5811209439528023
585,47,1,1,137,21,0,6,1,62,18,44,4,147,1,0,3,493,0.5883054892601431
586,52,2,5,110,23,0,6,4,67,21,27,14,145,2,0,4,482,0.5863746958637469
589,90,9,2,122,38,2,2,4,71,24,94,5,145,1,0,1,610,0.547576301615799
590,62,1,0,77,16,2,5,3,64,18,70,2,132,1,1,6,460,0.559610705596107
592,45,3,0,59,16,1,1,2,74,14,87,3,107,0,0,6,418,0.5920679886685553
594,78,3,4,79,26,1,3,3,90,23,73,5,157,0,1,6,552,0.6153846153846154
596,41,1,2,71,29,0,3,1,57,16,54,2,138,0,0,4,419,0.6046176046176046
600,13,10,3,80,21,4,6,3,90,26,127,5,134,0,0,5,527,0.6844155844155844
601,60,3,5,82,19,1,1,2,88,26,75,4,152,1,0,8,527,0.5501043841336117
603,87,5,2,101,24,2,3,2,79,33,54,4,207,0,2,7,612,0.5907335907335908
604,67,3,2,66,27,4,5,1,71,39,79,4,187,1,0,8,564,0.6058002148227712
608,39,4,5,117,26,4,5,3,88,22,101,24,169,1,1,11,620,0.6187624750499002
610,48,4,0,73,19,5,4,3,59,25,59,2,119,1,1,9,431,0.5731382978723404
613,57,2,1,104,26,2,3,2,73,25,75,8,150,8,1,10,547,0.6201814058956916
614,67,0,0,87,38,1,3,1,72,26,63,6,164,1,1,9,539,0.6209677419354839
615,31,3,0,97,21,1,3,5,133,25,129,3,126,1,2,6,586,0.643956043956044
616,75,3,7,93,16,2,5,6,66,29,82,9,177,1,0,5,576,0.5859613428280773
617,55,7,8,72,38,13,6,3,131,47,137,8,182,0,6,14,727,0.6864966949952785
621,73,4,6,107,26,0,6,6,82,24,70,16,161,1,1,5,588,0.5969543147208122
622,6,4,0,54,11,1,1,5,97,16,82,1,77,0,1,4,360,0.5042016806722689
624,2,5,3,114,25,3,61,2,85,16,57,9,158,0,0,3,543,0.5908596300326442
625,96,1,0,107,27,2,8,3,70,18,47,6,243,0,0,9,637,0.6506639427987743
627,23,2,1,94,15,3,1,6,119,34,142,4,136,0,0,4,584,0.5983606557377049
631,74,2,4,122,25,0,8,5,91,32,107,8,191,0,1,8,678,0.6538090646094503
633,18,4,1,75,21,5,2,1,104,41,127,2,163,0,1,7,572,0.6643437862950058
634,72,3,1,81,21,2,4,1,80,42,120,1,170,1,3,7,609,0.6330561330561331
635,16,4,2,65,19,7,5,3,113,33,105,8,161,2,0,7,550,0.7180156657963447
636,54,2,3,102,18,2,3,0,71,28,64,6,157,0,3,3,516,0.5903890160183066
638,78,1,0,57,27,0,2,0,65,28,68,1,159,1,2,7,496,0.6176836861768369
641,74,2,2,113,28,2,2,4,47,20,54,5,203,0,1,4,561,0.6530849825378346
642,79,2,1,85,31,2,4,4,70,23,95,6,212,0,1,13,628,0.6382113821138211
