SEZIONE,AN,Altern. Sociale,Comunisti It.,DC - Nuovo PSI,Forza Italia,Italia Valori,L'Ulivo,Lega Nord,M.S.Fiamma Tr.,No Euro,Pensionati,Rif. Comunista,Rosa nel pugno,UDC,UDEUR,Verdi,TOTALE,AFFLUENZA
449,93,0,1,1,280,5,160,26,3,1,3,19,30,49,0,6,677,0.9273972602739726
450,93,0,10,5,199,17,208,35,3,0,2,38,46,46,2,14,718,0.8692493946731235
451,39,0,0,1,61,2,51,5,2,0,0,4,10,16,0,4,195,0.9420289855072463
452,84,2,10,7,160,14,210,27,2,3,6,40,16,27,2,11,621,0.84375
453,49,1,14,4,179,18,237,32,4,3,5,59,22,60,2,16,705,1.011477761836442
454,78,4,16,1,167,14,193,21,0,1,3,30,35,25,0,12,600,0.8875739644970414
457,115,3,5,2,311,9,213,22,3,1,3,36,50,37,0,15,825,0.9439359267734554
458,78,5,9,0,226,6,214,30,3,0,5,52,25,30,1,20,704,0.8778054862842892
460,59,8,21,6,219,16,173,40,4,1,15,52,18,29,1,13,675,0.8353960396039604
461,87,8,16,3,215,8,221,38,0,0,7,53,43,56,3,14,772,0.8987194412107101
462,105,3,10,3,214,11,213,29,5,0,3,30,37,42,0,23,728,0.9088639200998752
465,74,7,19,3,153,21,220,51,0,0,10,58,22,13,2,16,669,0.867704280155642
467,78,1,16,1,154,17,216,25,1,1,10,48,37,40,3,13,661,0.9155124653739612
468,83,3,13,5,169,17,240,27,0,0,11,58,35,30,2,23,716,0.8828606658446363
469,68,2,5,0,148,14,179,26,2,0,3,37,26,38,0,17,565,0.8732612055641422
474,65,6,7,2,156,21,218,44,2,2,9,41,36,31,3,24,667,0.8651102464332037
477,114,2,10,0,225,16,169,32,3,1,3,28,20,42,2,13,680,0.9444444444444444
479,81,5,8,2,210,22,178,35,1,2,5,46,41,38,1,22,697,0.8756281407035176
480,111,2,17,2,208,19,198,21,2,0,7,44,36,43,5,17,732,0.9104477611940298
482,104,3,18,3,199,27,258,37,3,0,7,72,24,40,3,24,822,0.9681978798586572
483,100,10,2,2,232,13,174,45,3,1,13,53,29,43,2,14,736,0.9075215782983971
484,79,4,6,2,230,22,234,40,4,1,11,41,34,46,2,14,770,0.9447852760736196
485,96,4,10,5,270,15,180,33,1,1,9,46,23,41,2,21,757,0.8884976525821596
487,103,5,18,2,201,24,249,33,3,1,6,57,26,51,5,26,810,0.8644610458911419
488,86,4,16,1,204,32,256,59,3,0,10,54,34,36,3,21,819,0.9110122358175751
489,124,3,15,2,210,14,239,57,4,0,6,43,29,44,5,14,809,0.9069506726457399
490,96,5,12,3,175,12,177,36,2,1,2,44,23,33,0,13,634,0.8661202185792349
493,121,8,8,3,213,22,188,41,7,1,8,36,31,46,2,19,754,0.8716763005780347
495,88,11,12,3,154,10,178,31,2,2,10,51,40,40,3,27,662,0.881491344873502
498,62,4,22,5,142,9,236,36,3,1,14,66,42,24,5,28,699,0.8814627994955864
499,79,4,16,1,176,15,210,24,3,1,7,60,39,37,1,29,702,0.8954081632653061
501,89,1,7,1,246,9,190,19,2,1,3,27,50,49,1,12,707,0.9464524765729585
502,107,2,3,1,297,11,179,27,2,2,6,30,32,47,3,8,757,0.8969194312796208
504,108,10,18,3,191,25,275,44,2,0,15,82,28,44,4,33,882,0.9887892376681614
505,71,5,17,3,208,3,185,19,2,4,2,45,46,34,1,13,658,0.863517060367454
506,67,1,7,2,153,11,205,20,1,0,6,33,34,39,3,13,595,0.8610709117221418
508,106,3,11,1,240,23,196,37,1,2,4,32,31,56,2,12,757,0.9288343558282208
510,95,8,16,2,214,15,246,41,4,4,21,74,19,39,3,13,814,0.919774011299435
511,84,10,14,3,176,27,241,48,2,1,9,58,21,31,3,22,750,0.9191176470588235
512,78,5,11,1,286,14,171,14,3,0,3,32,37,46,4,9,714,0.9015151515151515
514,99,4,6,3,248,12,199,21,1,1,3,35,50,43,1,15,741,0.9216417910447762
515,70,4,7,1,240,9,185,37,1,0,2,15,45,57,1,9,683,0.9446749654218534
518,73,11,18,2,221,17,184,33,5,4,18,33,15,31,2,21,688,0.863237139272271
519,76,1,8,0,157,16,147,19,2,1,5,39,35,36,3,5,550,0.8957654723127035
521,71,3,12,0,177,10,136,28,1,1,6,40,38,46,1,12,582,0.8738738738738738
523,76,5,13,6,215,8,233,19,1,0,4,36,47,35,3,23,724,0.9464052287581699
525,83,6,12,3,227,12,192,26,3,1,1,51,48,42,1,13,721,0.9080604534005038
526,82,3,13,2,164,10,223,25,2,0,9,42,45,31,1,20,672,0.8995983935742972
530,5,0,4,0,28,5,17,6,0,0,4,6,0,4,1,1,81,inf
532,84,7,12,0,170,15,213,41,6,1,9,51,21,26,1,27,684,0.9
534,105,1,4,2,278,18,183,30,1,0,1,17,45,45,2,10,742,0.9115479115479116
535,67,2,2,4,193,4,108,17,2,1,1,12,12,28,0,6,459,0.8878143133462283
537,12,1,0,0,37,0,23,2,1,0,0,8,3,7,1,4,99,0.8461538461538461
538,120,13,23,0,202,19,225,37,4,3,10,71,23,48,3,26,827,0.9419134396355353
539,66,3,6,0,129,13,147,29,0,0,7,33,13,40,2,13,501,0.9399624765478424
540,100,8,15,1,249,14,222,26,1,2,5,38,53,38,3,20,795,0.9265734265734266
541,56,7,22,1,197,10,150,33,1,2,6,43,10,14,0,21,573,0.7225725094577553
542,94,3,12,3,156,23,213,16,3,1,8,37,43,28,0,25,665,0.8385876418663304
543,82,6,39,7,172,17,269,49,4,1,9,97,27,28,4,24,835,0.9800469483568075
547,107,7,10,4,215,18,235,35,3,1,12,77,36,46,2,21,829,0.9099890230515917
548,82,4,4,0,208,12,156,21,2,0,5,40,19,34,1,11,599,0.8389355742296919
549,74,6,16,6,173,16,179,28,2,2,15,30,7,25,0,10,589,0.8402282453637661
550,71,5,27,6,209,19,255,41,4,1,8,65,37,36,4,21,809,0.88998899889989
551,62,5,11,2,115,14,242,30,1,0,11,53,13,27,4,18,608,0.9020771513353115
552,78,4,18,3,199,16,169,32,3,0,10,37,28,29,1,11,638,0.8232258064516129
555,93,9,19,0,182,13,227,34,4,0,10,75,43,27,2,24,762,0.8718535469107551
556,84,12,14,3,204,14,207,27,0,2,10,87,44,28,3,23,762,0.8410596026490066
558,59,4,23,4,166,18,195,38,2,0,7,67,35,34,0,20,672,0.8538754764930114
561,43,5,15,3,131,12,127,25,1,0,8,52,30,12,2,19,485,0.8262350936967632
562,67,4,15,3,165,14,188,19,2,2,9,72,23,30,0,14,627,0.8624484181568088
564,73,2,11,1,175,6,219,23,2,0,2,28,16,46,3,14,621,0.9026162790697675
566,83,3,4,4,193,11,109,23,1,0,1,20,22,38,1,9,522,0.8862478777589134
567,89,5,20,7,274,23,232,41,2,2,5,48,26,39,3,24,840,0.9375
568,45,2,8,1,123,9,58,8,2,1,5,25,13,27,0,10,337,0.8915343915343915
569,69,6,13,0,155,12,122,12,2,4,7,37,33,28,2,9,511,0.8460264900662252
570,92,1,12,2,222,16,195,35,5,0,5,27,27,39,1,12,691,0.945280437756498
571,80,3,8,4,167,17,145,22,5,0,5,27,28,53,2,9,575,0.8394160583941606
573,106,3,11,1,200,15,154,35,3,0,8,38,26,52,2,17,671,0.9371508379888268
574,100,3,7,2,201,7,170,37,2,1,3,39,24,32,4,8,640,0.8791208791208791
575,89,3,9,3,242,8,169,44,3,1,5,27,27,39,1,14,684,0.9280868385345997
580,67,5,11,2,163,5,193,38,3,0,6,57,31,25,1,17,624,0.8432432432432433
582,67,7,10,3,172,8,135,16,5,0,7,31,21,20,0,12,514,0.889273356401384
583,55,10,13,5,158,18,223,40,5,2,16,30,24,24,2,18,643,0.8539176626826029
585,97,3,2,4,268,9,132,29,2,0,0,10,35,39,0,4,634,0.9392592592592592
586,76,2,4,1,238,8,151,21,2,0,4,12,36,38,0,9,602,0.9162861491628614
589,117,8,5,3,257,17,178,34,4,1,4,37,40,40,1,26,772,0.8832951945080092
590,75,5,17,3,181,16,172,36,3,1,4,51,43,35,2,18,662,0.8779840848806366
592,57,4,8,1,163,9,134,34,2,2,4,35,25,23,0,12,513,0.8493377483443708
594,63,3,9,4,187,13,194,24,3,4,10,42,43,31,2,17,649,0.855072463768116
596,79,6,5,1,159,14,174,18,3,0,4,29,31,38,0,15,576,0.8767123287671232
600,76,2,19,1,164,28,276,38,11,5,17,53,20,48,3,22,783,0.9388489208633094
601,86,8,13,1,217,17,220,30,4,0,10,56,35,33,2,26,758,0.8917647058823529
603,98,4,8,3,200,13,231,30,5,0,2,34,49,41,4,21,743,0.904993909866017
604,98,4,13,4,204,20,204,38,5,0,4,42,31,30,1,18,716,0.8564593301435407
608,91,5,5,3,256,18,218,36,3,1,6,44,45,46,0,10,787,0.9391408114558473
610,109,3,14,3,223,17,206,36,3,1,9,41,40,33,1,16,755,0.8768873403019745
613,99,9,10,0,276,12,188,24,3,2,2,35,43,35,1,17,756,0.9197080291970803
614,80,7,13,3,186,12,202,29,4,1,12,51,39,45,3,19,706,0.8993630573248408
615,112,8,7,0,237,20,208,52,4,0,5,49,14,54,2,16,788,0.8985176738882554
616,92,4,15,0,210,21,252,36,5,0,11,46,37,37,4,19,789,0.8699007717750827
617,98,5,16,4,201,9,188,44,3,1,7,70,22,58,0,28,754,0.8933649289099526
621,117,5,7,0,265,10,209,25,2,1,2,39,31,36,1,17,767,0.8991793669402111
622,74,6,17,7,193,13,178,47,4,3,13,51,23,22,3,10,664,0.8228004956629492
624,89,6,7,0,274,14,185,35,3,3,3,28,30,39,0,12,728,0.8888888888888888
625,117,4,16,2,217,13,211,26,3,0,6,29,40,57,2,13,756,0.9333333333333333
627,67,7,22,8,175,22,224,40,5,3,23,64,20,19,0,30,729,0.8647686832740213
631,121,7,8,2,252,11,201,39,2,3,2,43,45,41,2,14,793,0.8830734966592427
633,99,1,13,1,191,19,236,46,5,4,8,50,26,37,9,23,768,0.9264173703256936
634,103,6,16,5,187,7,195,29,4,1,9,70,43,40,3,21,739,0.9023199023199023
635,76,4,6,2,180,11,232,43,1,2,8,60,15,48,2,25,715,0.8959899749373433
636,103,4,8,3,192,18,202,33,1,0,3,29,48,46,3,20,713,0.9106002554278416
638,77,4,4,1,137,9,249,20,4,0,6,55,43,26,0,12,647,0.8743243243243243
641,90,7,8,5,228,14,209,34,6,0,7,45,35,36,0,14,738,0.9365482233502538
642,97,6,13,1,196,12,223,37,0,1,6,47,31,30,1,17,718,0.8941469489414695
644,50,8,14,4,159,21,238,39,3,7,21,71,17,13,1,22,688,0.8797953964194374
646,47,6,8,2,165,13,206,19,3,2,11,41,13,19,0,17,572,0.7988826815642458
648,97,0,3,2,247,13,121,44,2,0,3,27,24,36,1,13,633,0.9267935578330894
649,82,3,8,1,235,9,186,25,1,0,1,21,34,47,2,17,672,0.900804289544236
651,55,5,8,3,174,13,206,21,1,2,9,42,23,25,3,16,606,0.8757225433526011
652,84,6,8,0,235,6,235,31,1,1,4,35,32,46,2,16,742,0.9298245614035088
655,92,1,17,3,251,21,238,22,7,1,1,49,48,50,3,18,822,0.9426605504587156
657,79,1,12,3,153,21,223,53,2,0,9,39,16,31,4,15,661,0.886058981233244
659,84,6,9,5,221,11,204,28,1,1,3,28,40,38,7,10,696,0.9098039215686274
662,106,2,5,4,250,6,252,23,4,0,2,35,50,52,1,21,813,0.9377162629757786
663,81,2,9,3,214,12,196,26,4,1,10,46,47,45,3,14,713,0.8846153846153846
665,104,3,12,2,234,17,210,31,5,1,5,33,26,40,5,20,748,0.9044740024183797
666,31,1,9,0,65,3,63,5,0,0,3,10,10,13,0,2,215,0.8847736625514403
667,60,2,11,3,207,14,128,37,2,2,9,45,16,32,2,13,583,0.8624260355029586
668,90,8,7,0,226,28,251,23,2,1,7,36,42,58,3,16,798,0.9311551925320887
669,108,7,12,0,238,14,260,32,4,3,3,39,42,50,3,13,828,0.9261744966442953
671,82,4,13,0,206,13,260,28,6,0,4,37,40,47,0,18,758,0.9404466501240695
673,98,2,6,0,208,23,264,35,1,0,4,37,37,42,1,18,776,0.9227110582639715
674,104,2,5,2,235,13,204,31,6,0,6,34,46,43,5,16,752,0.8952380952380953
675,96,4,13,3,227,10,244,25,3,1,2,48,41,27,5,23,772,0.9039812646370023
676,81,4,6,0,243,8,189,37,2,0,4,29,46,40,2,16,707,0.9290407358738502
678,70,1,6,2,191,11,231,32,2,0,3,32,39,63,1,11,695,0.9242021276595744
679,77,5,8,0,190,29,249,33,1,1,5,54,29,51,2,19,753,0.9483627204030227
680,110,10,14,3,261,16,224,29,2,3,1,25,48,38,2,22,808,0.9129943502824859
684,108,7,13,4,249,15,203,29,4,0,5,39,31,33,2,21,763,0.9159663865546218
686,74,3,0,0,203,16,152,21,1,0,2,30,21,27,4,7,561,0.821376281112738
687,94,3,8,1,195,12,185,38,0,1,3,29,24,38,1,11,643,0.8930555555555556
690,83,15,4,3,238,9,123,32,3,0,4,27,46,33,1,14,635,0.8956276445698167
692,109,4,9,2,258,25,234,36,3,0,12,44,28,47,6,15,832,0.9265033407572383
693,94,5,11,2,180,21,189,31,2,0,5,51,18,27,4,15,655,0.8768406961178046
696,55,2,12,1,155,14,152,30,0,0,5,56,30,29,5,16,562,0.8646153846153846
698,78,5,23,0,207,14,182,33,3,1,4,45,35,31,4,18,683,0.8558897243107769
699,77,2,13,1,139,19,250,41,6,0,16,65,14,33,2,19,697,0.8970398970398971
700,94,3,8,3,215,13,192,30,1,0,9,47,40,38,0,17,710,0.8975979772439949
701,106,3,10,3,275,17,218,33,3,0,6,42,27,59,3,15,820,0.9414466130884042
702,70,6,14,4,216,21,157,54,2,0,11,35,21,22,1,11,645,0.8775510204081632
703,70,5,12,2,175,22,175,37,2,4,5,49,29,23,2,18,630,0.8848314606741573
704,79,7,14,5,175,12,157,43,4,0,5,63,22,48,7,8,649,0.8664886515353805
705,43,17,17,1,174,17,180,35,4,0,16,62,22,23,0,19,630,0.8422459893048129
706,63,6,13,2,125,5,135,34,2,0,12,54,15,19,3,18,506,0.7869362363919129
707,79,1,12,0,177,13,169,24,2,0,10,38,20,41,0,24,610,0.8507670850767085
709,89,6,12,4,225,14,235,23,1,0,6,40,26,30,3,15,729,0.9067164179104478
711,94,4,18,3,194,21,239,38,2,5,10,58,24,44,3,27,784,0.8596491228070176
712,101,8,8,2,266,10,189,51,2,2,8,50,36,29,0,22,784,0.9148191365227538
713,87,1,13,2,199,18,191,27,1,0,6,37,39,35,2,22,680,0.9239130434782609
715,53,6,11,3,160,16,157,24,2,0,4,44,42,23,3,19,567,0.8845553822152886
716,88,6,17,3,201,15,253,33,3,3,9,76,20,34,0,26,787,0.9108796296296297
717,62,1,17,2,147,17,221,37,3,2,16,43,6,13,3,16,606,0.8499298737727911
718,62,6,16,1,170,17,142,33,5,2,4,62,25,22,1,29,597,0.8456090651558074
719,68,4,13,1,164,12,172,24,3,1,5,44,19,29,1,13,573,0.8426470588235294
721,65,1,12,1,193,5,155,32,4,2,6,37,33,34,7,24,611,0.8545454545454545
724,60,0,14,3,134,10,161,21,4,0,3,25,17,29,1,11,493,0.8355932203389831
725,89,4,8,2,165,11,199,36,5,1,7,49,24,44,3,18,665,0.8926174496644296
726,56,9,9,2,157,25,227,32,2,1,9,54,17,28,4,13,645,0.8799454297407913
727,111,5,10,1,201,6,193,39,4,1,6,42,27,51,2,14,713,0.9036755386565273
728,99,5,6,5,215,13,208,44,1,0,2,27,21,48,6,15,715,0.9432717678100264
729,57,5,12,1,129,7,134,43,2,2,14,61,14,17,0,15,513,0.8078740157480315
731,100,1,12,0,176,17,253,33,3,0,6,38,37,42,1,23,742,0.9404309252217997
734,87,6,15,3,217,10,184,22,4,1,6,49,38,58,2,16,718,0.8476977567886659
736,86,5,7,1,230,18,235,40,2,0,6,52,39,46,3,18,788,0.9099307159353349
738,90,5,11,3,177,9,167,23,3,2,15,31,8,28,3,14,589,0.8764880952380952
739,51,5,9,1,144,11,182,21,5,0,5,25,28,24,0,17,528,0.8669950738916257
740,88,2,12,5,192,13,192,29,3,0,3,29,26,51,4,15,664,0.9431818181818182
741,105,3,14,1,181,13,176,35,7,3,15,37,22,27,0,19,658,0.8796791443850267
743,83,8,14,4,178,13,182,62,2,1,9,54,25,16,0,20,671,0.8304455445544554
746,70,0,8,0,215,11,161,36,2,2,8,53,25,24,2,19,636,0.8932584269662921
747,107,4,9,5,258,21,202,26,5,0,6,58,37,42,2,20,802,0.9336437718277066
748,87,5,4,0,167,18,144,42,2,2,9,52,29,23,0,18,602,0.8712011577424024
749,62,8,9,3,172,10,159,32,3,1,7,46,25,16,1,18,572,0.7878787878787878
751,74,3,11,2,198,13,140,38,2,0,12,55,22,37,4,18,629,0.8947368421052632
752,92,5,10,6,204,15,181,35,1,2,4,50,28,30,8,14,685,0.900131406044678
753,87,6,19,5,172,18,169,50,3,0,11,42,25,29,0,24,660,0.8859060402684564
755,55,7,19,1,163,16,229,29,3,0,6,49,19,25,0,12,633,0.8451268357810414
756,64,3,15,3,169,16,144,33,2,1,12,69,13,24,0,17,585,0.8565153733528551
760,76,6,14,1,204,8,208,34,2,0,20,54,44,25,3,14,713,0.8538922155688623
762,55,7,16,2,128,17,152,36,1,3,13,65,19,28,0,18,560,0.8223201174743024
765,58,6,12,2,134,27,133,25,3,1,16,58,15,17,0,13,520,0.8240887480190174
766,85,7,8,2,149,17,264,45,4,1,18,61,24,36,2,12,735,0.8781362007168458
767,68,5,9,2,160,19,212,40,8,0,10,47,21,36,0,16,653,0.8872282608695652
770,95,7,12,4,177,15,194,27,4,2,11,60,22,22,1,21,674,0.8618925831202046
771,77,6,23,4,170,19,138,37,5,2,9,38,16,21,0,28,593,0.8746312684365781
772,82,2,10,3,152,14,216,30,4,1,2,57,20,38,2,19,652,0.8858695652173914
775,101,8,13,2,185,12,160,29,1,0,11,37,16,35,5,14,629,0.8477088948787062
776,82,2,13,3,228,17,208,65,4,0,9,62,23,36,2,20,774,0.9192399049881235
778,76,11,10,4,213,12,206,21,2,1,5,35,23,43,3,9,674,0.8393524283935243
780,69,6,16,2,156,14,235,31,3,0,4,45,26,26,2,18,653,0.8614775725593667
781,102,11,23,6,209,13,193,33,7,2,11,64,15,24,4,24,741,0.8790035587188612
783,64,5,11,2,160,10,221,28,4,1,11,50,21,30,1,16,635,0.9463487332339792
784,70,2,10,2,184,21,224,36,3,1,8,44,22,34,2,13,676,0.895364238410596
785,91,4,15,2,217,9,210,69,2,0,17,53,24,32,0,19,764,0.8791714614499425
786,71,6,12,5,150,17,233,39,3,1,14,33,13,35,4,17,653,0.9355300859598854
788,146,6,23,3,161,37,194,20,1,2,6,63,17,26,3,14,722,0.8957816377171216
789,79,6,16,4,179,16,175,45,3,2,9,51,16,27,1,25,654,0.8673740053050398
790,110,7,10,7,227,13,211,44,3,0,2,40,25,48,11,22,780,0.9187279151943463
791,94,6,12,4,238,10,191,57,5,0,16,66,22,30,2,23,776,0.899188876013905
792,95,8,14,4,176,13,253,44,3,0,4,80,20,47,6,21,788,0.9016018306636155
793,72,1,14,3,218,22,227,46,6,2,14,49,11,36,4,13,738,0.8934624697336562
794,97,8,12,1,193,18,187,39,6,0,18,35,12,29,9,19,683,0.8634639696586599
796,90,5,10,2,188,15,223,41,2,3,18,60,27,25,1,16,726,0.8541176470588235
797,54,1,17,6,142,17,202,37,2,0,10,46,27,28,1,18,608,0.8205128205128205
799,95,5,4,3,264,12,195,54,1,0,9,43,20,46,4,21,776,0.9118683901292597
800,64,5,14,1,192,6,170,39,2,0,11,30,18,31,1,15,599,0.8900445765230312
801,63,11,19,2,180,24,206,38,4,2,13,53,15,26,0,18,674,0.814993954050786
802,67,4,18,3,181,5,152,35,5,2,11,43,8,26,2,17,579,0.8247863247863247
803,90,9,15,1,191,9,192,36,4,1,13,45,20,21,1,25,673,0.8423028785982478
805,76,10,12,3,192,34,199,39,7,1,10,60,24,30,3,20,720,0.8633093525179856
806,80,4,7,3,209,17,212,50,3,2,14,36,13,22,0,14,686,0.8386308068459658
807,66,8,18,2,180,24,212,31,3,2,16,46,14,23,1,25,671,0.8558673469387755
808,75,8,35,1,160,25,198,45,6,1,13,46,24,28,5,12,682,0.8777348777348777
812,76,4,23,1,209,21,226,50,4,3,11,66,19,37,0,20,770,0.8779931584948689
813,88,2,22,2,201,17,270,17,1,1,4,43,29,37,4,25,763,0.8670454545454546
816,103,6,7,2,216,19,236,42,1,1,5,43,30,53,3,31,798,0.9246813441483198
817,100,3,16,4,209,16,265,38,4,1,7,43,34,48,3,18,809,0.9049217002237137
818,98,4,11,2,178,23,199,27,3,2,6,62,29,52,3,19,718,0.8842364532019704
820,70,3,8,6,236,19,198,28,3,0,7,43,26,36,0,16,699,0.9161205766710354
821,85,1,21,2,236,20,223,27,3,1,4,59,21,49,3,17,772,0.9256594724220624
822,68,9,10,2,210,22,263,35,3,0,10,48,22,51,3,30,786,0.8723640399556049
823,64,5,15,9,186,18,259,45,4,4,16,61,26,35,1,29,777,0.8710762331838565
824,146,2,19,2,238,28,302,50,4,0,4,61,49,59,0,37,1001,0.9320297951582868
825,67,4,6,3,148,11,175,29,2,1,1,28,31,60,2,14,582,0.9252782193958664
827,60,6,15,4,156,25,157,26,3,0,9,42,12,20,0,19,554,0.7694444444444445
828,79,3,17,2,171,13,183,35,1,2,11,55,23,25,2,25,647,0.9087078651685393
832,98,1,9,0,238,11,205,27,6,3,6,41,27,28,1,11,712,0.8978562421185372
834,85,5,22,3,212,21,249,34,6,0,10,53,15,33,1,24,773,0.904093567251462
835,83,5,24,5,171,10,210,43,7,0,6,61,25,24,2,22,698,0.8692403486924035
836,64,5,12,3,161,31,177,32,2,0,14,59,12,26,3,19,620,0.7740324594257179
837,71,8,24,9,162,11,240,19,5,2,11,56,19,21,1,16,675,0.9060402684563759
838,88,3,22,2,172,13,184,32,1,2,9,46,13,23,1,26,637,0.8326797385620915
839,86,3,6,1,184,12,157,34,1,2,8,34,26,32,2,12,600,0.8784773060029283
840,69,5,13,1,170,13,193,23,2,0,4,51,19,33,1,16,613,0.8055190538764783
841,71,5,8,1,185,13,219,35,3,0,9,39,24,34,1,20,667,0.892904953145917
844,61,4,24,6,154,12,146,15,5,1,15,44,23,18,3,17,548,0.7365591397849462
847,69,2,17,3,196,22,197,28,4,0,14,42,21,28,0,19,662,0.8530927835051546
848,40,7,8,1,169,19,146,34,0,3,7,46,20,18,4,15,537,0.8351477449455676
852,63,6,12,1,225,13,191,34,1,1,14,52,8,15,4,22,662,0.7788235294117647
853,79,5,16,4,224,20,259,33,3,0,9,51,35,39,1,19,797,0.9267441860465117
855,63,4,14,3,200,13,203,37,3,1,8,49,25,27,1,16,667,0.8124238733252132
856,75,3,13,2,192,18,176,28,7,0,6,45,22,44,3,14,648,0.8937931034482759
857,91,1,6,3,219,13,239,37,3,0,1,26,27,44,2,9,721,0.9412532637075718
859,94,7,7,1,215,15,252,30,1,1,7,44,27,61,4,22,788,0.8804469273743016
861,116,8,10,6,308,15,216,39,6,0,4,35,29,51,2,9,854,0.8951781970649895
862,71,3,12,2,196,12,166,27,1,0,3,24,28,40,0,14,599,0.8967065868263473
863,62,4,17,1,146,20,224,27,3,0,8,43,30,49,3,18,655,0.907202216066482
865,80,8,5,6,134,15,167,35,2,0,5,26,36,34,2,17,572,0.8627450980392157
866,47,4,6,4,155,32,175,29,2,3,13,35,21,26,1,13,566,0.7861111111111111
868,86,4,20,4,201,11,183,45,3,1,6,59,29,41,1,28,722,0.8804878048780488
869,76,4,9,7,200,17,184,25,4,1,5,21,26,36,1,21,637,0.9340175953079178
871,79,4,8,4,167,8,158,30,2,0,1,41,27,26,3,12,570,0.892018779342723
874,107,3,9,4,235,14,196,35,2,0,1,20,29,37,0,12,704,0.9226736566186108
875,104,2,15,2,227,12,195,33,4,2,6,37,30,31,5,28,733,0.8593200468933178
877,73,3,8,8,171,11,145,22,1,3,7,18,10,27,1,17,525,0.8823529411764706
878,78,3,11,3,164,9,209,40,2,1,9,55,23,37,1,12,657,0.9
879,89,7,16,3,187,14,162,30,4,1,11,39,18,21,1,9,612,0.8973607038123167
881,101,0,15,0,205,17,234,55,2,1,8,43,32,57,4,16,790,0.9132947976878613
883,84,6,20,4,262,9,199,36,2,2,8,37,21,41,0,19,750,0.8465011286681715
884,62,9,14,4,205,13,171,38,7,3,11,41,33,29,2,13,655,0.8238993710691824
886,71,6,12,3,182,6,237,23,2,0,3,42,34,31,2,20,674,0.8520859671302149
889,107,3,4,2,237,15,165,26,3,1,8,40,23,37,3,14,688,0.8865979381443299
890,52,5,10,2,196,16,201,37,2,1,6,46,12,24,3,14,627,0.8132295719844358
891,57,10,10,2,202,19,174,47,7,4,8,60,17,28,0,11,656,0.7654609101516919
895,91,1,12,1,180,16,175,34,0,1,10,61,23,32,1,9,647,0.8200253485424588
898,52,6,11,3,153,14,171,24,3,1,8,47,16,17,1,10,537,0.6911196911196911
899,92,6,10,2,199,16,139,34,4,1,12,46,22,32,1,17,633,0.7644927536231884
900,102,1,6,3,289,9,197,54,1,0,10,30,18,45,0,18,783,0.925531914893617
901,44,5,14,5,139,12,144,24,2,4,19,39,15,18,2,11,497,0.6734417344173442
902,56,5,13,4,167,16,130,30,2,2,14,38,15,19,1,21,533,0.8137404580152672
903,53,11,16,2,166,9,186,32,5,2,14,60,17,22,2,16,613,0.7672090112640801
904,57,4,10,1,219,9,186,43,2,1,17,59,13,35,6,12,674,0.7556053811659192
905,89,5,7,0,241,16,198,29,1,0,5,27,24,38,2,19,701,0.9235836627140975
906,109,6,17,7,227,19,288,47,0,0,14,62,20,51,3,22,892,0.8955823293172691
907,82,9,8,2,254,15,269,46,8,1,3,35,36,67,2,27,864,0.930032292787944
908,77,4,13,3,208,16,252,29,3,1,3,41,50,32,2,20,754,0.896551724137931
909,81,2,9,4,159,13,191,38,7,1,9,57,23,21,6,14,635,0.8557951482479784
910,44,5,20,6,222,13,175,37,10,1,13,50,19,19,0,18,652,0.7817745803357314
912,58,7,15,1,179,13,177,33,5,0,13,59,17,17,0,15,609,0.810918774966711
913,96,5,14,2,179,19,194,45,6,1,7,58,9,27,1,9,672,0.8560509554140128
914,46,7,26,5,144,10,179,34,5,1,20,55,12,19,3,15,581,0.8632986627043091
915,37,11,23,2,160,24,176,39,3,4,15,22,10,24,0,20,570,0.7808219178082192
916,34,2,13,5,90,6,83,23,4,1,4,23,15,18,2,16,339,0.7920560747663551
917,51,3,23,3,130,13,319,29,2,1,21,49,19,25,0,21,709,0.851140456182473
920,68,12,20,3,151,22,246,47,8,3,12,71,27,37,6,20,753,0.8615560640732265
921,114,6,13,2,234,18,189,55,5,2,7,35,28,30,0,22,760,0.8745684695051784
922,109,5,7,4,214,11,139,51,2,0,18,41,13,50,4,6,674,0.9170068027210885
924,88,3,8,1,229,17,184,46,2,0,7,34,24,65,3,11,722,0.8991282689912827
925,75,10,9,2,145,8,174,35,7,2,2,47,22,32,0,24,594,0.8696925329428989
927,64,7,12,2,194,15,201,38,4,1,5,41,27,30,1,17,659,0.860313315926893
928,90,5,15,2,200,22,244,39,3,2,4,68,35,30,4,8,771,0.8965116279069767
929,2,4,1,0,19,0,14,2,1,1,1,8,2,1,0,1,57,0.5327102803738317
930,89,0,13,2,182,9,231,39,3,0,3,38,34,41,2,19,705,0.9132124352331606
931,74,3,7,3,158,12,174,45,5,1,7,50,11,26,2,12,590,0.8727810650887574
933,82,7,10,2,171,16,183,38,4,1,9,45,26,48,1,15,658,0.8534370946822308
934,72,5,11,2,191,18,187,38,7,2,8,47,24,38,1,21,672,0.9118046132971506
936,88,8,17,2,186,13,174,32,1,4,10,37,22,17,3,13,627,0.8589041095890411
938,59,3,9,4,162,23,169,25,4,3,11,57,21,39,2,21,612,0.8281461434370772
940,57,15,14,4,164,9,140,29,4,2,13,53,20,24,3,14,565,0.7902097902097902
