SEZIONE,AN,Altern. Sociale,Comunisti It.,DC - Nuovo PSI,Forza Italia,Italia Valori,L'Ulivo,Lega Nord,M.S.Fiamma Tr.,No Euro,Pensionati,Rif. Comunista,Rosa nel pugno,UDC,UDEUR,Verdi,TOTALE,AFFLUENZA
86,55,4,3,1,176,18,198,32,3,2,8,64,19,35,1,9,628,0.80306905370844
87,97,1,4,3,377,5,131,15,3,0,3,19,50,66,5,15,794,0.9243306169965075
88,113,6,3,4,219,18,189,54,4,0,9,33,16,52,1,20,741,0.9512195121951219
90,38,1,1,0,102,3,54,5,1,0,0,4,17,19,0,4,249,0.9054545454545454
91,113,4,10,2,239,9,184,31,3,0,6,40,36,50,3,17,747,0.9267990074441688
92,74,6,15,1,190,25,274,48,4,0,20,50,20,27,1,17,772,0.871331828442438
93,110,5,2,1,296,14,183,19,2,1,1,19,44,73,3,8,781,0.9455205811138014
94,95,4,11,7,208,9,163,23,1,2,3,29,41,32,1,3,632,0.8657534246575342
97,63,2,12,8,198,20,275,50,2,3,22,58,12,35,1,18,779,0.8458197611292074
99,83,8,8,4,302,13,178,17,2,2,2,19,28,52,2,9,729,0.9169811320754717
100,78,11,21,3,173,22,225,26,6,0,15,63,29,35,0,19,726,0.9877551020408163
104,98,3,14,4,272,17,217,30,1,0,5,41,42,68,4,21,837,0.9167579408543264
105,72,9,10,10,165,12,231,23,3,2,8,38,17,38,2,15,655,0.8698539176626826
106,91,3,6,5,219,10,219,29,3,2,2,43,42,32,2,12,720,0.9171974522292994
109,84,3,4,3,230,3,125,29,2,0,2,12,21,34,2,8,562,0.9946902654867257
110,89,5,10,0,222,7,164,30,0,0,1,26,43,36,2,12,647,0.9269340974212035
111,66,1,9,2,219,14,193,19,0,1,4,23,32,42,0,14,639,0.8949579831932774
112,126,6,15,1,180,14,186,24,1,0,2,54,34,41,2,10,696,0.9292389853137517
113,81,3,18,1,215,8,233,27,3,2,8,64,42,35,0,26,766,0.9307411907654921
114,96,4,15,3,204,20,218,38,5,1,10,35,50,44,1,13,757,0.8802325581395349
116,86,2,10,1,181,8,197,20,4,1,5,29,47,40,0,13,644,0.9032258064516129
117,49,6,13,3,159,17,260,52,5,0,7,52,19,37,6,25,710,0.9281045751633987
119,55,2,8,3,207,15,175,19,2,4,14,55,6,22,0,20,607,0.8525280898876404
120,74,3,14,3,210,18,219,73,4,0,22,56,28,16,1,32,773,0.8988372093023256
122,88,2,13,7,200,18,186,17,1,0,2,38,42,33,3,14,664,0.8853333333333333
123,86,14,11,3,206,10,187,24,1,0,8,31,34,33,1,11,660,0.889487870619946
125,70,7,15,0,151,14,210,52,7,0,15,31,18,36,1,16,643,0.9318840579710145
126,77,3,13,1,219,12,241,27,4,0,5,45,40,30,2,25,744,0.8899521531100478
128,116,5,13,4,218,12,236,23,0,3,5,40,34,37,2,20,768,0.8951048951048951
129,100,5,10,0,245,4,192,16,5,0,5,42,43,22,0,9,698,0.8703241895261845
130,103,4,5,3,238,7,220,23,3,0,8,32,37,44,3,15,745,0.9152334152334153
131,84,9,9,1,175,12,226,31,2,0,0,36,40,40,3,9,677,0.9111709286675639
135,81,6,9,1,195,17,167,20,6,1,9,38,20,72,3,25,670,0.8281829419035847
138,86,5,14,7,177,13,181,47,6,3,16,51,30,23,2,12,673,0.8843626806833115
139,71,14,12,6,219,10,176,37,3,0,11,30,18,27,2,26,662,0.8873994638069705
140,125,1,8,3,192,29,204,41,3,2,9,41,31,49,4,22,764,0.8904428904428905
141,90,7,17,7,226,17,226,35,0,1,4,53,53,50,3,24,813,0.9690107270560191
142,85,3,12,1,184,11,184,31,1,0,11,37,39,28,2,13,642,0.8710990502035278
144,46,9,16,2,185,15,228,30,5,1,18,46,9,28,0,12,650,0.8312020460358056
146,93,5,12,4,222,13,225,18,2,1,1,30,38,40,2,11,717,0.9323797139141743
147,98,5,10,1,217,13,201,19,1,1,2,23,29,40,1,20,681,0.9728571428571429
149,107,7,12,4,207,17,193,27,3,0,3,33,33,36,2,19,703,0.9225721784776902
151,89,8,12,2,169,20,211,21,4,1,7,39,47,20,0,17,667,0.9013513513513514
