SEZIONE,Alternativa Municipale,"Beppe Sala Sindaco Noi, Milano",Fuxia People Maria Teresa Bald,Giorgia Meloni per Parisi,Io corro per Milano Lista Civ.,Italia dei Valori per B. Sala,Lega Nord Lega Lomb. Salvini,Milano Popolare Parisi Sindaco,Milano in Comune Rizzo Sindaco,Movimento 5 Stelle,Noi x Milano Mardegan Sindaco,Partito Comunista dei Lavorato,Partito Democratico Beppe Sala,Pensionati,Per Parisi Forza Italia Berl.,Radicali con Cappato Sindaco,Sinistra x Milano,TOTALE,AFFLUENZA
83,0,65,1,10,22,2,15,15,3,18,1,1,105,0,86,5,11,360,0.4265402843601896
84,1,29,0,10,2,3,56,20,23,76,5,3,129,1,93,6,11,468,0.582089552238806
86,1,13,0,15,29,4,48,9,15,48,1,1,92,5,93,7,11,392,0.5104166666666666
87,1,37,0,12,33,1,51,17,6,15,12,0,84,2,144,9,8,432,0.4206426484907498
88,1,35,0,18,11,0,83,25,11,46,9,0,169,3,87,3,15,516,0.542016806722689
91,1,18,0,19,27,3,50,11,16,33,4,2,112,3,107,11,18,435,0.4988532110091743
92,2,37,0,13,9,6,62,13,27,48,7,3,122,3,81,1,28,462,0.5390898483080513
93,2,57,1,16,40,5,40,21,6,18,4,0,130,0,148,11,12,511,0.5024582104228122
94,0,34,2,15,21,1,36,7,10,22,8,3,96,0,77,11,26,369,0.45781637717121587
97,0,17,0,11,8,5,67,7,15,76,7,1,121,8,95,6,18,462,0.5506555423122765
99,2,48,4,9,27,2,27,14,16,15,5,2,114,1,120,9,18,433,0.5229468599033816
100,4,40,0,6,7,4,59,16,14,53,4,3,150,3,75,10,15,463,0.573019801980198
104,2,36,0,22,17,7,45,29,15,31,3,1,132,2,115,12,23,492,0.4934804413239719
105,0,23,1,10,14,2,30,15,21,42,3,3,106,5,87,2,32,396,0.5553997194950911
106,4,51,0,10,11,4,52,22,20,38,1,0,114,0,77,9,18,431,0.48700564971751414
109,0,46,3,13,35,4,43,19,11,31,6,0,121,1,92,9,21,455,0.4491609081934847
110,4,34,3,3,34,4,42,11,17,26,2,0,124,0,77,12,13,406,0.5043478260869565
111,2,44,0,7,17,0,35,13,11,13,4,3,113,1,104,18,16,401,0.4848851269649335
112,0,30,1,11,14,4,46,4,11,27,5,1,142,0,81,11,22,410,0.4945717732207479
113,0,98,1,11,18,5,62,23,22,43,6,3,161,5,94,6,30,588,0.5217391304347826
114,1,40,0,17,20,1,48,14,18,30,7,0,141,1,94,11,20,463,0.5225733634311512
116,1,42,1,9,11,1,30,16,12,24,7,1,121,1,80,8,13,378,0.49282920469361147
117,1,27,0,5,12,5,83,8,28,64,2,2,135,0,134,8,15,529,0.5851769911504425
119,6,16,0,8,4,1,37,11,13,50,1,5,76,1,84,1,6,320,0.4630969609261939
120,0,22,3,11,3,1,76,16,10,74,8,5,131,0,106,0,11,477,0.5611764705882353
122,0,36,0,6,13,2,26,15,16,27,2,0,121,1,81,9,25,380,0.4561824729891957
123,0,18,0,12,32,5,63,12,16,41,3,0,136,0,74,17,21,450,0.4972375690607735
125,0,20,6,7,12,4,80,18,11,63,8,1,132,3,116,6,10,497,0.5270413573700954
126,2,34,0,10,15,2,26,17,23,37,9,1,184,2,92,14,23,491,0.5425414364640884
128,4,31,0,10,18,1,52,7,12,38,3,2,160,2,77,16,15,448,0.4520686175580222
129,1,33,0,14,14,5,37,26,10,31,4,0,140,1,103,11,26,456,0.4759916492693111
130,0,52,0,12,11,1,40,14,12,19,1,1,159,1,95,9,13,440,0.4971751412429379
131,0,48,1,10,26,2,35,11,15,33,7,0,129,1,79,17,9,423,0.4953161592505855
135,1,26,2,17,13,3,41,19,19,45,4,3,111,1,110,9,9,433,0.502903600464576
138,0,15,0,25,15,0,49,12,22,48,6,3,83,3,94,9,15,399,0.504424778761062
139,4,19,1,11,14,2,54,14,10,30,0,0,97,5,81,3,9,354,0.4348894348894349
140,1,32,2,13,18,3,65,16,28,35,5,2,105,2,95,10,25,457,0.5175537938844847
141,0,48,2,14,15,5,47,11,28,35,6,0,155,3,83,12,23,487,0.5137130801687764
142,2,48,2,12,11,2,31,11,14,38,4,1,149,1,70,8,16,420,0.45652173913043476
144,0,16,1,12,4,0,32,11,17,64,1,2,102,1,74,3,7,347,0.4689189189189189
146,0,53,0,9,16,3,35,15,15,20,7,2,138,0,104,17,38,472,0.5279642058165548
147,1,30,0,18,15,3,39,11,10,29,2,2,131,0,84,10,22,407,0.509386733416771
149,1,50,0,12,10,3,40,8,33,40,3,1,153,1,113,14,16,498,0.5407166123778502
151,0,26,1,1,7,2,23,12,12,40,1,2,106,2,86,5,11,337,0.424968474148802
152,2,24,1,11,17,2,39,13,22,23,0,0,125,0,61,5,28,373,0.4668335419274093
153,0,26,0,5,4,4,32,4,18,23,2,0,90,2,63,7,7,287,0.4519685039370079
157,0,28,2,12,26,5,41,9,16,24,3,0,130,1,81,10,17,405,0.4623287671232877
158,2,40,2,5,8,0,35,15,12,33,7,1,157,2,68,10,18,415,0.472127417519909
160,0,25,0,15,9,3,19,1,11,26,3,3,76,1,41,2,11,246,0.26885245901639343
161,1,6,0,7,3,0,21,3,1,21,2,1,27,0,25,1,0,119,0.31733333333333336
162,0,3,0,0,1,0,2,1,0,3,0,0,7,0,6,1,0,24,12.0
164,1,42,0,8,39,5,23,26,11,15,2,1,85,0,75,8,6,347,0.4880450070323488
167,1,44,0,12,26,2,21,10,6,20,9,0,93,0,71,13,21,349,0.41646778042959426
168,0,31,5,7,17,2,22,9,12,30,3,0,82,1,82,9,11,323,0.3992583436341162
169,1,34,1,7,10,5,37,10,27,30,5,3,130,2,75,5,25,407,0.47380675203725264
172,4,25,2,10,2,1,59,5,9,56,6,1,103,2,72,2,13,372,0.5027027027027027
173,1,17,0,4,11,1,18,0,8,13,3,0,82,0,46,6,11,221,0.22345803842264914
175,3,47,0,12,16,3,27,22,18,33,5,2,131,5,111,17,19,471,0.49736008447729674
177,0,30,0,5,7,5,41,6,13,55,3,1,112,1,65,1,46,391,0.5724743777452416
179,3,33,1,8,34,2,29,11,8,11,5,2,147,0,92,10,27,423,0.4935822637106184
181,0,35,0,14,13,5,68,44,20,66,4,1,186,0,112,11,14,593,0.5830875122910522
182,0,40,3,9,14,1,32,24,12,18,2,1,127,0,107,13,12,415,0.49700598802395207
184,0,23,0,8,20,3,39,17,21,37,2,1,156,3,95,21,15,461,0.49042553191489363
185,1,37,0,8,26,0,34,14,12,35,2,1,121,2,74,12,16,395,0.4962311557788945
186,0,35,0,12,17,3,51,7,16,43,3,2,136,0,77,2,22,426,0.5101796407185629
187,0,29,0,10,11,0,36,14,13,38,4,1,107,0,88,12,20,383,0.519674355495251
188,2,22,1,16,16,5,23,9,29,45,0,0,142,2,116,7,33,468,0.5010706638115632
189,1,32,1,8,23,7,37,11,18,48,4,2,121,2,93,11,17,436,0.5141509433962265
190,1,23,0,14,11,3,40,10,10,38,3,0,132,0,68,12,21,386,0.4910941475826972
191,1,30,1,2,14,4,35,17,11,32,13,2,137,3,88,13,16,419,0.5128518971848225
