SEZIONE,Azzaretto Natale ,Boatti Giuseppe Riccardo ,Brenna Sergio Luigi,Campiotti Aquilele Quilino ,Cantù Maria Cristina,Capotosti Roberta,Cerno Tommaso ,D'Alfonso Franco Maria,Dovis Giovanni Mario ,Escobar Roberto Luigi ,Ferrara Salvatore ,Framba Francesco ,Laforgia Francesco ,Leccisi Gabriele Giuseppe ,Ligi Isabella ,Musciolà Filomena Patrizia,Oddenino Ruben ,Pagliuca Luigi ,Palmieri Antonio ,Perduca Marco ,Pessina Angela ,Pongiluppi Eleuteri Emanuela ,Previato Sonia ,Re Fraschini Mario Antonio,Riva Nadia ,Ruffini Luigino ,Santaniello Tiziana ,Sciascia Salvatore ,Tacchini Valerio Giovanni Mich,Zerkaoui Mounira ,TOTALE,AFFLUENZA
1005,0.0,0.0,0.0,1.0,204.0,4.0,0.0,160.0,0.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,91.0,0.0,0.0,0.0,487.0,0.6034696406443618
1006,0.0,0.0,0.0,0.0,188.0,3.0,0.0,164.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,82.0,0.0,0.0,0.0,459.0,0.6547788873038516
1007,0.0,0.0,0.0,2.0,206.0,0.0,0.0,160.0,0.0,0.0,4.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,72.0,0.0,0.0,0.0,476.0,0.6809728183118741
1008,0.0,0.0,0.0,4.0,183.0,3.0,0.0,141.0,0.0,0.0,6.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,112.0,0.0,0.0,0.0,481.0,0.583030303030303
1010,0.0,0.0,0.0,1.0,152.0,2.0,0.0,157.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,102.0,0.0,0.0,0.0,448.0,0.6222222222222222
1012,0.0,0.0,0.0,0.0,62.0,3.0,0.0,56.0,0.0,0.0,4.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,51.0,0.0,0.0,0.0,190.0,0.5066666666666667
1013,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,13.0,0.0,0.0,0.0,6.0,3.0,0.0,191.0,0.0,1.0,502.0,0.6330390920554855
1015,0.0,0.0,0.0,1.0,190.0,3.0,0.0,176.0,0.0,0.0,3.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,103.0,0.0,0.0,0.0,528.0,0.6751918158567775
1016,0.0,0.0,0.0,2.0,173.0,2.0,0.0,182.0,0.0,0.0,2.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,82.0,0.0,0.0,0.0,477.0,0.583843329253366
1017,0.0,0.0,0.0,1.0,227.0,8.0,0.0,238.0,0.0,0.0,2.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,139.0,0.0,0.0,0.0,669.0,0.6710130391173521
1019,0.0,0.0,0.0,5.0,234.0,8.0,0.0,277.0,0.0,0.0,3.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,101.0,0.0,0.0,0.0,681.0,0.676266137040715
1020,0.0,0.0,0.0,0.0,183.0,2.0,0.0,181.0,0.0,0.0,1.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,89.0,0.0,0.0,0.0,489.0,0.5898673100120627
1021,0.0,0.0,0.0,1.0,201.0,6.0,0.0,229.0,0.0,0.0,1.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,107.0,0.0,0.0,0.0,592.0,0.6372443487621098
1022,0.0,0.0,0.0,4.0,182.0,2.0,0.0,146.0,0.0,0.0,8.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,77.0,0.0,0.0,0.0,449.0,0.6460431654676259
1023,0.0,0.0,0.0,1.0,215.0,3.0,0.0,192.0,0.0,0.0,4.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,42.0,0.0,0.0,0.0,474.0,0.6556016597510373
1024,0.0,0.0,0.0,3.0,191.0,2.0,0.0,197.0,0.0,0.0,1.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,94.0,0.0,0.0,0.0,527.0,0.6281287246722288
1025,0.0,0.0,0.0,2.0,197.0,3.0,0.0,79.0,0.0,0.0,1.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,67.0,0.0,0.0,0.0,373.0,0.5405797101449276
