SEZIONE,Bene comune,Destra F.T.,Difesa Vita,Italia Valori,Lega Nord,Lista del Grillo,Part. Comunista Lav.,Part. Democratico,Part. Socialista,Popolo Libertà,Sin. Arcobaleno,Sin. Critica,UDC Casini,Un. Consumatori,TOTALE,AFFLUENZA
56,0,5,3,14,77,4,0,228,3,258,13,1,31,2,639,0.8753424657534247
57,1,12,5,20,81,2,2,263,0,291,21,1,25,1,725,0.8734939759036144
58,4,13,8,20,78,2,1,160,1,272,7,0,21,0,587,0.8774289985052317
59,0,15,4,46,101,4,1,216,9,240,43,5,16,1,701,0.87625
61,2,18,7,38,103,1,1,213,4,352,11,0,30,1,781,0.8946162657502864
64,0,23,2,31,51,4,3,187,7,194,29,4,19,1,555,0.7917261055634808
65,0,10,6,30,60,1,0,241,3,230,13,2,6,0,602,0.847887323943662
66,3,12,4,36,51,5,4,240,3,177,34,10,24,0,603,0.8933333333333333
69,0,8,9,20,57,0,0,204,4,259,4,0,21,0,586,0.8529839883551674
72,0,13,0,40,57,1,1,212,4,205,23,4,30,2,592,0.8326300984528833
73,0,13,9,17,65,1,1,166,4,286,8,0,22,1,593,0.8984848484848484
74,0,14,3,28,68,3,1,213,4,201,18,5,9,5,572,0.8326055312954876
78,0,8,8,17,83,0,0,153,2,318,6,0,15,1,611,0.8703703703703703
79,0,10,8,8,81,2,0,131,3,285,5,0,14,0,547,0.8894308943089431
80,2,16,5,24,75,1,3,208,1,311,27,5,16,0,694,0.871859296482412
82,0,7,10,11,73,0,0,125,0,298,5,1,20,0,550,0.9016393442622951
83,0,12,3,19,76,2,0,180,2,302,5,2,14,0,617,0.9073529411764706
84,0,16,1,45,58,2,0,280,3,212,30,3,14,0,664,0.9431818181818182
86,1,16,2,31,75,1,1,204,6,211,33,4,17,2,604,0.8021248339973439
87,1,14,12,10,89,0,0,173,5,394,6,0,21,0,725,0.8884803921568627
88,5,19,4,37,93,1,3,192,3,245,18,1,24,1,646,0.8601864181091877
91,3,19,1,42,84,1,3,209,5,289,17,4,22,3,702,0.8874841972187105
92,3,12,1,51,73,3,4,265,2,232,30,3,23,3,705,0.8274647887323944
93,2,13,10,24,79,2,1,205,3,332,10,1,32,0,714,0.8925
94,3,11,4,18,71,1,1,180,4,262,15,2,23,0,595,0.8368495077355836
97,3,14,2,35,92,5,5,279,6,245,28,4,28,1,747,0.8346368715083798
99,2,18,11,24,51,0,0,192,4,337,11,2,21,0,673,0.8797385620915033
100,0,14,1,40,94,3,2,251,5,226,32,2,27,3,700,0.9641873278236914
104,2,16,12,29,88,1,2,251,4,319,21,4,33,0,782,0.8708240534521158
105,1,11,5,42,55,0,1,237,6,211,21,4,12,1,607,0.8442280945757997
106,3,12,5,29,85,3,3,252,4,257,28,0,18,4,703,0.8809523809523809
109,1,9,8,25,94,3,0,222,6,363,12,1,20,0,764,0.9227053140096618
110,1,11,8,21,89,0,2,217,4,251,19,1,13,0,637,0.9113018597997139
111,0,4,7,18,61,0,0,228,6,259,12,1,13,0,609,0.8675213675213675
112,2,6,3,30,72,1,1,224,7,235,27,3,15,0,626,0.8646408839779005
113,0,14,5,38,74,1,3,290,9,253,43,2,14,1,747,0.89568345323741
114,3,20,5,39,72,6,3,228,13,242,14,2,18,2,667,0.8184049079754602
116,2,9,4,21,77,0,1,228,4,199,21,1,13,0,580,0.847953216374269
117,4,16,3,37,89,2,3,263,1,210,37,2,28,2,697,0.8958868894601543
119,1,8,1,20,53,2,5,187,2,235,21,3,19,0,557,0.7979942693409742
120,0,19,1,26,115,5,3,233,4,241,21,5,21,1,695,0.8373493975903614
122,1,9,2,25,63,1,0,226,4,227,28,1,20,1,608,0.8306010928961749
123,1,24,3,23,84,2,2,221,2,243,17,2,22,2,648,0.8663101604278075
125,3,17,2,38,108,2,2,190,1,183,15,2,26,1,590,0.8939393939393939
126,1,9,5,36,69,5,2,277,7,249,16,1,14,1,692,0.8671679197994987
128,3,14,10,37,93,1,3,249,4,256,22,4,9,4,709,0.8491017964071856
129,1,17,3,21,53,1,0,255,5,309,27,6,17,1,716,0.8678787878787879
130,2,11,6,22,66,0,1,261,4,288,15,2,16,1,695,0.881979695431472
131,5,19,1,37,71,4,1,237,4,209,16,4,8,0,616,0.8787446504992867
135,4,20,1,15,57,2,2,200,3,247,26,3,55,1,636,0.8112244897959183
138,1,19,1,24,65,1,2,172,5,233,33,4,15,1,576,0.7933884297520661
139,1,26,6,18,72,1,5,181,4,268,17,3,19,1,622,0.8462585034013606
140,4,22,7,37,85,3,2,197,7,274,23,5,18,1,685,0.8374083129584352
141,3,18,5,32,79,1,0,301,4,254,20,3,16,4,740,0.9113300492610837
142,1,16,4,28,60,2,0,221,2,223,17,3,22,0,599,0.8484419263456091
144,2,13,4,23,62,3,2,225,1,210,31,1,22,4,603,0.7944664031620553
146,0,19,8,18,62,0,1,258,3,266,23,0,17,0,675,0.896414342629482
147,0,17,7,34,74,1,0,220,4,238,11,1,21,0,628,0.9289940828402367
149,1,26,7,34,63,3,0,213,6,255,24,1,12,0,645,0.8565737051792829
151,0,22,3,35,57,2,1,241,5,215,24,1,10,1,617,0.8326585695006747
152,0,8,5,30,61,4,1,238,4,195,30,2,8,0,586,0.8443804034582133
153,2,12,3,20,58,2,1,222,8,202,26,1,17,1,575,0.8285302593659942
157,0,14,5,21,79,2,2,233,1,292,24,0,36,1,710,0.8523409363745498
158,1,20,5,39,66,1,3,247,8,231,22,3,28,3,677,0.84625
160,0,13,2,21,50,0,3,136,1,157,21,1,20,0,425,0.8947368421052632
161,0,9,0,18,22,1,0,83,1,125,19,3,4,0,285,0.7326478149100257
162,0,2,1,4,12,0,0,20,0,35,3,0,4,0,81,40.5
164,0,13,8,21,52,1,1,171,6,259,10,1,22,1,566,0.8984126984126984
167,0,9,11,26,47,0,0,183,4,221,8,1,23,0,533,0.8957983193277311
168,0,18,9,25,54,2,1,164,6,242,21,2,14,1,559,0.8693623639191291
169,0,7,8,38,55,2,7,256,2,219,38,6,12,2,652,0.8402061855670103
172,3,13,1,28,69,4,7,235,7,257,34,1,15,4,678,0.8218181818181818
173,1,13,5,19,43,2,1,101,4,162,10,0,6,0,367,1.0138121546961325
175,2,13,10,43,81,1,3,248,5,262,42,0,26,2,738,0.8301462317210349
177,1,13,3,34,57,3,2,236,8,161,21,7,27,1,574,0.8579970104633782
179,0,9,8,26,61,2,3,212,6,266,19,0,23,3,638,0.8727770177838577
181,2,11,4,41,93,4,2,285,3,278,32,1,22,1,779,0.9511599511599511
182,2,16,8,22,62,1,1,160,4,272,12,0,18,1,579,0.9075235109717869
184,1,11,4,35,70,0,2,287,14,232,19,6,21,0,702,0.8013698630136986
185,1,8,4,17,65,1,1,219,2,222,22,1,21,0,584,0.8677563150074294
186,0,20,7,32,70,2,1,236,6,272,23,2,6,1,678,0.8659003831417624
187,0,17,6,28,73,1,2,203,5,217,21,0,8,1,582,0.8940092165898618
188,1,20,3,22,67,2,2,270,4,270,41,4,15,0,721,0.865546218487395
