SEZIONE,Bene comune,Destra F.T.,Difesa Vita,Italia Valori,Lega Nord,Lista del Grillo,Part. Comunista Lav.,Part. Democratico,Part. Socialista,Popolo Libertà,Sin. Arcobaleno,Sin. Critica,UDC Casini,Un. Consumatori,TOTALE,AFFLUENZA
502,0,16,7,27,80,0,0,206,3,336,16,1,18,0,710,0.8554216867469879
504,4,14,0,52,98,5,1,326,7,272,43,4,24,3,853,0.9671201814058957
505,2,14,1,25,63,1,1,217,7,224,25,2,19,3,604,0.8096514745308311
506,1,8,6,24,53,3,0,229,6,175,23,1,28,1,558,0.8145985401459854
508,2,21,5,43,78,2,0,220,3,265,19,1,25,0,684,0.8658227848101265
510,3,11,2,46,102,6,2,250,2,306,20,9,15,1,775,0.8836944127708096
511,5,20,2,43,130,2,3,287,3,255,44,2,25,4,825,0.8870967741935484
512,2,5,4,26,72,3,1,226,3,264,12,0,17,0,635,0.8355263157894737
514,1,9,5,23,95,5,1,246,4,287,22,2,28,2,730,0.9001233045622689
515,3,13,7,15,79,0,1,225,3,264,7,0,20,2,639,0.8838174273858921
518,5,18,2,32,73,5,7,176,4,268,14,5,19,1,629,0.8022959183673469
519,0,14,3,30,76,1,0,182,6,173,17,1,9,1,513,0.8621848739495799
521,3,16,8,28,57,1,1,191,2,220,14,1,21,0,563,0.8661538461538462
523,1,14,7,25,70,3,1,257,3,218,16,2,8,0,625,0.8608815426997245
525,2,15,3,20,71,3,1,227,5,240,21,3,24,5,640,0.8205128205128205
526,3,11,1,30,67,1,0,248,9,195,27,4,11,2,609,0.8565400843881856
530,0,2,0,2,9,0,0,19,0,40,1,0,3,0,76,inf
532,1,17,0,41,77,2,2,222,4,216,24,5,21,1,633,0.858887381275441
534,0,14,1,32,80,1,0,200,9,337,6,2,22,0,704,0.8595848595848596
535,0,17,2,10,47,1,0,110,3,207,0,0,13,1,411,0.874468085106383
537,0,4,0,0,13,0,1,22,0,39,3,0,3,0,85,0.7727272727272727
538,2,24,4,32,111,4,4,263,2,284,33,4,31,2,800,0.9009009009009009
539,3,8,4,21,58,2,1,163,2,166,17,0,21,1,467,0.8998073217726397
540,2,26,7,38,69,2,0,255,6,265,25,5,22,2,724,0.8408826945412311
541,4,12,1,21,47,2,4,147,7,218,34,6,4,2,509,0.6813922356091031
542,2,11,2,46,51,4,0,214,5,182,22,1,14,2,556,0.7554347826086957
543,6,16,1,40,93,3,3,318,3,210,70,5,28,2,798,0.9545454545454546
547,0,15,3,47,86,4,4,308,4,241,38,8,20,3,781,0.8620309050772627
548,0,15,3,44,63,3,1,159,2,221,17,2,22,0,552,0.7988422575976846
549,1,16,0,32,53,1,2,154,1,231,14,2,13,1,521,0.755072463768116
550,3,29,3,35,97,1,3,306,6,223,34,4,17,2,763,0.822198275862069
551,2,13,0,28,55,1,0,270,4,159,35,3,16,3,589,0.8910741301059002
552,3,10,2,36,71,1,2,195,3,244,22,2,20,2,613,0.7869062901155327
555,2,16,2,29,75,2,3,275,7,252,43,5,17,0,728,0.835820895522388
556,1,24,3,32,61,7,3,272,8,247,33,1,14,1,707,0.8043230944254836
558,2,20,1,36,72,2,1,204,1,197,50,7,14,3,610,0.800524934383202
561,0,11,4,29,57,2,2,171,4,163,35,0,10,0,488,0.8066115702479338
562,3,12,4,27,51,2,3,219,1,193,36,5,17,3,576,0.782608695652174
564,1,14,9,38,49,2,1,219,0,203,19,1,28,0,584,0.8888888888888888
566,0,15,6,22,68,0,0,133,1,237,12,2,9,0,505,0.8767361111111112
567,2,14,4,38,101,2,3,265,8,281,23,1,19,0,761,0.8757192174913694
568,1,12,1,9,21,3,0,73,4,134,18,1,15,0,292,0.8248587570621468
569,2,17,3,28,50,0,1,126,9,170,17,3,16,1,443,0.7854609929078015
570,1,18,3,31,93,4,1,196,0,263,13,7,24,0,654,0.9083333333333333
571,0,26,7,36,49,0,2,136,6,198,16,3,22,1,502,0.7880690737833596
573,4,13,3,25,72,3,1,179,4,247,12,0,29,0,592,0.8604651162790697
574,1,11,6,16,83,2,2,175,9,224,22,2,26,0,579,0.8259629101283881
575,2,9,4,28,110,2,2,192,3,273,14,3,17,1,660,0.8991825613079019
580,0,8,4,24,79,0,0,206,3,201,25,6,11,1,568,0.8208092485549133
582,0,6,3,24,54,4,4,149,2,212,14,0,7,0,479,0.8553571428571428
583,1,16,0,37,74,5,2,196,5,207,19,1,10,1,574,0.7950138504155124
585,2,8,1,22,68,2,0,152,1,293,3,1,11,0,564,0.88125
586,0,10,9,30,87,1,0,182,0,256,9,0,19,0,603,0.8906942392909897
589,0,20,1,34,98,4,1,215,2,294,21,1,24,1,716,0.8154897494305239
590,2,9,8,34,70,4,2,217,8,196,21,4,18,2,595,0.7839262187088274
592,0,8,9,21,75,4,2,148,3,182,20,2,11,0,485,0.8234295415959253
594,2,10,6,28,72,2,1,238,4,215,17,8,11,3,617,0.8161375661375662
596,1,18,2,28,67,1,1,203,3,181,22,1,16,0,544,0.8473520249221184
600,2,16,3,37,65,2,1,294,2,213,28,2,46,5,716,0.8493475682087782
601,3,9,0,44,79,1,0,249,2,252,25,4,18,0,686,0.825511432009627
603,1,13,5,20,77,2,2,285,5,243,16,2,25,0,696,0.87
604,2,17,8,31,87,2,1,244,4,226,28,3,29,2,684,0.8341463414634146
608,1,10,5,35,103,1,1,221,7,299,24,1,17,2,727,0.8833535844471446
610,3,11,8,34,72,4,0,210,7,271,20,0,18,0,658,0.807361963190184
613,2,10,10,32,82,3,0,231,5,302,14,2,16,2,711,0.9045801526717557
614,2,18,1,42,82,1,0,227,7,217,31,2,16,3,649,0.8641810918774967
615,0,20,2,44,147,4,2,200,4,277,22,0,34,1,757,0.8822843822843823
616,2,24,4,42,65,1,0,278,6,276,22,3,23,0,746,0.8458049886621315
617,1,19,4,34,91,4,3,222,3,279,37,4,35,1,737,0.8549883990719258
621,3,10,9,24,85,3,2,224,5,301,20,0,21,0,707,0.8497596153846154
622,0,17,0,22,98,1,3,162,7,237,43,5,15,1,611,0.7914507772020726
624,2,17,6,28,69,2,2,221,5,311,12,1,18,0,694,0.8494492044063647
625,2,6,17,33,84,2,2,254,4,272,14,3,37,4,734,0.9061728395061729
627,1,19,2,48,95,2,4,226,1,233,30,5,20,3,689,0.8291215403128761
631,4,12,1,39,98,5,0,232,1,308,21,4,22,2,749,0.860919540229885
633,1,14,1,30,98,1,2,215,6,252,33,6,28,2,689,0.8422982885085575
634,1,16,9,35,82,2,0,247,9,234,41,2,17,0,695,0.8731155778894473
635,2,12,4,27,84,1,3,226,3,220,32,1,33,1,649,0.8746630727762803
636,0,20,7,32,78,2,1,223,8,242,22,1,25,0,661,0.8595578673602081
638,0,16,0,39,56,0,0,263,9,167,25,0,10,1,586,0.8005464480874317
641,1,18,7,25,74,3,0,253,2,262,9,1,26,0,681,0.8697318007662835
642,0,10,2,34,86,4,1,269,4,228,33,0,25,1,697,0.8647642679900744
644,3,10,1,32,57,5,11,241,2,213,35,8,13,1,632,0.8359788359788359
646,0,19,1,41,45,1,3,191,7,200,17,3,11,2,541,0.7909356725146199
648,1,9,7,24,74,0,1,142,2,300,13,0,17,1,591,0.8860569715142429
649,1,11,8,18,87,0,0,204,4,262,31,1,13,0,640,0.8926080892608089
651,1,4,3,31,52,2,1,230,5,197,23,2,22,2,575,0.85949177877429
652,0,10,4,24,78,2,1,243,2,277,17,0,12,0,670,0.8723958333333334
655,3,21,4,32,73,1,1,288,3,296,34,2,18,0,776,0.9383313180169287
657,1,6,3,40,81,8,1,225,1,174,26,4,20,0,590,0.8489208633093526
659,0,14,3,42,77,4,0,236,7,245,11,1,12,2,654,0.8755020080321285
662,1,13,7,32,82,2,3,284,6,294,20,3,20,0,767,0.9229843561973526
663,1,14,9,29,64,3,2,240,6,242,29,1,19,2,661,0.8485237483953787
665,2,16,2,34,90,2,3,244,5,264,22,0,33,0,717,0.8840937114673243
666,1,1,0,14,18,0,0,73,3,91,8,1,1,1,212,0.902127659574468
667,5,7,4,20,76,2,3,139,2,217,21,2,18,1,517,0.7990726429675425
668,1,16,6,29,81,2,1,278,3,259,20,4,24,3,727,0.8644470868014269
669,5,20,10,39,107,4,1,276,6,293,29,6,24,3,823,0.921612541993281
671,1,16,16,28,77,1,0,269,3,256,26,1,26,2,722,0.9209183673469388
673,4,13,6,29,83,3,2,295,3,279,18,2,14,0,751,0.8940476190476191
674,2,14,9,39,93,2,0,248,2,272,24,1,21,1,728,0.8656361474435196
675,1,18,8,42,82,2,0,297,10,239,24,5,17,1,746,0.8828402366863906
676,2,16,6,27,80,3,1,210,3,277,15,4,23,0,667,0.8799472295514512
678,1,16,7,29,63,3,0,243,3,222,16,1,20,1,625,0.8561643835616438
679,0,17,7,39,75,2,2,275,5,254,27,2,21,2,728,0.9215189873417722
680,1,14,4,27,89,1,2,266,6,285,24,3,25,0,747,0.86558516801854
684,0,20,6,45,79,1,1,217,3,265,23,2,20,1,683,0.849502487562189
686,0,9,4,30,80,0,0,165,3,198,10,0,14,2,515,0.7814871016691958
687,3,11,3,28,104,2,3,200,3,230,23,2,18,2,632,0.8741355463347165
690,0,8,4,21,106,1,0,164,12,275,15,3,13,0,622,0.8975468975468975
692,1,21,3,41,81,4,2,246,8,295,26,2,40,1,771,0.8731596828992072
693,4,7,1,38,77,3,4,198,4,233,32,5,16,2,624,0.8253968253968254
696,0,24,2,20,56,4,3,166,4,174,26,2,12,1,494,0.7891373801916933
698,6,11,4,31,76,4,3,200,2,219,32,1,12,2,603,0.8072289156626506
699,1,9,6,46,83,5,1,256,5,196,34,3,31,3,679,0.8671775223499362
700,1,9,1,27,82,0,1,204,3,255,30,6,17,0,636,0.8514056224899599
701,1,14,4,40,83,5,1,232,7,342,16,2,24,1,772,0.8987194412107101
702,0,8,1,31,95,4,1,182,11,231,25,5,14,0,608,0.8294679399727148
703,1,13,5,35,72,1,3,190,9,207,35,5,14,1,591,0.8394886363636364
704,1,15,8,23,85,1,4,177,5,219,25,5,30,1,599,0.8520625889046942
705,4,15,2,22,61,5,5,217,1,209,37,4,13,0,595,0.794392523364486
706,1,13,3,26,57,1,4,161,3,166,18,3,16,0,472,0.7637540453074434
707,3,20,7,25,75,4,2,178,3,203,25,2,21,2,570,0.7916666666666666
709,1,16,2,32,59,1,3,235,3,255,29,1,20,0,657,0.8433889602053916
711,3,12,3,47,93,2,4,228,8,269,33,6,23,0,731,0.8185890257558791
712,1,8,10,31,97,4,2,226,6,294,22,3,14,1,719,0.8579952267303103
713,2,10,4,28,60,3,0,253,4,218,16,2,22,1,623,0.8593103448275862
715,4,11,4,30,56,1,3,173,4,179,36,5,5,0,511,0.8295454545454546
716,1,13,4,45,104,2,0,232,3,219,40,3,14,6,686,0.8458692971639951
717,1,12,1,33,50,2,0,213,2,188,14,3,10,1,530,0.7863501483679525
718,1,14,0,34,50,1,3,191,1,199,34,2,16,2,548,0.7907647907647908
719,0,14,2,29,60,1,0,168,3,176,26,2,20,2,503,0.7971473851030111
721,1,17,5,21,67,1,4,180,4,222,23,3,13,2,563,0.8065902578796562
724,1,7,6,22,45,1,0,179,3,151,18,1,15,0,449,0.8075539568345323
725,4,11,6,36,66,1,3,217,0,206,23,3,21,1,598,0.844632768361582
726,1,12,1,35,75,0,5,215,3,175,25,6,22,2,577,0.8510324483775811
727,0,8,3,28,91,0,0,225,1,236,26,1,24,3,646,0.8488830486202366
728,1,13,3,21,91,4,1,234,8,249,15,0,28,1,669,0.8733681462140992
729,3,14,0,22,55,3,3,139,3,178,32,6,10,2,470,0.762987012987013
731,0,17,4,36,70,1,3,253,3,229,27,2,30,3,678,0.8748387096774194
734,2,14,8,25,69,3,1,231,5,271,25,2,27,1,684,0.8280871670702179
736,5,18,8,39,94,3,2,253,6,262,35,4,19,1,749,0.8970059880239521
738,5,11,4,29,67,4,4,163,1,213,15,1,20,0,537,0.8223583460949464
739,3,14,3,23,48,2,2,200,5,158,30,1,11,0,500,0.8445945945945946
740,0,18,9,33,99,0,1,238,3,267,19,4,17,0,708,0.9123711340206185
741,4,9,4,20,83,1,2,205,4,228,31,6,17,2,616,0.8301886792452831
743,1,16,3,28,83,5,2,214,2,209,36,6,11,0,616,0.7748427672955975
746,0,11,1,31,89,0,2,180,3,221,34,2,18,0,592,0.8349788434414669
747,1,27,2,36,91,4,5,224,15,311,31,3,26,1,777,0.9173553719008265
748,3,11,1,26,76,2,2,172,4,187,25,1,10,4,524,0.8073959938366718
749,0,16,2,22,65,2,3,159,4,185,31,2,13,0,504,0.7357664233576642
751,2,11,0,20,82,3,2,158,1,218,30,2,19,0,548,0.7942028985507247
752,3,13,2,25,74,0,3,217,2,239,37,0,30,0,645,0.8622994652406417
753,3,10,0,29,89,1,1,191,9,216,36,2,23,1,611,0.821236559139785
755,3,18,1,22,48,2,1,239,4,179,27,5,19,0,568,0.8102710413694721
756,3,16,1,28,70,4,7,155,3,193,40,2,21,0,543,0.8302752293577982
760,2,11,4,28,89,7,0,231,3,231,33,8,12,1,660,0.8118081180811808
762,0,17,1,35,62,3,8,159,3,144,26,3,9,0,470,0.7507987220447284
765,3,7,2,35,52,4,3,136,2,166,30,2,11,1,454,0.7668918918918919
766,2,26,0,42,94,4,6,259,8,222,17,3,30,1,714,0.864406779661017
767,3,18,3,34,64,4,3,204,4,196,13,4,40,0,590,0.8149171270718232
770,1,14,4,36,64,0,3,210,7,225,25,2,18,4,613,0.8151595744680851
771,2,14,2,27,63,3,1,157,3,202,23,7,16,0,520,0.80370942812983
772,1,9,3,40,69,3,3,219,4,200,37,2,24,1,615,0.8333333333333334
775,1,24,3,36,66,2,2,175,2,241,25,3,17,2,599,0.8094594594594594
776,3,19,7,35,111,1,0,215,2,266,31,8,14,1,713,0.8621523579201935
778,3,18,4,34,63,3,4,192,8,273,20,3,23,0,648,0.8350515463917526
780,1,17,4,32,61,1,2,236,4,202,27,1,13,2,603,0.8421787709497207
781,1,20,5,39,80,2,4,210,6,294,37,7,15,2,722,0.8346820809248555
783,3,20,4,30,62,1,1,212,3,198,26,5,22,2,589,0.9160186625194401
784,4,15,2,33,79,5,2,236,8,199,22,5,16,1,627,0.8111254851228978
785,2,17,1,38,99,7,4,208,4,267,30,2,24,1,704,0.8451380552220888
786,1,16,0,29,89,0,0,232,4,180,36,2,18,0,607,0.896602658788774
788,0,16,1,47,66,3,2,199,5,210,26,3,15,2,595,0.7493702770780857
789,0,11,3,31,90,2,1,210,5,232,28,3,16,2,634,0.8201811125485123
790,0,17,11,48,96,3,5,247,5,329,22,4,25,0,812,0.888402625820569
791,0,19,6,20,98,4,3,212,4,288,27,4,21,0,706,0.8031854379977247
792,4,30,4,25,92,4,2,261,7,232,51,3,41,2,758,0.8633257403189066
793,1,19,4,36,87,1,3,203,3,238,34,3,27,3,662,0.8348045397225725
794,2,23,3,25,92,3,3,180,1,226,20,3,30,3,614,0.8143236074270557
796,2,10,3,29,67,3,7,221,6,231,30,5,14,3,631,0.8017789072426937
797,1,10,1,39,83,4,0,200,2,181,23,5,13,2,564,0.7855153203342619
799,4,14,4,31,104,2,3,197,4,308,16,2,44,2,735,0.8996328029375765
800,0,10,1,19,64,2,2,149,2,217,23,4,21,1,515,0.8009331259720062
801,1,14,0,39,80,2,5,223,2,194,24,3,12,0,599,0.7840314136125655
802,2,14,2,19,75,0,0,156,0,210,23,3,17,1,522,0.7565217391304347
803,1,10,4,30,99,6,6,184,5,250,27,4,18,2,646,0.7755102040816326
805,0,22,1,48,74,3,7,206,3,234,38,4,24,1,665,0.8080194410692588
806,2,14,1,30,100,3,2,202,2,237,15,5,11,2,626,0.7944162436548223
807,3,20,2,54,83,1,6,197,9,208,25,2,17,4,631,0.842456608811749
808,3,16,3,31,86,3,4,239,3,182,24,7,25,2,628,0.8362183754993342
812,1,17,6,36,83,3,4,212,14,255,40,2,26,0,699,0.8514007308160779
813,4,13,2,32,61,1,2,284,6,243,23,7,29,0,707,0.8366863905325443
816,3,15,6,38,113,1,3,255,3,233,27,2,26,2,727,0.9008674101610905
817,1,7,1,44,87,2,2,274,4,247,30,2,28,1,730,0.8342857142857143
818,5,22,5,44,80,5,6,244,2,223,40,5,16,2,699,0.8431845597104946
820,3,8,4,38,71,2,1,211,7,278,28,3,25,0,679,0.9077540106951871
821,3,17,2,35,75,1,2,212,6,255,38,2,27,2,677,0.8430884184308842
822,1,23,2,31,80,1,2,226,3,214,26,4,22,1,636,0.8238341968911918
823,3,12,8,32,55,1,5,211,10,190,30,3,16,0,576,0.8753799392097265
824,0,11,3,36,75,2,4,236,3,218,27,4,21,0,640,0.8366013071895425
825,5,10,11,34,58,2,1,180,6,187,17,1,30,0,542,0.8973509933774835
827,2,12,4,28,47,6,2,163,4,185,16,2,12,0,483,0.7176820208023774
828,1,10,7,31,76,1,3,218,7,224,35,3,12,2,630,0.9104046242774566
832,1,15,7,22,79,1,1,227,2,250,28,3,14,0,650,0.8977900552486188
834,1,21,0,28,89,4,4,268,5,274,29,4,18,2,747,0.8808962264150944
835,1,20,1,31,81,8,7,221,8,203,40,5,13,0,639,0.7634408602150538
836,1,24,1,35,61,3,3,190,6,187,31,7,27,1,577,0.7397435897435898
837,0,22,3,33,84,1,9,280,10,224,36,8,16,3,729,0.81
838,4,5,3,34,53,2,2,216,4,186,34,3,24,0,570,0.7509881422924901
839,2,11,1,20,69,3,6,180,1,228,22,1,12,0,556,0.8
840,1,12,2,31,54,1,1,207,3,224,26,6,16,0,584,0.7881241565452092
841,5,22,2,31,78,1,1,229,7,198,10,3,15,2,604,0.8173207036535859
844,3,10,1,19,47,3,5,162,1,194,32,4,12,1,494,0.6785714285714286
847,1,11,0,36,59,2,5,224,3,220,23,6,20,2,612,0.8181818181818182
848,4,11,5,19,50,3,1,175,7,180,39,2,11,0,507,0.8125
852,4,11,1,25,74,0,4,179,4,248,27,3,7,4,591,0.7287299630086314
853,0,11,7,44,88,3,2,288,9,237,36,6,19,5,755,0.8830409356725146
855,3,14,7,31,55,1,3,215,4,222,33,6,21,2,617,0.7940797940797941
856,2,10,2,28,86,1,3,201,3,205,17,4,31,2,595,0.8623188405797102
857,2,11,2,23,90,2,0,252,5,257,16,2,27,0,689,0.9053876478318003
859,0,17,6,37,84,2,3,300,0,274,33,1,30,1,788,0.8365180467091295
861,1,17,8,27,98,3,1,239,5,358,19,2,30,0,808,0.8469601677148847
862,0,8,6,18,69,0,0,178,1,216,15,1,25,0,537,0.8496835443037974
863,3,12,7,54,77,1,1,235,5,173,28,4,19,1,620,0.8611111111111112
865,4,16,0,32,72,1,1,190,3,164,21,3,22,0,529,0.8317610062893082
866,4,13,1,23,57,2,1,148,8,203,21,5,17,2,505,0.7082748948106592
868,4,12,6,35,86,3,3,218,8,238,42,2,16,3,676,0.8611464968152867
869,2,13,6,23,64,3,3,213,5,231,20,2,18,1,604,0.888235294117647
871,0,8,2,25,57,1,2,185,4,214,18,2,19,0,537,0.8523809523809524
874,0,19,3,29,76,1,2,224,1,265,18,0,17,1,656,0.8986301369863013
875,2,14,9,26,104,4,2,252,5,260,31,2,27,0,738,0.82
877,3,9,5,22,54,3,1,159,1,242,14,3,22,0,538,0.8485804416403786
878,3,11,3,30,74,2,4,203,5,227,23,1,26,3,615,0.8401639344262295
879,0,9,6,21,84,1,1,161,2,238,30,2,13,1,569,0.8608169440242057
881,1,13,3,25,104,2,0,266,6,269,27,1,24,0,741,0.8697183098591549
883,2,31,5,22,76,0,1,212,11,275,35,3,23,0,696,0.8197879858657244
884,0,10,8,21,92,5,2,180,6,220,30,1,20,1,596,0.7894039735099337
886,4,19,6,26,69,2,0,240,3,212,23,1,15,2,622,0.8120104438642297
889,0,15,4,20,74,1,3,191,8,277,11,6,25,0,635,0.8333333333333334
890,2,15,0,32,66,2,2,217,2,212,31,2,10,0,593,0.785430463576159
891,1,18,1,21,54,2,5,179,5,237,30,5,17,0,575,0.736235595390525
895,2,9,2,30,90,2,3,215,2,202,20,3,18,1,599,0.8018741633199464
898,2,15,1,17,50,0,2,175,3,184,20,2,10,1,482,0.6985507246376812
899,1,13,2,24,86,3,1,153,5,240,27,0,19,0,574,0.7175
900,1,14,6,29,127,0,3,201,1,327,20,3,13,3,748,0.895808383233533
901,0,19,0,26,38,5,4,159,4,199,14,4,7,5,484,0.7055393586005831
902,2,16,0,25,56,4,3,149,3,196,17,3,12,2,488,0.7601246105919003
903,5,15,3,29,59,2,2,172,8,217,20,7,24,1,564,0.7611336032388664
904,3,23,3,21,89,2,6,193,5,216,21,5,23,2,612,0.7157894736842105
905,2,16,7,28,64,3,2,221,4,270,16,3,19,1,656,0.9035812672176309
906,1,15,2,43,106,1,2,313,10,302,20,3,18,3,839,0.8649484536082475
907,1,19,9,38,92,5,2,294,0,301,23,3,45,0,832,0.9073064340239912
908,3,23,2,36,82,3,1,327,1,280,24,4,16,3,805,0.8600427350427351
909,2,19,2,33,77,0,3,189,4,216,36,4,14,4,603,0.8159675236806495
910,1,15,1,23,75,5,8,174,4,265,23,8,15,2,619,0.7325443786982249
912,0,19,5,18,80,4,7,194,4,203,33,4,13,1,585,0.7831325301204819
913,5,18,2,33,84,2,4,172,5,247,38,3,15,0,628,0.8082368082368082
914,0,11,1,17,66,0,3,169,4,188,31,9,10,1,510,0.781010719754977
915,3,13,0,22,67,2,4,154,4,235,9,12,16,1,542,0.7591036414565826
916,3,6,0,14,37,0,3,73,1,108,8,1,10,0,264,0.7096774193548387
917,2,12,1,19,58,1,3,334,5,157,43,2,19,2,658,0.8034188034188035
920,2,26,1,53,92,3,2,287,6,194,29,7,20,2,724,0.8134831460674158
921,2,27,2,30,116,4,6,217,1,291,17,6,15,3,737,0.829954954954955
922,1,13,9,24,92,2,3,165,3,265,28,2,19,0,626,0.8706536856745479
924,1,16,6,36,121,3,2,197,5,270,20,3,21,2,703,0.8853904282115869
925,3,10,4,25,84,6,2,172,10,203,30,1,15,3,568,0.8427299703264095
927,0,16,1,32,77,1,1,198,4,216,24,2,30,2,604,0.8342541436464088
928,4,14,3,37,84,2,5,269,7,243,37,5,24,2,736,0.8761904761904762
929,0,4,0,1,2,0,0,6,0,19,1,2,1,0,36,0.43902439024390244
930,2,27,2,26,94,4,0,310,9,224,22,3,19,0,742,0.8719153936545241
931,3,23,6,40,75,3,3,216,3,222,26,5,13,1,639,0.8611859838274932
933,2,9,4,33,77,1,3,197,2,225,24,3,27,0,607,0.8061088977423638
934,5,20,6,36,71,4,4,199,3,198,17,1,20,3,587,0.8433908045977011
936,0,16,3,21,81,0,3,186,3,214,24,3,10,6,570,0.8236994219653179
938,1,16,1,36,91,3,4,185,2,178,21,3,24,1,566,0.8097281831187411
940,2,27,5,9,54,4,5,131,1,168,27,2,19,4,458,0.762063227953411
941,2,18,1,14,55,4,2,143,3,196,23,6,9,2,478,0.6917510853835022
942,4,11,6,20,68,6,2,108,2,204,11,2,20,1,465,0.7288401253918495
945,1,25,1,31,110,4,4,174,5,231,10,1,14,3,614,0.7831632653061225
946,2,7,1,24,45,5,4,133,5,199,22,4,10,2,463,0.7755443886097152
947,1,22,2,19,69,2,4,144,3,239,20,8,19,3,555,0.7951289398280802
948,2,48,3,36,103,2,1,176,3,308,23,3,21,1,730,0.8568075117370892
951,3,30,4,54,107,6,1,252,10,192,41,7,17,3,727,0.8675417661097852
952,0,18,2,29,74,0,2,194,2,331,13,1,17,2,685,0.9396433470507545
953,0,22,1,24,84,2,2,162,5,226,23,1,21,0,573,0.7881705639614855
954,2,12,3,36,67,4,6,243,4,228,33,2,17,1,658,0.8590078328981723
955,3,14,12,37,83,5,2,233,8,229,13,6,19,3,667,0.8628719275549805
956,2,17,1,20,56,1,5,173,2,171,22,0,9,2,481,0.7445820433436533
957,2,5,1,2,3,0,5,26,2,29,1,5,5,0,86,0.5088757396449705
959,1,18,1,40,86,1,3,184,3,229,25,5,25,0,621,0.7666666666666667
960,1,16,4,58,82,2,1,204,3,343,19,3,20,0,756,0.9921259842519685
961,1,13,3,30,91,4,1,196,5,267,19,1,28,1,660,0.8707124010554089
962,1,15,8,25,104,2,2,197,8,278,16,0,26,1,683,0.8591194968553459
963,1,14,2,19,72,4,4,122,2,165,20,3,13,1,442,0.8139963167587477
964,4,20,6,23,75,2,2,225,7,287,18,1,20,1,691,0.716804979253112
965,0,20,4,30,86,0,0,220,1,345,24,1,28,1,760,0.8453837597330367
968,2,20,5,32,83,3,1,213,3,184,25,2,15,2,590,0.8093278463648834
969,2,33,7,45,103,1,1,255,4,382,18,3,16,2,872,0.960352422907489
970,2,15,7,53,129,4,4,251,5,319,28,4,29,1,851,0.8604651162790697
971,0,16,6,36,106,3,0,272,2,299,26,2,18,3,789,0.8945578231292517
973,0,22,2,34,65,2,2,217,2,237,40,3,26,1,653,0.8061728395061728
974,3,12,6,43,58,1,0,245,4,223,27,2,25,1,650,0.8563899868247694
976,2,18,2,11,43,4,2,175,6,191,51,2,14,1,522,0.7489239598278336
978,2,15,0,46,62,3,2,196,6,174,32,2,25,2,567,0.8475336322869955
979,2,7,0,24,54,2,2,231,6,202,22,1,23,1,577,0.774496644295302
981,2,12,3,34,68,3,5,247,7,217,33,2,18,2,653,0.7876960193003619
982,0,13,1,37,63,3,4,207,0,170,24,4,22,0,548,0.7632311977715878
983,3,11,5,23,84,2,3,187,4,271,10,1,19,0,623,0.8701117318435754
984,3,10,0,28,48,1,2,166,3,183,32,4,10,1,491,0.8049180327868852
985,0,13,4,32,86,1,2,195,4,228,31,1,14,1,612,0.8031496062992126
986,1,17,1,30,71,4,3,178,6,261,24,0,16,5,617,0.7981888745148771
988,5,10,2,44,80,2,4,239,4,252,46,4,19,1,712,0.8317757009345794
989,3,14,2,22,96,4,1,236,3,229,33,3,31,1,678,0.8549810844892812
990,1,25,4,41,80,2,4,257,7,267,31,1,22,1,743,0.888755980861244
994,1,15,7,24,55,2,3,167,4,204,22,2,11,0,517,0.764792899408284
995,0,12,1,15,33,0,9,105,2,188,18,0,19,5,407,0.6585760517799353
1001,2,11,2,27,97,0,4,190,8,278,30,1,10,1,661,0.7668213457076566
1003,3,19,1,23,83,1,2,189,4,183,33,0,8,0,549,0.7968069666182874
1004,3,7,4,44,62,6,2,228,4,175,37,6,17,2,597,0.8373071528751753
1005,5,18,4,27,76,2,5,171,3,246,24,4,14,1,600,0.8450704225352113
1006,1,14,5,34,76,3,3,204,4,205,11,4,24,2,590,0.8404558404558404
1007,4,8,4,20,85,2,0,148,3,254,14,1,22,0,565,0.863914373088685
1008,4,11,1,21,60,1,3,192,6,202,17,6,9,0,533,0.7691197691197691
1010,5,11,0,25,47,2,2,205,0,156,37,1,6,1,498,0.7579908675799086
1012,3,1,3,3,8,0,6,17,11,25,7,0,4,0,88,0.40930232558139534
1013,0,23,3,43,51,8,5,272,5,235,20,10,31,4,710,0.8754623921085081
1015,2,11,1,30,81,6,5,183,6,176,37,4,18,2,562,0.8699690402476781
1016,4,13,2,42,74,2,3,207,2,221,38,7,20,1,636,0.8206451612903226
1017,3,12,1,34,92,4,3,268,5,242,43,2,16,0,725,0.844988344988345
1019,0,13,6,39,66,1,1,247,4,167,29,3,20,0,596,0.8675400291120815
1020,3,17,4,31,82,5,3,201,3,229,33,1,17,0,629,0.8287220026350461
1021,1,17,2,48,100,1,3,268,5,247,39,2,27,1,761,0.8218142548596112
1022,2,18,1,30,72,2,1,196,3,231,24,1,13,0,594,0.8608695652173913
1023,1,6,2,15,78,0,1,154,4,310,11,0,22,0,604,0.9123867069486404
1024,3,12,4,35,69,3,2,193,6,250,31,3,20,0,631,0.8259162303664922
1025,2,12,4,20,52,2,5,158,5,215,23,2,19,0,519,0.7372159090909091
1027,2,18,2,32,77,2,4,220,4,202,22,2,15,3,605,0.8426183844011143
1028,1,20,1,28,105,0,4,227,3,324,29,1,18,0,761,0.8262757871878393
