SEZIONE,Casini Presidente - Unione di Centro,Il Popolo della Liberta',Italia dei Valori - Lista Di Pietro,La Destra - Fiamma Tricolore,La Sinistra L'Arcobaleno,Lega Nord,M.E.D.A. Movimento Europeo Diversamente Abili,Partito Comunista dei Lavoratori,Partito Democratico - Veltroni,Partito Liberale Italiano,Partito Socialista - Boselli,Per il Bene Comune,Sinistra Critica,Unione Democratica per i Consumatori,BIANCHE,CONTESTATE,NULLE,TOTALE_COMPLESSIVO,TOTALE_VALIDI,TOTALE ISCRITTI,TOTALE,AFFLUENZA
267,27,173,34,15,50,5,0,0,293,2,8,2,3,0,2,0,12,626,612,744.0,612,0.8225806451612904
268,29,143,33,13,39,10,4,3,302,2,6,1,1,2,2,0,12,602,588,750.0,588,0.784
269,21,171,34,7,49,5,3,4,342,3,6,1,4,3,3,1,20,677,653,794.0,653,0.8224181360201511
270,30,187,36,6,45,10,1,4,308,2,7,5,1,2,2,0,13,659,644,781.0,644,0.8245838668373879
271,24,159,24,11,38,11,3,2,332,4,8,3,0,0,2,0,9,630,619,769.0,619,0.8049414824447334
272,14,166,40,10,38,14,1,3,329,3,5,2,1,1,6,0,13,646,627,756.0,627,0.8293650793650794
273,18,131,29,16,33,10,0,3,304,1,9,1,2,1,2,0,8,568,558,694.0,558,0.8040345821325648
274,20,309,24,12,34,15,1,0,224,1,7,2,1,1,1,0,9,661,651,759.0,651,0.857707509881423
275,24,238,24,10,31,4,0,1,248,1,5,1,2,0,4,0,14,607,589,698.0,589,0.8438395415472779
276,35,216,27,10,42,14,0,1,252,5,7,0,1,0,2,0,12,624,610,732.0,610,0.8333333333333334
277,20,261,38,12,23,13,1,4,249,1,4,0,1,2,1,0,4,634,629,743.0,629,0.8465679676985195
278,26,261,23,7,27,12,0,1,251,3,8,1,0,1,3,2,10,636,621,749.0,621,0.829105473965287
279,20,207,12,4,15,6,0,0,117,0,1,0,1,0,0,0,8,391,383,464.0,383,0.8254310344827587
280,16,117,15,8,14,7,0,0,94,3,4,0,3,0,1,0,7,289,281,315.0,281,0.8920634920634921
281,28,221,11,12,21,3,1,4,203,2,3,1,1,3,1,0,8,523,514,603.0,514,0.8524046434494196
282,28,222,27,13,9,6,3,3,161,1,2,1,0,0,4,0,3,483,476,522.0,476,0.9118773946360154
283,54,162,17,10,29,6,0,0,183,2,3,2,0,0,4,0,9,481,468,616.0,468,0.7597402597402597
284,43,217,36,14,50,5,0,2,318,3,11,3,4,2,6,0,10,724,708,784.0,708,0.9030612244897959
285,28,168,34,5,40,2,0,2,297,1,3,2,2,2,4,0,10,600,586,733.0,586,0.7994542974079127
286,27,139,30,7,32,8,0,2,335,0,4,3,2,0,3,1,8,601,589,731.0,589,0.8057455540355677
287,23,156,35,9,61,8,1,5,307,2,4,3,2,0,6,0,17,639,616,802.0,616,0.7680798004987531
288,21,186,30,13,44,10,0,0,289,2,4,5,1,4,2,0,11,622,609,753.0,609,0.8087649402390438
289,25,141,32,10,35,9,0,3,342,1,6,3,3,2,5,1,12,630,612,722.0,612,0.8476454293628809
290,21,146,47,13,46,3,1,5,286,3,4,2,2,1,4,0,7,591,580,691.0,580,0.8393632416787264
291,25,144,32,7,25,3,0,3,384,0,3,0,2,1,1,0,7,637,629,752.0,629,0.836436170212766
292,31,158,22,14,45,8,1,3,286,3,5,0,2,1,4,0,17,600,579,747.0,579,0.7751004016064257
293,20,152,23,8,24,6,0,4,192,2,1,2,1,1,4,0,6,446,436,488.0,436,0.8934426229508197
294,10,106,28,5,21,6,0,2,238,3,6,1,2,0,1,0,4,433,428,494.0,428,0.8663967611336032
295,26,153,37,11,43,2,2,4,392,1,8,1,1,1,2,0,7,691,682,829.0,682,0.8226779252110977
