SEZIONE,+EUROPA,ALLEANZA VERDI E SINISTRA,AZIONE - ITALIA VIVA - CALENDA,FORZA ITALIA,FRATELLI D'ITALIA CON GIORGIA MELONI,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,ITALEXIT PER L'ITALIA,ITALIA SOVRANA E POPOLARE,LEGA PER SALVINI PREMIER,MOVIMENTO 5 STELLE,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,UNIONE POPOLARE CON DE MAGISTRIS,TOTALE
66,21,56,113,24,120,2,5,6,11,25,14,134,17,548
67,34,51,118,34,128,0,4,10,6,52,3,174,10,624
68,33,54,59,8,65,1,7,11,12,52,1,138,13,454
69,29,64,69,13,91,2,8,1,20,55,1,147,14,514
70,29,67,89,23,111,3,8,8,13,38,2,189,20,600
71,25,66,85,15,96,4,7,11,4,41,0,169,20,543
72,32,53,114,9,99,3,4,9,14,48,7,171,16,579
73,17,26,94,25,109,1,8,14,15,48,6,103,12,478
74,11,32,71,11,53,0,2,3,8,22,3,82,9,307
75,24,57,80,20,67,4,6,8,15,64,3,174,16,538
76,14,49,65,9,88,4,6,9,33,53,3,185,14,532
77,48,85,91,18,109,0,3,18,18,58,10,235,19,712
78,22,72,89,19,92,0,15,10,19,71,0,204,22,635
79,31,48,79,20,84,0,10,11,19,58,6,187,24,577
80,22,49,92,17,100,1,6,7,17,49,1,191,16,568
81,23,47,116,32,128,1,8,8,7,34,14,165,15,598
82,26,46,98,19,134,2,10,8,17,33,12,140,18,563
83,32,35,123,32,176,0,15,11,17,34,4,160,12,651
84,19,40,115,14,127,2,10,8,11,51,1,162,22,582
85,27,44,102,29,131,1,4,10,16,40,3,198,10,615
86,24,43,102,15,90,0,10,7,18,52,4,182,14,561
87,24,55,98,15,98,2,7,8,16,38,1,152,10,524
88,18,47,69,9,97,0,2,5,17,65,1,138,18,486
89,25,42,78,24,105,1,10,8,17,50,5,151,18,534
90,41,51,88,20,120,1,6,6,14,34,1,205,7,594
91,29,62,91,11,117,2,5,8,10,40,1,153,14,543
92,25,45,82,19,102,1,11,14,22,59,4,184,10,578
93,29,43,96,15,128,1,11,2,16,38,2,192,21,594
94,35,27,93,20,133,1,7,9,21,35,5,173,14,573
95,14,65,85,21,101,1,9,14,18,41,0,172,14,555
96,28,41,57,19,95,2,10,11,14,56,4,156,9,502
97,30,43,68,13,125,3,6,8,20,45,2,186,13,562
98,33,52,83,24,112,3,6,15,16,48,4,153,15,564
99,37,42,96,22,110,0,11,13,16,53,0,178,19,597
100,27,43,74,16,97,2,8,8,22,42,2,181,9,531
101,29,54,75,20,142,3,19,7,35,46,3,179,19,631
102,21,64,102,21,128,2,10,13,11,47,2,191,21,633
103,36,50,90,16,106,2,9,19,22,56,3,166,16,591
104,26,59,85,15,100,5,12,15,16,63,1,202,18,617
105,21,39,83,16,99,0,10,11,30,61,1,213,22,606
106,22,41,90,23,113,2,6,10,20,53,5,215,14,614
107,16,29,73,18,84,0,8,10,15,50,1,150,15,469
108,23,39,69,10,104,1,12,10,20,46,4,185,14,537
109,33,42,91,23,134,2,12,2,18,63,4,198,13,635
110,22,50,70,26,127,4,7,8,33,49,1,179,10,586
